Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,0.12431693989071038,10.55131506849315,2.418301369863014,1.0152054794520546,0.07505464480874316,0.15041095890410958,0.02287671232876713,0.002904109589041096,0.09751366120218578,0.2623561643835617,9.8087397260274,6.5698630136986305,28.264754098360655,3.0300547945205474,1.8126301369863012,4.24972602739726,2.51,1.9492602739726028,1.0853150684931507,0.5222191780821919,0.40806010928961756,0.014630136986301369,0.00030136986301369865,0.2696986301369863,1.7860928961748632,15.08309589041096,3.177506849315068,5.197561643835617,1.2196174863387979,0.3806301369863014,1.9524109589041097,0.5386027397260273,0.1721857923497268,0.0013424657534246574,2.7397260273972603e-05,0.000821917808219178,0.08934426229508198,nan,3.838246575342466,1.5004109589041095,2.189153005464481,1.5635890410958906,3.4570136986301367,3.9197808219178083,1.8313934426229508,0.6098904109589042,0.12832876712328767,0.09731506849315068,0.12642076502732238
Std,1.449847909147161,25.57618447926059,1.1617034573740561,0.742498391841884,0.17983864130007005,0.2969019872228691,0.06274277673985137,0.013840742302883886,0.36211822719812,3.6700812479150393,18.102394166962917,3.2945319966764877,68.00192249226819,1.379415002971266,1.0253398702394836,4.7579680170180225,2.2070693671148693,1.1665646794908295,1.391010757733061,0.5420445881314674,2.7146819610024933,0.05667680708742397,0.0033379713776477884,1.3451510755396663,2.696117585545213,16.866997670464727,1.9604063258115279,4.783310348496704,0.9010227134684404,0.380843890171292,1.6124959622811628,0.7377017019692879,0.3179083423175343,0.023550714253823934,0.0005227064117353127,0.010409877377132889,0.284352599089854,nan,1.2775162951626409,0.7910312990294923,3.643416488521421,0.584088092333622,2.797404690031878,2.507354433128837,0.7940179165234746,0.4364583352408349,0.2138382473314063,0.13250348940479778,0.1697041076667786
CV,11.662512851601338,2.4239807373047353,0.4803799360374433,0.7313774470983342,2.396102756309634,1.9739385307167072,2.742648324556377,4.765915981653413,3.7135127810174255,13.988927062332802,1.8455372119751923,0.5014612922380809,2.405891176538213,0.4552442435911572,0.5656641414691609,1.1195940600274494,0.8793105048266412,0.5984653230085916,1.2816653874200215,1.0379637724567734,6.6526521441373445,3.8739765144025746,11.075995934922206,4.987608112271213,1.5095057996811247,1.118271593114241,0.616963682150396,0.9202989163523974,0.7387748401125704,1.000561577143321,0.8258998726304315,1.3696582797639254,1.8463099537958985,17.5428789849913,19.078784028338912,12.665350808845016,3.182662118253411,nan,0.33283851625625566,0.5272097583233173,1.664304175828214,0.3735560156678033,0.8091968773917115,0.6396669984986758,0.4335594406116632,0.7156340342433166,1.6663313466260312,1.3615927261472747,1.3423752627197099
SP_Tim,68.0,74.0,68.0,333.0,359.0,71.0,67.0,99.0,40.0,234.0,107.0,143.0,56.0,78.0,106.0,233.0,44.0,5.0,234.0,5.0,237.0,224.0,249.0,60.0,199.0,65.0,52.0,102.0,55.0,345.0,129.0,193.0,65.0,nan,nan,nan,57.0,nan,112.0,274.0,29.0,95.0,143.0,196.0,278.0,238.0,59.0,54.0,290.0
SP_Mag,21.0,30.0,5.0,5.6,1.6,1.0,0.63,0.18,5.8,70.0,25.0,12.0,470.0,5.0,5.0,47.0,5.7,4.8,4.2,5.0,52.0,0.62,0.06,24.0,3.7,39.0,8.2,14.0,2.9,1.6,5.1,12.0,2.5,nan,nan,nan,3.73,nan,4.86,3.1,8.0,2.71,6.4,6.52,3.62,4.07,2.2,0.74,1.11
SP_Dur,176.0,165.0,153.0,299.0,223.0,121.0,218.0,33.0,155.0,22.0,124.0,108.0,32.0,123.0,46.0,29.0,130.0,211.0,nan,194.0,38.0,14.0,nan,229.0,83.0,161.0,180.0,129.0,142.0,224.0,79.0,69.0,125.0,nan,nan,nan,84.0,nan,119.0,nan,212.0,120.0,92.0,nan,270.0,nan,192.0,171.0,268.0
SP_ROC,1.0,0.0625,0.06896551724137923,0.08578431372549022,0.15384615384615388,0.11239495798319338,0.2727272727272727,0.611111111111111,0.25000000000000006,1.0,0.023258958755916076,0.08722109533468558,0.06961259079903148,0.07692307692307698,0.10344827586206891,0.25,0.0285714285714286,0.06250000000000006,nan,0.1666666666666666,nan,1.0,nan,0.10000000000000009,0.050000000000000044,0.034190531852717726,0.04545454545454549,0.04838709677419352,0.058257918552036186,0.06666666666666672,0.06250000000000006,0.7604166666666667,0.09756097560975606,nan,nan,nan,0.1428571428571429,nan,0.023323615160349875,0.020134228187919483,0.04075471698113202,0.021126760563380302,0.016359918200409013,nan,0.01960784313725492,nan,0.20000000000000004,0.10000000000000009,0.10000000000000009
SU_BFL_Tim,244.0,239.0,221.0,267.0,217.0,192.0,285.0,132.0,195.0,256.0,231.0,251.0,88.0,201.0,152.0,262.0,174.0,216.0,nan,199.0,275.0,238.0,19.0,289.0,282.0,226.0,232.0,231.0,197.0,204.0,208.0,262.0,190.0,nan,nan,nan,141.0,nan,231.0,213.0,241.0,215.0,235.0,nan,183.0,182.0,251.0,225.0,193.0
SU_BFL_Mag_10,0.0,2.6,0.51,nan,nan,nan,nan,0.0,0.0,0.0,3.4000000000000004,1.9,3.34,0.8899999999999999,0.0,0.0,1.4,0.0,nan,0.0,nan,nan,0.0,0.0,0.7,3.4,0.54,nan,nan,0.0,0.826,nan,nan,nan,nan,nan,nan,nan,2.372,0.67,nan,0.0,0.10200000000000006,nan,nan,nan,nan,nan,nan
SU_BFL_Mag_50,0.0,3.5,0.98,nan,nan,nan,nan,0.0,0.0,0.0,3.8,2.5,10.0,1.1,1.1,0.02,1.6,0.63,nan,0.16,nan,nan,0.0,0.0,0.9,3.9,0.92,nan,nan,0.275,1.2,nan,nan,nan,nan,nan,nan,nan,2.725,1.26,nan,0.89,2.5,nan,nan,nan,nan,nan,nan
SU_BFL_Dur_Fl,nan,40.0,nan,nan,nan,nan,nan,nan,nan,152.0,123.0,126.0,201.0,168.0,183.0,45.0,nan,119.0,nan,nan,nan,nan,407.0,134.0,99.0,nan,139.0,nan,nan,139.0,nan,nan,nan,nan,nan,nan,nan,nan,44.0,123.0,nan,133.0,58.0,nan,nan,nan,nan,nan,nan
SU_BFL_Dur_Wet,141.0,172.0,110.0,nan,nan,nan,nan,268.0,393.0,165.0,137.0,149.0,215.0,174.0,269.0,105.0,175.0,360.0,nan,392.0,nan,nan,472.0,189.0,101.0,101.0,147.0,nan,nan,199.0,97.0,nan,nan,nan,nan,nan,nan,nan,74.0,349.0,nan,171.0,215.0,nan,nan,nan,nan,nan,nan
SU_BFL_No_Flow,141.0,0.0,0.0,nan,nan,nan,nan,267.0,339.0,126.0,0.0,0.0,0.0,0.0,53.0,51.0,0.0,54.0,nan,114.0,nan,nan,448.0,107.0,0.0,0.0,0.0,nan,nan,66.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,30.0,14.0,nan,nan,nan,nan,nan,nan
FAFL_Tim,nan,nan,277.0,nan,nan,nan,nan,nan,nan,nan,41.0,353.0,11.0,289.0,2.0,334.0,306.0,nan,333.0,322.0,nan,nan,nan,60.0,43.0,9.0,nan,5.0,nan,nan,341.0,nan,nan,nan,nan,nan,nan,nan,274.0,274.0,335.0,nan,346.0,292.0,nan,nan,nan,nan,nan
FAFL_Mag,nan,nan,4.04800798121925,nan,nan,nan,nan,nan,nan,nan,29.9312707417914,7.518114597010849,99.9715355826532,4.324326889293702,1.81899165104649,9.267947553798107,4.823209669403017,nan,3.4714664342045607,2.907196724803962,nan,nan,nan,23.246807179057164,2.767176939969961,79.93087700681572,nan,5.995971209378546,nan,nan,1.131899095039916,nan,nan,nan,nan,nan,nan,nan,4.082840423286084,3.020540262185242,14.493619623374878,nan,4.381155298326491,4.715094284002403,nan,nan,nan,nan,nan
FAFL_Tim_Wet,61.0,20.0,44.0,330.0,nan,nan,nan,nan,34.0,223.0,54.0,2.0,34.0,303.0,8.0,55.0,1.0,349.0,209.0,324.0,225.0,nan,nan,125.0,98.0,11.0,325.0,13.0,nan,nan,36.0,304.0,nan,nan,nan,nan,nan,nan,63.0,304.0,196.0,nan,19.0,84.0,nan,nan,nan,nan,nan
FAFL_Dur,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,2.0,20.0,4.0,6.0,8.0,4.0,5.0,nan,1.0,2.0,nan,nan,nan,49.0,1.0,3.0,nan,9.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,4.0,0.0,3.0,nan,4.0,2.0,nan,nan,nan,nan,nan
Wet_BFL_Mag,0.0,0.0,2.6,0.7800000000000001,nan,nan,nan,nan,0.0,0.0,0.1,6.04,2.9400000000000004,3.5999999999999996,1.6,0.0,0.0,2.2,0.0,0.8,0.05,nan,nan,nan,0.0,6.65,4.2,1.9400000000000013,nan,nan,0.47,0.0,nan,nan,nan,nan,nan,nan,4.675999999999999,nan,1.136,nan,0.0,0.24,nan,nan,nan,nan,nan
WIN_Tim_2,nan,80.0,nan,nan,nan,nan,nan,nan,nan,230.0,60.0,87.0,29.0,nan,nan,144.5,359.0,nan,nan,nan,233.0,nan,nan,60.0,105.0,32.5,nan,45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,202.0,nan,21.0,355.0,nan,nan,nan,nan,nan
WIN_Dur_2,nan,10.0,nan,nan,nan,nan,nan,nan,nan,1.0,10.0,1.0,13.0,nan,nan,1.5,1.0,nan,nan,nan,1.0,nan,nan,1.0,2.0,4.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,2.0,nan,nan,nan,nan,nan
WIN_Fre_2,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
WIN_Tim_5,139.0,26.0,nan,nan,nan,nan,nan,nan,nan,230.0,41.0,87.0,18.5,nan,nan,90.0,343.0,354.0,88.0,nan,233.0,nan,nan,60.0,102.0,126.5,38.0,25.0,nan,nan,nan,193.0,nan,nan,nan,nan,nan,nan,290.0,244.0,27.0,nan,29.0,354.0,nan,nan,nan,nan,nan
WIN_Dur_5,1.0,3.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,4.0,95.5,nan,nan,2.0,2.0,1.0,1.0,nan,1.0,nan,nan,1.0,2.5,7.0,2.0,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,2.0,nan,2.0,4.0,nan,nan,nan,nan,nan
WIN_Fre_5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,2.0,0.0,0.0,9.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,nan,nan,nan,0.0,nan,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
WIN_Tim_10,139.0,26.0,62.0,333.0,nan,nan,nan,nan,40.0,230.0,41.0,198.0,8.0,61.0,89.0,58.0,327.0,357.5,87.5,5.0,233.0,nan,nan,97.5,104.0,226.0,50.5,32.0,nan,nan,87.0,193.0,nan,nan,nan,nan,nan,nan,88.0,244.0,27.0,nan,69.0,101.0,nan,nan,nan,nan,nan
WIN_Dur_10,1.0,3.0,2.0,1.0,nan,nan,nan,nan,1.0,2.0,2.0,8.0,13.0,2.0,2.0,2.0,2.0,3.5,1.5,1.0,1.0,nan,nan,1.0,5.0,6.0,1.5,4.0,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,3.0,1.0,2.0,nan,2.0,5.0,nan,nan,nan,nan,nan
WIN_Fre_10,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,7.0,4.0,9.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,5.0,8.0,6.0,0.0,0.0,7.0,1.0,0.0,nan,nan,nan,0.0,nan,9.0,1.0,5.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0
