Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,0.0016438356164383565,0.051366120218579225,0.017534246575342468,2.4898630136986295,1.24,0.21420765027322405,1.4448767123287671,0.3741095890410959,0.07421917808219179,0.01040983606557377,0.2556164383561643,0.03547945205479453,0.13873972602739726,3.734153005464482,0.3366301369863014,4.693205479452056,5.975863013698629,13.561010928961752,0.7725753424657533,1.221013698630137,11.671260273972603,3.6133333333333333,2.6966849315068493,2.816684931506849,0.36142465753424663,1.0965573770491803,0.07838356164383561,0.00882191780821918,3.8443013698630137,1.6940983606557376,15.141671232876712,0.7518082191780823,3.9477534246575336,0.09677595628415302,0.22126027397260273,2.235068493150685,0.03194520547945205,0.1787704918032787,0.0627945205479452,0.0,0.17517808219178085,0.10994535519125684,9.171616438356164,1.3073150684931507,0.014383561643835616,1.5812568306010926,0.14854794520547948,2.4547123287671235,2.289178082191781,0.08647540983606557,0.03758904109589041,0.07413698630136988,0.051123287671232864,0.026147540983606558
Std,0.023350439181000014,0.2499962674032322,0.09803243553137489,19.56456487150613,8.797679644274828,0.5160964248305681,7.868423336775797,2.7194111145444797,0.49993123490356284,0.020111609660654325,0.7046401710722179,0.06157390249280053,1.1082260541297428,46.603644733268204,3.7275362442560422,20.90386207677666,13.862175169128072,46.29894316341422,0.8315879827718989,3.474249431085999,35.663913629858556,21.691371980515328,8.528638602237827,19.966520614485567,1.5016258395924507,3.3657527281480055,0.21286400766023766,0.022181902079931187,37.66263333851428,4.829262310153647,55.96681601641458,1.3787137211415401,12.123152937444948,0.15021474271887048,2.5140705520085627,6.858322556061353,0.04598745821013607,1.9189295361769612,0.1575632040092065,0.0,1.2022559997083309,0.4619251675346593,35.71275509625671,6.5601349737131605,0.03832043345516078,19.173473480452692,0.34306886728652203,8.776847203583612,17.58267646444131,0.16867170945415602,0.22760021641035277,1.0313120425845705,0.6465864835353127,0.04709216729700593
CV,14.204850501775006,4.866948610084202,5.590912338898724,7.8576872558315785,7.0949029389313125,2.409327697550866,5.445740297173131,7.269022752169425,6.7358767345810415,1.9319814004723053,2.756630894333972,1.7354806494109796,7.987806274829308,12.480378994933899,11.073091309135307,4.454069221622328,2.319694266309559,3.414121808908455,1.0763843175706342,2.845381206602171,3.0557037365870907,6.003147227079888,3.1626381349163424,7.088659576775607,4.154740990382386,3.06938131883732,2.7156715412788097,2.514408155023255,9.797003334277182,2.850638677369581,3.6962112804889933,1.8338635917665613,3.0708992263103734,1.5521907350397117,11.362503113956482,3.0685066596744224,1.4395730914836764,10.73403958796833,2.5091871493612734,nan,6.863050358047243,4.201406841890788,3.8938343460269618,5.018021387357344,2.664182516406416,12.125464446635254,2.3094824153371545,3.5755094805719145,7.680781412867066,1.9505164505599086,6.054962025494079,13.910897839740139,12.647591987695026,1.8010170564999133
SP_Tim,nan,291.0,220.0,331.0,346.0,217.0,62.0,65.0,203.0,53.0,215.0,7.0,295.0,254.0,230.0,61.0,201.0,52.0,61.0,77.0,61.0,227.0,362.0,46.0,65.0,18.0,5.0,78.0,60.0,93.0,40.0,79.0,65.0,33.0,204.0,56.0,39.0,238.0,67.0,nan,238.0,63.0,55.0,245.0,54.0,27.0,49.0,21.0,356.0,105.0,239.0,215.0,200.0,8.0
SP_Mag,nan,3.6,1.4,342.0,50.0,6.3,66.0,32.0,9.3,0.06,8.8,0.44,17.0,850.0,70.0,320.0,157.0,501.0,5.3,33.0,423.0,400.0,137.0,355.0,20.0,27.0,2.6,0.1,676.0,35.0,335.0,6.3,121.0,0.63,48.0,11.0,0.17,36.0,1.2,nan,16.2,5.82,124.0,83.0,0.27,364.0,3.28,138.0,324.0,1.09,4.12,19.7,11.7,0.34
SP_Dur,nan,297.0,nan,155.0,24.0,15.0,162.0,36.0,15.0,212.0,65.0,190.0,284.0,nan,25.0,97.0,46.0,50.0,102.0,72.0,188.0,23.0,221.0,202.0,164.0,75.0,264.0,193.0,177.0,67.0,75.0,100.0,77.0,214.0,24.0,117.0,235.0,nan,141.0,nan,nan,63.0,188.0,nan,156.0,216.0,93.0,137.0,136.0,157.0,nan,35.0,48.0,206.0
SP_ROC,nan,0.5,nan,0.11111111111111108,0.23529411764705876,0.9523809523809524,0.10000000000000003,0.09090909090909098,0.975268817204301,0.25000000000000006,0.9478260869565217,0.2678571428571429,0.25000000000000006,nan,0.29166666666666663,0.07042253521126761,0.07142857142857134,0.09307359307359307,0.06666666666666672,0.1360386879730866,0.041666666666666706,0.33333333333333326,0.08823529411764701,0.07936507936507936,0.12132352941176472,0.09756097560975606,0.14285714285714296,0.14285714285714296,0.13484848484848488,0.13157894736842102,0.06060606060606061,0.04959016393442628,0.08333333333333323,0.06350806451612909,0.8989583333333333,0.08571428571428566,0.14285714285714296,nan,0.07999999999999996,nan,nan,0.0833333333333333,0.058823529411764754,nan,0.18333333333333332,0.09838709677419347,0.06731391585760514,0.06666666666666654,0.058263512783718295,0.11590038314176239,nan,0.9630018458698661,0.25000000000000006,0.14285714285714296
SU_BFL_Tim,nan,223.0,199.0,121.0,5.0,232.0,224.0,101.0,218.0,265.0,280.0,197.0,214.0,74.0,255.0,158.0,247.0,102.0,163.0,149.0,249.0,250.0,218.0,248.0,229.0,93.0,269.0,271.0,237.0,160.0,115.0,179.0,142.0,247.0,228.0,173.0,274.0,124.0,208.0,nan,205.0,126.0,243.0,135.0,210.0,243.0,142.0,158.0,127.0,262.0,139.0,250.0,248.0,214.0
SU_BFL_Mag_10,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.02,0.382,0.61,0.02,0.02,0.15,1.0,0.02,0.0,0.01,nan,nan,0.0,0.01,0.0,0.25,0.0,nan,0.0,0.0,nan,0.0,nan,nan,nan,0.0,0.0,0.09,nan,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan
SU_BFL_Mag_50,nan,nan,0.0,0.0,0.1,0.0,0.01,0.01,nan,0.0,nan,0.0,0.0,0.06,0.03,0.08,0.73,1.5,0.04,0.14,1.8,1.2,0.09,0.28,0.01,nan,nan,0.0,0.01,0.0,0.49,0.0,nan,0.0,0.02,nan,0.0,nan,nan,nan,0.0,0.0,0.41,nan,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan
