Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,26.223561643835613,59.434794520547946,87.90054794520549,41.9,101.34849315068492,41.161095890410955,95.85232876712328,41.385245901639344,103.92082191780824,76.13945205479452,71.92712328767122,51.12650273224043,62.256986301369864,85.7904109589041,68.79260273972602,27.61967213114754,15.658904109589042,64.81205479452055,55.25698630136987,86.12158469945355,31.29041095890411,115.85643835616438,128.16712328767125,97.49890710382513,42.89917808219178,92.11863013698631
Std,41.26759109744505,98.7729518755922,158.1106144781515,58.2282610294491,164.18257872034917,56.21122316546695,157.71338031439592,51.554951857266886,161.35816743067184,95.06248315612918,101.31356129701211,69.61687960559914,102.81462710666223,105.44952355340128,127.40095535251137,35.3082699936877,22.514749111774428,97.58136397083183,87.88465657980633,114.44098175300907,47.2312444891673,132.60662329137014,187.02381948860975,111.40861701035864,55.54868652512782,117.322374202598
CV,1.5736836840828539,1.6618708396719395,1.7987443556860738,1.3896959672899547,1.6199804616358977,1.3656396155030976,1.645378702249022,1.2457326453924658,1.552702956470949,1.248531222522018,1.4085585056948595,1.36165933293338,1.65145525369576,1.2291527966209932,1.8519571913062751,1.2783739729433463,1.4378240619014375,1.5056051575621658,1.590471403932277,1.3288304221570508,1.5094478800933424,1.1445770746353565,1.459218360303169,1.1426652905116286,1.2948659859799756,1.2736009429160216
SP_Tim,162.0,165.0,172.0,151.0,167.0,134.0,181.0,153.0,172.0,151.0,181.0,156.0,157.0,161.0,161.0,139.0,166.0,162.0,150.0,187.0,150.0,174.0,187.0,155.0,144.0,155.0
SP_Mag,121.0,418.0,677.0,249.0,437.0,259.0,587.0,207.0,454.0,336.0,578.0,299.0,399.0,390.0,557.0,207.0,109.0,405.0,395.0,302.0,188.0,471.0,544.0,512.0,200.0,536.0
SP_Dur,53.0,67.0,59.0,71.0,96.0,74.0,50.0,70.0,61.0,79.0,46.0,67.0,59.0,80.0,62.0,60.0,54.0,76.0,71.0,65.0,57.0,70.0,72.0,77.0,66.0,74.0
SP_ROC,0.07080200501253132,0.07142857142857142,0.05714285714285714,0.06451612903225806,0.06634897360703812,0.057971014492753624,0.07592451874366768,0.06666666666666667,0.050316455696202536,0.058823529411764705,0.0625,0.061068702290076333,0.07692307692307693,0.06666666666666667,0.06329942980428417,0.06155303030303028,0.07692307692307689,0.06521739130434782,0.06306818181818181,0.05555555555555555,0.056179775280898875,0.04913793103448276,0.06813151506497216,0.058823529411764705,0.06524822695035461,0.05961310698776155
SU_Tim,215.0,232.0,231.0,222.0,263.0,208.0,231.0,223.0,233.0,230.0,227.0,223.0,216.0,241.0,223.0,199.0,220.0,238.0,221.0,252.0,207.0,244.0,259.0,232.0,210.0,229.0
SU_Mag_10,3.3,4.98,8.7,4.3,10.200000000000003,3.5999999999999996,8.0,4.82,11.0,6.2,8.5,5.6,5.5,6.18,11.700000000000003,3.6500000000000004,1.9,6.6,3.6,7.5,2.4,17.0,23.900000000000002,10.0,4.46,7.199999999999999
SU_Mag_50,5.4,14.0,15.0,12.0,15.0,15.0,12.0,13.0,19.0,16.0,11.0,15.5,35.0,8.9,15.0,4.4,5.4,10.0,10.0,9.7,32.0,32.0,52.5,18.0,9.7,13.0
SU_Dur_Fl,nan,166.0,80.0,136.0,61.0,133.0,46.0,163.0,124.0,100.0,203.0,131.0,97.0,259.0,77.0,77.0,229.0,139.0,158.0,159.0,113.0,56.0,47.0,76.0,174.0,154.0
SU_Dur_Wet,254.0,259.0,241.0,253.0,193.0,294.0,191.0,257.0,229.0,235.0,212.0,258.0,257.0,259.0,248.0,266.0,255.0,237.0,250.0,213.0,261.0,260.0,220.0,228.0,207.0,187.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
