Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,24.726575342465754,37.563835616438354,27.932602739726025,11.497650273224043,5.287041095890411,27.23841095890411,20.985397260273974,35.45431693989071,11.73641095890411,58.55052054794521,58.967123287671235,40.80601092896175,17.759342465753424,36.871972602739724,11.356712328767125,8.40035519125683,25.304958904109586,14.108191780821917,11.232493150684933,8.114316939890712,34.02605479452055,8.555150684931506,48.31293150684932,37.391284153005465,41.956356164383564,35.56219178082192,31.416438356164385,22.567513661202184,10.560630136986301,19.765643835616437,24.45772602739726,17.707677595628418,33.870082191780824,51.67715068493152,13.25227397260274,12.855846994535518,20.469013698630135,24.253013698630134,46.859013698630136,16.312349726775956,16.932301369863012,8.316958904109589,7.582493150684933
Std,42.21510254390327,49.03358710863505,56.9933339535735,14.59497965366194,8.493520689951835,42.317196617093416,36.25309584767644,58.8824317453795,18.818544176609496,82.58601265697688,84.76719198445826,46.07907810795013,25.39034726745913,54.87719809382935,19.37652725256257,10.484883948041286,36.294083721971674,18.33881996820498,19.131554744319256,12.763603969179817,51.351345729892714,13.02259064737408,64.53179533118958,65.82481569640514,108.74651353320056,55.78642929804913,52.00463365471647,36.712738726520065,20.041640798704513,29.25555047085252,42.452071799083356,26.944739833884604,74.66629238751148,84.1993462968265,17.100286211864372,24.32333961374672,38.61705318684258,46.47989964401408,66.97417186988837,30.647584683589677,27.054468623721217,12.383047263047134,11.29762101654657
CV,1.707276562128783,1.305340264218849,2.040387517218974,1.2693880320617352,1.6064790373113997,1.5535853644670898,1.7275391739333288,1.6607972407199056,1.6034326202877514,1.4105085981148493,1.4375331075745605,1.1292228046541513,1.4296896023274006,1.4883173917782682,1.706173995750588,1.2481476924873431,1.4342676413545736,1.2998703344204607,1.703233154711753,1.5729733092421856,1.5091771890687184,1.5221930187987496,1.3357044029100351,1.7604320682608656,2.591896043286873,1.5687005357227108,1.6553319337203725,1.6267959012975448,1.897769407576641,1.4801213010899181,1.735732575936497,1.521641654495482,2.2044910303061083,1.6293341482810912,1.2903661852461599,1.8920059972777798,1.8866103543341213,1.9164587222675495,1.4292697729539765,1.8787964454491253,1.5978022144038946,1.4888912408751236,1.4899612557547837
SP_Tim,145.0,194.0,162.0,139.0,157.0,162.0,146.0,146.0,151.0,174.0,172.0,148.0,149.0,155.0,135.0,147.0,132.0,157.0,158.0,132.0,156.0,135.0,181.0,142.0,137.0,171.0,171.0,149.0,140.0,155.0,153.0,131.0,152.0,161.0,136.0,143.0,143.0,163.0,177.0,126.0,138.0,133.0,149.0
SP_Mag,180.0,281.0,265.0,68.0,38.0,201.0,182.0,196.0,61.0,221.0,349.0,190.0,88.0,203.0,79.0,34.0,152.0,61.0,78.0,44.0,260.0,66.0,268.0,533.0,154.0,218.0,173.0,235.0,109.0,120.0,248.0,119.0,337.0,262.0,70.5,150.0,152.0,217.0,362.0,156.0,55.6,36.0,20.2
SP_Dur,65.0,39.0,62.0,63.0,54.0,71.0,71.0,96.0,49.0,68.0,84.0,75.0,60.0,68.0,59.0,71.0,82.0,55.0,61.0,80.0,81.0,74.0,74.0,73.0,66.0,65.0,53.0,62.0,53.0,61.0,55.0,80.0,67.0,59.0,62.0,66.0,65.0,60.0,61.0,69.0,73.0,63.0,56.0
SP_ROC,0.07142857142857142,0.07692307692307693,0.07042253521126761,0.07142857142857145,0.11764705882352941,0.06779661016949158,0.08695652173913032,0.05555555555555555,0.08166666666666664,0.0625,0.07352941176470588,0.07142857142857142,0.07522624434389144,0.07142857142857142,0.07407407407407407,0.09196617336152223,0.07692307692307693,0.07968253968253966,0.07692307692307693,0.0899898887765419,0.07024396929824564,0.07692307692307693,0.06666666666666667,0.07774725274725275,0.07142857142857142,0.0634938409854423,0.075,0.07243490089389822,0.08000000000000004,0.07352941176470588,0.08222811671087535,0.06385197400329802,0.07452011812476927,0.07805907172995771,0.0748521630874572,0.08152414709791762,0.07594936708860765,0.08156028368794326,0.0639386189258312,0.07670119350154293,0.08189559631326754,0.08001142204454598,0.0999201285549925
SU_Tim,210.0,233.0,224.0,202.0,211.0,233.0,217.0,242.0,200.0,242.0,256.0,223.0,209.0,223.0,194.0,218.0,214.0,212.0,219.0,212.0,237.0,209.0,255.0,215.0,203.0,236.0,224.0,211.0,193.0,216.0,208.0,211.0,219.0,220.0,198.0,209.0,208.0,223.0,238.0,195.0,211.0,196.0,205.0
SU_Mag_10,1.2,1.8,2.2,0.8,0.0,1.7000000000000002,0.57,1.7,0.0,5.430000000000001,4.8,2.0,1.1,1.45,0.13200000000000003,0.0,1.1,0.382,0.31100000000000005,0.14,1.3200000000000003,0.0,1.3,1.0,1.5,2.4,1.5,0.95,0.0,0.368,0.57,0.964,1.124,1.442,0.022000000000000026,0.0,0.0,0.586,2.646,0.12,0.0,0.0,0.0
SU_Mag_50,16.0,3.2,5.8,1.4,1.6,4.2,5.55,2.6,15.0,16.0,21.0,5.6,3.7,2.4,0.98,2.7,4.3,1.1,2.0,2.1,2.2,1.4,15.0,1.6,3.0,6.8,3.16,2.1,1.76,3.53,1.73,2.96,10.6,3.07,1.4649999999999999,1.94,1.92,10.2,3.49,0.58,0.79,0.08,0.0
