Year,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,0.29631147540983604,21.588493150684933,0.8706849315068492,1.2480874316939892,0.061917808219178076,2.3432876712328765,0.14383561643835616,1.094808743169399,2.525205479452054,6.740821917808218,18.66764383561644,2.378688524590164,28.520301369863013,1.6264657534246578,1.3493972602739726,0.48185792349726764,8.739479452054795,2.658958904109589,2.745178082191781,1.7539617486338797,0.9143835616438357,35.433123287671236,21.951397260273975,51.138934426229504,3.1617260273972603,9.353534246575343,35.726602739726026,5.153743169398907,6.912438356164382,10.435890410958903
Std,0.513133576096415,77.2864643144099,4.612406238796703,3.201661821396071,0.04855889050679485,5.295310940666389,0.3948942294211191,4.61287700389229,9.759997769704023,23.571297948897172,76.85881037319493,5.4323622880535245,109.05500607135944,7.591117184699553,2.4562376103196244,2.612775222312078,21.114603723820185,10.335681910737915,6.725557860128077,6.208618361183186,2.50894737863728,96.14374559245361,47.2374325734354,161.68380711189937,6.534163876792089,24.256709821093164,67.27071514914793,18.04635285284063,20.089155264965687,46.31011591125656
CV,1.7317371032852733,3.579984196903425,5.297445806044043,2.565254436582666,0.7842475679194744,2.259778432530378,2.7454551188325427,4.213408992824004,3.8650311228620695,3.496798793426869,4.117220740335434,2.2837636083477943,3.823767661396323,4.667246862539731,1.820247960056571,5.422293781845208,2.4160024449574964,3.887116079441267,2.449953212054759,3.539768393477757,2.7438675451763506,2.713386139062325,2.151910058997576,3.161657725683284,2.0666445543262415,2.5933202553862884,1.8829306452456667,3.501601119744083,2.906232826951803,4.437581661707134
SP_Tim,nan,97.0,53.0,64.0,275.0,71.0,117.0,96.0,105.0,3.0,345.0,78.0,62.0,68.0,25.0,365.0,86.0,96.0,104.0,67.0,138.0,65.0,91.0,56.0,70.0,95.0,81.0,365.0,47.0,79.0
SP_Mag,nan,726.0,10.0,38.0,0.1,21.0,4.8,63.0,118.0,94.0,690.0,8.9,342.0,31.0,11.0,7.9,123.0,81.0,48.0,16.0,6.6,888.0,626.0,1700.0,29.0,120.0,298.0,89.0,46.0,270.0
SP_Dur,nan,55.0,36.0,133.0,nan,124.0,104.0,64.0,47.0,132.0,204.0,113.0,83.0,105.0,153.0,76.0,79.0,63.0,64.0,96.0,46.0,93.0,88.0,54.0,102.0,81.0,115.0,70.0,106.0,67.0
SP_ROC,nan,0.1111111111111111,0.09999999999999998,0.11111111111111108,1.0,0.09375000000000008,0.5,0.16666666666666669,0.09846650524616635,0.0571428571428572,0.07460611677479151,0.06781609195402293,0.04324450677886865,0.07275132275132282,0.11111111111111108,0.12121212121212131,0.08928571428571429,0.13,0.11999999999999993,0.13513513513513511,0.13899613899613897,0.07142857142857142,0.06060606060606053,0.08396946564885496,0.09326675257731953,0.035401002506265614,0.06435472739820566,0.054545454545454515,0.1277173913043479,0.07549857549857553
SU_BFL_Tim,nan,152.0,89.0,197.0,277.0,195.0,221.0,160.0,152.0,135.0,184.0,191.0,145.0,173.0,178.0,76.0,165.0,159.0,168.0,163.0,184.0,158.0,179.0,110.0,172.0,176.0,196.0,70.0,153.0,146.0
SU_BFL_Mag_10,nan,0.1,0.1,nan,0.0,nan,0.0,0.0,0.1,0.1,0.08,0.05,0.10999999999999999,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.3,0.4,0.06,0.14,0.72,0.1,0.06,0.06800000000000002
SU_BFL_Mag_50,nan,0.2,0.1,nan,0.0,nan,0.0,0.1,0.2,0.2,0.24,0.11,0.265,0.11,0.08499999999999999,0.0,0.0,0.02,0.0,0.0,0.0,0.45,0.9,1.6,0.135,0.29,1.6,0.27,0.17,0.18
