Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Avg,0.3268493150684932,8.332240437158468,1.1221917808219177,2.0868493150684935,0.7821917808219178,1.5161202185792348,0.9336986301369862,7.85013698630137,2.196712328767123,1.0945355191256831,0.6112328767123287,6.17890410958904,1.2734246575342465,0.9256830601092895,1.2827397260273972,8.55835616438356,13.451232876712329,2.263032786885246,41.00090410958904,4.161315068493151,3.312904109589041,2.390983606557377,7.46186301369863,4.435068493150686,2.494246575342466,1.453005464480874,1.0506849315068494,15.892602739726025,4.378520547945205
Std,0.5277423528509736,24.397363892965902,1.6581804242556055,6.927051770960574,1.334324770570157,8.75626783951649,2.3786006631327705,19.284169992768728,11.715244261018524,1.5780158661670685,1.8715343827374469,28.172668556484755,4.777163776884023,3.3203374718349803,4.27031206080317,36.481270368625644,40.81805509535806,3.172733016072223,219.2827777595001,9.517029461835461,6.3097274590304915,2.3781311519105794,26.697505621166066,13.781684403414143,3.409140781884411,3.759371420975115,3.3009555813501814,40.87230114176355,6.268734682816811
CV,1.6146350275826098,2.928067676031454,1.4776265987629298,3.3193828231595237,1.7058793038812867,5.775444276920229,2.5475036444937245,2.456539296883602,5.33308076237436,1.4417219346409063,3.0619007158187723,4.559492760660195,3.7514302464773417,3.586905297200717,3.3290557500921767,4.262649236362239,3.034521479887914,1.4019827880792903,5.3482424966384,2.2870244874973293,1.9045910326131354,0.9946246161573216,3.577860592207908,3.107434400325032,1.3668018292924098,2.587307145688026,3.1417178284036926,2.571781464064215,1.4317015563073388
SP_Tim,19.0,81.0,12.0,93.0,131.0,31.0,65.0,97.0,51.0,125.0,33.0,50.0,49.0,97.0,104.0,3.0,345.0,72.0,31.0,68.0,359.0,40.0,49.0,13.0,77.0,65.0,135.0,67.0,96.0
SP_Mag,5.6,64.0,7.9,24.0,2.7,61.0,5.8,212.0,80.0,3.2,7.5,70.0,5.1,8.1,48.0,150.0,159.0,44.0,1600.0,43.0,55.0,7.5,50.0,29.0,17.0,37.0,15.0,349.0,16.0
SP_Dur,168.0,71.0,206.0,96.0,75.0,152.0,137.0,68.0,167.0,65.0,165.0,58.0,155.0,103.0,38.0,69.0,196.0,127.0,57.0,42.0,208.0,33.0,101.0,158.0,126.0,97.0,55.0,82.0,66.0
SP_ROC,0.19999999999999996,0.05434782608695653,0.12132352941176475,0.08333333333333323,0.25000000000000006,0.125,0.1538461538461538,0.07066567312468948,0.1250000000000001,0.14285714285714285,0.25000000000000006,0.04764605785592739,0.11111111111111108,0.16025641025641021,0.06896551724137923,0.05,0.06666666666666667,0.06805555555555554,0.09014492753623188,0.023532668881506114,0.05971479500891261,0.07692307692307698,0.02941176470588238,0.061224489795918505,0.07894736842105259,0.12132352941176475,0.10555555555555553,0.08333333333333333,0.07692307692307696
SU_Tim,187.0,152.0,218.0,189.0,206.0,183.0,202.0,165.0,218.0,190.0,198.0,108.0,204.0,200.0,142.0,72.0,176.0,199.0,88.0,110.0,202.0,73.0,150.0,171.0,203.0,162.0,190.0,149.0,162.0
SU_Mag_10,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3700000000000003,0.2,0.0,0.0,0.5,0.1,0.0,0.0,0.5,1.7000000000000002,0.524,1.8,0.91,0.0,0.395,1.1,0.8,0.4,0.2,0.0,1.2,0.35
SU_Mag_50,0.0,0.8500000000000001,0.0,0.0,0.0,0.0,0.3,1.0,0.4,0.1,0.0,0.8,0.4,0.3,0.2,1.2,2.4,0.95,2.6,1.5,0.68,1.0,1.5,1.3,0.7,0.5,0.19,2.1,1.0
