Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,0.7504109589041097,15.87295081967213,2.0515068493150688,4.19013698630137,1.7621917808219179,2.9740437158469946,1.610958904109589,15.601917808219177,2.217808219178082,1.0704918032786885,1.0857534246575342,9.115068493150686,2.5024657534246573,1.9243169398907103,3.0810958904109587,20.11150684931507,23.476438356164383,7.238524590163934,57.770273972602745,5.683342465753425,6.227698630136986,2.101120218579235,11.292109589041099,7.2645479452054795,3.8176164383561644,3.253196721311475,2.582986301369863,36.501205479452054,8.901616438356163,29.95270491803279,3.5177260273972597,8.0893698630137,40.66890410958904,4.833087431693989,3.4723561643835614,6.8335342465753435,1.3437534246575342,5.1287158469945355,2.5382465753424657,1.0383835616438357,4.8333150684931505,19.113688524590167,43.13852054794521,3.185972602739726,24.804027397260278,6.943196721311476,5.340931506849315,28.081589041095892,2.8921917808219173,4.0848087431694,4.453397260273972,0.6524383561643836,3.194356164383561,1.7763934426229506,52.3358904109589,7.236438356164384,0.8477808219178082,7.93379781420765,2.5664109589041098,13.422054794520552,20.458712328767124,3.803579234972678,1.8031232876712329,1.8944657534246576,1.7196986301369865
Std,0.8164279672042887,37.38147689417757,2.396259454491679,12.859922291798568,3.113566534692946,18.377267037229768,4.0323065782225544,36.781614252326435,8.165073336679658,1.860519722526734,4.035651368316874,39.58188000834863,7.3088439167567465,4.936933845035752,7.48897995169118,65.66155505924223,45.09064409137407,17.496085963799846,231.81555146677013,12.264717490806404,19.88922464978085,5.8433315504511905,38.07807604482745,19.23033401788648,10.36501700945566,14.030395590884478,8.261944685491045,107.24597327778906,11.78051515796856,89.69020374987643,7.857486441936313,23.68373293854449,110.23912769255507,6.733303619044331,6.712459723855318,13.26879560563692,1.245158027939854,9.976595931666168,5.99714778732659,3.685637413060555,18.706648418081688,55.01162948884297,101.12791769333187,3.7911066009179115,55.5130485309961,28.76144830556055,11.696791139791777,91.45386390240944,2.2822623038323377,11.496434079666628,12.886539795875285,1.0565110970807794,9.233345877433868,9.89102450109535,178.10780026172404,19.483547662232205,0.7206848007957117,36.039493130242604,7.8065081381219885,35.438097801346785,38.55559601175107,5.5133020986163155,1.5415205439889137,11.252706124552418,5.123314067326332
CV,1.0879744725431373,2.3550426961475153,1.1680484787519534,3.0690935245890394,1.7668715565343986,6.179218865986306,2.503047450767402,2.3575059620522856,3.6815957602076286,1.7380046412577455,3.7169133218159454,4.342466547354147,2.9206569187828038,2.565551309503174,2.430622161094861,3.2648749569691464,1.9206765271331834,2.417079025686311,4.012713382261394,2.158011340106795,3.1936716644465117,2.7810553145799606,3.372095864335386,2.6471480624721164,2.7150493447473614,4.312802696182586,3.19860182034624,2.9381488054733422,1.3234130272348643,2.994394128854758,2.2336834593539994,2.927759929340294,2.7106490845068665,1.393168179596602,1.9331138299423163,1.9417178764102392,0.926626868509892,1.9452424796574614,2.3627128449951487,3.5493988437431794,3.870355677829571,2.8781273388477238,2.34426022053621,1.1899369748684625,2.238065925420151,4.1423928285482745,2.1900282983954362,3.256719688069348,0.7891116761225817,2.8144363181974965,2.8936425480897943,1.6193270783341078,2.8905185903763164,5.568037048420233,3.4031674795854636,2.6924222529492123,0.8500838685704329,4.5425272957805864,3.0417997207491148,2.640288565638557,1.8845563392344007,1.4495036800925007,0.8549168847903995,5.9397780636629145,2.979192968780944
SP_Tim,119.0,85.0,12.0,93.0,131.0,31.0,144.0,98.0,51.0,123.0,321.0,50.0,46.0,97.0,105.0,4.0,118.0,330.0,61.0,65.0,342.0,365.0,49.0,74.0,72.0,255.0,130.0,63.0,91.0,50.0,61.0,76.0,61.0,359.0,354.0,75.0,65.0,111.0,41.0,48.0,86.0,83.0,51.0,39.0,70.0,52.0,27.0,133.0,97.0,52.0,45.0,28.0,104.0,57.0,53.0,95.0,58.0,28.0,39.0,18.0,79.0,77.0,25.0,59.0,200.0
SP_Mag,9.5,63.0,12.0,52.0,6.9,162.0,15.0,183.0,100.0,12.0,8.7,98.0,30.0,24.0,61.0,118.0,74.0,58.0,1800.0,104.0,14.0,36.0,104.0,29.0,40.0,143.0,114.0,1400.0,60.0,840.0,59.0,292.0,1530.0,93.0,67.0,89.0,6.4,112.0,50.0,61.0,135.0,263.0,879.0,55.0,368.0,376.0,87.0,232.0,13.0,144.0,169.0,17.4,36.3,181.0,1070.0,137.0,6.82,422.0,97.8,426.0,172.0,64.8,8.19,175.0,63.2
SP_Dur,101.0,91.0,202.0,111.0,81.0,150.0,54.0,77.0,48.0,80.0,196.0,65.0,151.0,103.0,42.0,60.0,83.0,209.0,60.0,74.0,224.0,41.0,128.0,98.0,112.0,nan,61.0,102.0,120.0,54.0,128.0,71.0,124.0,158.0,182.0,110.0,128.0,91.0,81.0,128.0,67.0,80.0,86.0,161.0,85.0,82.0,104.0,67.0,129.0,118.0,121.0,165.0,92.0,70.0,52.0,93.0,112.0,68.0,97.0,192.0,113.0,129.0,201.0,63.0,23.0
SP_ROC,0.18750000000000003,0.0625,0.07692307692307698,0.08333333333333333,0.11111111111111108,0.10582306830907054,0.22526315789473683,0.06497890295358649,0.08695652173913032,0.19999999999999996,0.1333333333333333,0.07092555331991951,0.11764705882352938,0.12202380952380958,0.07142857142857142,0.058823529411764705,0.04880952380952381,0.07142857142857142,0.05357142857142857,0.06316489361702128,0.06329113924050632,0.08000000000000007,0.06999999999999992,0.05263157894736839,0.08022988505747126,nan,0.09037968786396464,0.06666666666666667,0.046511627906976785,0.1056338028169014,0.07142857142857134,0.09090909090909091,0.05,0.04918032786885243,0.06250000000000006,0.06250000000000006,0.07549857549857555,0.07499999999999996,0.07142857142857134,0.09495192307692316,0.06250000000000006,0.06896551724137931,0.06521739130434782,0.057692307692307654,0.067816091954023,0.08695652173913032,0.06217783505154638,0.058823529411764705,0.06711711711711718,0.07692307692307698,0.07692307692307693,0.06318589956767542,0.06215722120658133,0.08791208791208799,0.06277056277056277,0.06666666666666667,0.06250000000000006,0.0479944192535752,0.045851528384279465,0.07321671074262029,0.034482758620689655,0.049744548855031365,0.048632218844984844,0.058703058607357556,0.15271739130434783
SU_BFL_Tim,220.0,176.0,214.0,204.0,212.0,181.0,198.0,175.0,99.0,203.0,152.0,115.0,197.0,200.0,147.0,64.0,201.0,174.0,121.0,139.0,201.0,41.0,177.0,172.0,184.0,172.0,191.0,165.0,211.0,104.0,189.0,147.0,185.0,152.0,171.0,185.0,193.0,202.0,122.0,176.0,153.0,163.0,137.0,200.0,155.0,134.0,131.0,200.0,226.0,170.0,166.0,193.0,196.0,127.0,105.0,188.0,170.0,96.0,136.0,210.0,192.0,206.0,226.0,122.0,223.0
SU_BFL_Mag_10,0.1,0.8,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.7,0.4,0.1,0.4,1.7,3.3999999999999995,1.3,4.4,0.98,0.73,0.3,1.0,0.66,0.31,0.295,0.19,2.8,0.76,2.4,0.35,0.653,5.05,0.536,0.193,0.33,0.07,0.2,0.12700000000000003,0.01,0.15,0.8160000000000001,2.1,0.26,1.6,0.23700000000000004,0.25,2.9,0.29,0.18,0.1,0.06,0.09,0.02,2.1580000000000004,0.41200000000000003,0.14,0.1,0.15,2.4789999999999996,2.827,0.636,0.31,0.19,0.15899999999999997
SU_BFL_Mag_50,0.25,1.4,0.3,0.1,0.1,0.1,0.2,1.1,0.2,0.0,0.2,1.0,0.8,0.7,0.7,3.0,4.2,1.7,5.4,1.1,1.1,0.98,1.5,1.3,0.71,1.1,0.315,4.2,1.9,3.1,0.98,2.5,6.9,0.78,0.45,0.76,0.15,0.28,0.29,0.07,0.825,2.0,3.2,0.62,2.2,0.55,0.61,3.5,0.45,0.405,0.22,0.17,0.24,0.29,3.3,0.57,0.25,0.665,0.625,2.8600000000000003,3.4,0.9,0.48,0.48,0.52
