Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,2.1265753424657534,50.55382513661201,6.645479452054795,7.854520547945207,3.8805479452054796,5.248907103825136,3.57972602739726,95.7813698630137,12.393698630136988,4.59672131147541,1.9901369863013698,54.65013698630137,9.763013698630136,3.5685792349726775,11.541369863013697,57.50547945205479,56.84465753424657,8.187704918032786,161.2786301369863,17.93041095890411,21.629205479452054,11.328415300546448,57.45493150684931,20.354794520547944,26.138356164383563,11.429754098360656,5.053808219178082,141.92265753424658,29.107397260273974,72.535,10.156438356164385
Std,4.411731626351908,134.376752291483,4.942270855434968,8.918115324131511,1.5754033103199354,5.956659166266296,3.277708008342523,229.25611551763032,45.081792196961274,5.730294355720918,1.2697799325572776,285.05516578563726,14.133515077710397,2.51186727682802,35.755441977413554,202.08904892646464,84.40822692621805,8.3934001317017,677.3462101209741,49.67818070253081,47.3139157805822,30.143887384825728,169.31601427729373,48.80426559253065,82.48337222245593,40.86134545172644,6.62879463961428,511.27610500099877,56.21339726794519,243.8331451318518,27.5390254784187
CV,2.0745710430539117,2.6580926750519,0.7437041813298826,1.135411801356169,0.40597444808442273,1.1348379859733821,0.9156309681960976,2.393535567986884,3.637476877752915,1.2466046922217402,0.6380364473890506,5.2160009380596675,1.4476590440197266,0.7038844064918883,3.0980240995480104,3.5142572647352055,1.4848928745039154,1.0251224507634473,4.1998509631787675,2.7706102674607687,2.1875013312685416,2.6609094551266743,2.946936143455488,2.3976791091289704,3.1556449726111224,3.574997773363042,1.3116434878671244,3.602498106249353,1.9312409407578917,3.3615929569428804,2.7114845295845336
SP_Tim,210.0,89.0,25.0,93.0,151.0,137.0,146.0,98.0,52.0,251.0,333.0,41.0,42.0,99.0,95.0,363.0,27.0,75.0,57.0,62.0,356.0,363.0,43.0,64.0,67.0,42.0,11.0,63.0,87.0,47.0,62.0
SP_Mag,41.0,361.0,26.0,54.0,7.0,23.0,9.0,1000.0,162.0,41.0,3.7,3890.0,60.0,13.0,404.0,2900.0,332.0,21.0,6250.0,469.0,230.0,337.0,2690.0,172.0,1110.0,483.0,80.0,7020.0,653.0,2560.0,237.0
SP_Dur,28.0,55.0,221.0,176.0,68.0,84.0,82.0,64.0,129.0,nan,251.0,79.0,169.0,115.0,40.0,69.0,177.0,193.0,169.0,51.0,217.0,77.0,107.0,137.0,128.0,57.0,200.0,85.0,143.0,77.0,125.0
SP_ROC,0.1547619047619047,0.07142857142857142,0.07894736842105259,0.06666666666666667,0.05266805266805266,0.06971153846153849,0.050000000000000044,0.0625,0.08333333333333333,nan,0.07417582417582416,0.05405405405405406,0.05651340996168585,0.14459930313588845,0.16249999999999998,0.3269230769230769,0.14893617021276595,0.044994944388270924,0.05263157894736842,0.20288753799392095,0.08012820512820512,0.22641509433962265,0.15349281426232492,0.04400386847195362,0.07692307692307693,0.13333333333333333,0.07596153846153841,0.07942238267148015,0.04145189003436418,0.05133635168687016,0.09230769230769226
SU_BFL_Tim,238.0,144.0,246.0,269.0,219.0,221.0,228.0,162.0,181.0,207.0,219.0,120.0,211.0,214.0,135.0,67.0,204.0,268.0,226.0,113.0,208.0,75.0,150.0,201.0,195.0,99.0,211.0,148.0,230.0,124.0,187.0
SU_BFL_Mag_10,0.4,2.0600000000000023,1.56,3.0,1.0,1.0,0.4,1.9,1.7000000000000002,nan,0.5,3.2,1.5,0.8800000000000001,1.1,3.1000000000000005,4.1,2.6,0.52,2.6,2.3,1.5,4.76,1.6,2.2,1.48,0.528,0.34,2.6199999999999997,4.2,1.2
SU_BFL_Mag_50,0.5,6.7,3.3,3.2,1.6,2.6,1.9,6.4,2.1,nan,0.6,4.0,1.9,1.8,2.2,6.6,8.7,3.0,6.6,6.3,2.7,3.4,9.0,3.0,3.5,3.7,1.0,11.0,4.9,6.15,4.2
