Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,0.8761095890410958,0.740792349726776,6.6060273972602745,1.687013698630137,2.8103287671232877,0.6094808743169399,0.44315068493150683,11.212602739726027,2.58813698630137,3.571092896174864,1.7425753424657533
Std,3.9881989877728565,7.003794106471371,29.529447208466422,9.979373088846197,13.428156184750355,4.670162059814921,3.0111265250561603,46.965502928006,10.358022571788165,22.18952108090919,8.930563310275788
CV,4.552169086675504,9.454463331127215,4.47007640639111,5.915407264890318,4.7781442306110335,7.662524381997854,6.794814105999991,4.188635236456578,4.002115276977865,6.213649917838107,5.124922344900734
SP_Tim,152.0,365.0,48.0,11.0,71.0,45.0,11.0,67.0,90.0,53.0,69.0
SP_Mag,5.2,120.0,80.0,170.0,75.0,36.0,9.2,649.0,119.0,139.0,107.0
SP_Dur,26.0,23.0,60.0,98.0,58.0,81.0,158.0,67.0,78.0,44.0,63.0
SP_ROC,0.3333333333333333,0.15584415584415584,0.21739130434782608,0.1653005464480874,0.2,0.2540322580645161,0.4585650723025584,0.09183673469387758,0.1392405063291139,0.20000000000000004,0.16260162601626013
SU_Tim,178.0,23.0,108.0,109.0,129.0,126.0,169.0,134.0,168.0,97.0,132.0
SU_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
SU_Mag_50,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.405,0.0,0.0,0.0
SU_Dur_Fl,nan,296.0,229.0,230.0,nan,149.0,nan,238.0,nan,297.0,263.0
SU_Dur_Wet,176.0,356.0,257.0,288.0,270.0,236.0,207.0,238.0,238.0,304.0,270.0
SU_No_Flow,145.0,275.0,78.0,164.0,206.0,212.0,184.0,11.0,145.0,166.0,204.0
FA_Tim,nan,nan,319.0,335.0,338.0,nan,275.0,nan,6.0,nan,29.0
FA_Mag,nan,nan,49.93429449270849,20.956175977619345,150.85267906808778,nan,9.599259162109268,nan,41.97751322001525,nan,24.01267968355697
FA_Tim_Wet,325.0,353.0,14.0,363.0,31.0,33.0,362.0,9.0,6.0,40.0,36.0
FA_Dur,nan,nan,4.0,4.0,3.0,nan,6.0,nan,4.0,nan,2.0
Tim_2,344.0,360.0,48.5,5.0,49.0,40.0,3.0,70.5,65.5,47.0,62.5
Dur_2,1.0,1.5,1.0,2.0,2.0,2.0,1.0,1.0,1.5,6.0,2.0
Fre_2,2.0,2.0,10.0,2.0,4.0,1.0,1.0,10.0,4.0,1.0,2.0
Tim_5,352.0,358.0,48.5,17.0,49.0,61.0,66.0,59.0,52.0,14.0,61.0
Dur_5,1.0,5.0,6.0,1.0,3.0,2.0,1.0,3.0,1.5,2.0,1.0
Fre_5,3.0,1.0,8.0,7.0,6.0,3.0,4.0,11.0,10.0,7.0,7.0
Tim_10,42.5,356.0,17.0,4.0,39.0,157.5,39.5,22.5,52.0,53.0,50.0
Dur_10,1.0,9.0,9.0,2.0,5.0,2.0,1.5,3.5,3.0,1.5,2.0
Fre_10,10.0,1.0,5.0,7.0,7.0,6.0,6.0,6.0,14.0,6.0,8.0
Tim_20,364.5,13.5,360.0,44.5,14.5,103.0,3.0,21.0,30.0,44.0,46.0
Dur_20,2.0,1.0,7.5,2.5,3.5,2.0,2.0,4.0,4.0,2.0,3.0
Fre_20,10.0,4.0,4.0,8.0,6.0,5.0,7.0,6.0,13.0,11.0,9.0
Tim_50,80.0,20.5,361.5,291.0,75.0,77.0,75.0,359.0,184.0,349.0,9.0
Dur_50,3.5,11.5,1.5,2.0,1.0,1.5,2.5,2.0,4.0,2.5,5.0
Fre_50,6.0,4.0,8.0,7.0,8.0,10.0,14.0,11.0,5.0,10.0,5.0
