Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,6.378356164383561,0.684808743169399,14.702849315068491,0.772958904109589,1.0866849315068492,0.6135245901639343,11.69441095890411,3.5217534246575344,8.388931506849316,2.790874316939891,0.359013698630137,22.782465753424653,5.25717808219178,11.214043715846994,3.785013698630137,1.1451780821917807,24.721999999999998,2.0315300546448087,1.0427945205479452,5.398931506849315
Std,51.27636906699873,1.2192102350704763,60.51437186563504,1.650506775129834,5.133271137585147,5.164272269068262,54.40415699765629,22.31749631694848,36.56580800825655,23.227449309413252,1.253832530089636,93.41631330916579,14.229304606024375,45.31966441956422,20.38339627319131,3.6553474858430817,74.0526451284527,8.557103262095636,5.333936465505769,30.61318433326899
CV,8.039119758367141,1.7803660470626965,4.115826161913783,2.1353098675163555,4.7237897469205805,8.417384326337048,4.652150261252195,6.337041134309026,4.358815896685012,8.322642538371792,3.4924364582014435,4.100360089211304,2.706643066595912,4.041331170799813,5.385289960923633,3.191946774642276,2.995414817913304,4.212147018219602,5.115040749066275,5.670230173217015
SP_Tim,28.0,77.0,60.0,67.0,359.0,365.0,63.0,12.0,73.0,45.0,7.0,67.0,91.0,56.0,69.0,105.0,64.0,363.0,358.0,78.0
SP_Mag,954.0,15.0,423.0,23.0,79.0,93.0,540.0,43.0,81.0,427.0,19.0,1210.0,48.0,173.0,343.0,20.0,263.0,160.0,99.0,160.0
SP_Dur,149.0,126.0,26.0,126.0,185.0,22.0,71.0,136.0,63.0,17.0,189.0,86.0,88.0,50.0,54.0,30.0,99.0,46.0,181.0,28.0
SP_ROC,0.11764705882352935,0.25000000000000006,0.09090909090909091,0.06000000000000005,0.08450704225352106,0.22000000000000003,0.052088985349972874,0.07142857142857134,0.058823529411764705,0.19166666666666668,0.10000000000000009,0.06896551724137931,0.04919354838709678,0.07692307692307693,0.06191489361702124,0.08333333333333323,0.079002079002079,0.048199767711962826,0.04196009389671351,0.0954545454545454
SU_Tim,177.0,203.0,86.0,193.0,179.0,22.0,134.0,148.0,136.0,62.0,196.0,153.0,179.0,106.0,123.0,135.0,163.0,44.0,174.0,106.0
SU_Mag_10,0.4,0.02,0.56,0.04,0.0,0.0,0.28,0.19,0.65,0.2,0.0,1.1,0.6,0.933,0.43000000000000005,0.10800000000000001,0.85,0.228,0.05,0.14
SU_Mag_50,0.6,0.08,0.85,0.05,0.01,0.175,0.46,0.45,0.87,0.36,0.03,1.6,0.77,1.4,0.63,0.29,1.9,0.48,0.18,0.505
