Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
Avg,0.9019178082191782,nan,1.2543956043956044,21.756164383561643,2.385205479452055,0.4065573770491804,0.11726027397260273,15.045205479452058,2.191232876712329,0.13934426229508196,1.8147945205479452,11.536164383561646,8.987123287671231,0.18142076502732243,28.700931506849315,0.27386301369863014
Std,4.829455472165374,nan,4.183806749889416,69.73779578270674,14.840631019851118,1.3111379347217225,2.1956502829763602,76.66332773548463,11.203577210678358,1.0588340874059878,9.523392987736779,49.40561120120628,50.255963170456496,0.8240803140109575,141.00208906917663,2.2197025921670472
CV,5.354651419624426,nan,3.3353168133152593,3.205426956389367,6.221950749190969,3.224976371694559,18.72458769360681,5.095532117536536,5.112910329954489,7.598691686090031,5.2476425732547165,4.282672260773811,5.591996633605653,4.542370405542325,4.912805322556422,8.10515652401933
SP_Tim,124.0,nan,64.0,100.0,56.0,122.0,nan,50.0,93.0,324.0,105.0,3.0,29.0,73.0,60.0,68.0
SP_Mag,11.0,nan,22.0,552.0,133.0,11.0,nan,638.0,15.0,12.0,66.0,116.0,150.0,11.0,978.0,18.0
SP_Dur,47.0,nan,116.0,40.0,49.0,40.0,nan,43.0,86.0,172.0,39.0,75.0,132.0,61.0,75.0,54.0
SP_ROC,0.1250000000000001,nan,0.10471491228070175,0.07549857549857553,0.09090909090909091,0.38750000000000007,nan,0.09999999999999996,0.11999999999999993,0.5,0.10172413793103444,0.07742257742257747,0.07692307692307693,0.1547619047619047,0.06666666666666667,0.1950757575757576
SU_Tim,171.0,nan,180.0,140.0,105.0,162.0,nan,93.0,179.0,131.0,144.0,78.0,161.0,134.0,135.0,122.0
SU_Mag_10,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU_Mag_50,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU_Dur_Fl,nan,nan,221.0,nan,271.0,nan,nan,nan,146.0,224.0,nan,nan,nan,nan,nan,nan
SU_Dur_Wet,nan,nan,226.0,266.0,273.0,nan,nan,306.0,273.0,326.0,174.0,305.0,271.0,249.0,288.0,300.0
SU_No_Flow,nan,nan,209.0,187.0,215.0,nan,nan,210.0,257.0,251.0,156.0,186.0,214.0,249.0,226.0,300.0
FA_Tim,nan,nan,14.0,34.0,nan,10.0,nan,336.0,nan,324.0,355.0,nan,nan,nan,nan,nan
FA_Mag,nan,nan,20.951520800290357,184.0098184987991,nan,8.933446983643199,nan,223.90484202593058,nan,11.513900749805732,20.603220957220348,nan,nan,nan,nan,nan
FA_Tim_Wet,11.0,nan,51.0,39.0,40.0,12.0,nan,35.0,33.0,86.0,92.0,316.0,17.0,66.0,18.0,56.0
FA_Dur,nan,nan,2.0,2.0,nan,4.0,nan,10.0,nan,4.0,1.0,nan,nan,nan,nan,nan
Tim_2,18.0,nan,55.0,73.0,47.0,nan,nan,5.0,63.5,nan,99.0,360.5,22.0,nan,45.0,nan
Dur_2,1.0,nan,1.0,3.0,1.0,nan,nan,8.5,1.5,nan,3.0,3.5,1.0,nan,4.0,nan
Fre_2,1.0,nan,1.0,7.0,3.0,0.0,nan,2.0,2.0,0.0,1.0,4.0,3.0,0.0,6.0,0.0
Tim_5,18.0,nan,55.0,49.0,47.0,nan,nan,39.0,89.5,nan,7.0,360.0,82.5,nan,58.0,63.0
Dur_5,1.0,nan,2.0,8.0,4.0,nan,nan,5.0,1.5,nan,2.0,11.0,8.5,nan,30.5,2.0
Fre_5,1.0,nan,3.0,5.0,3.0,0.0,nan,3.0,4.0,0.0,3.0,4.0,6.0,0.0,2.0,1.0
Tim_10,75.0,nan,81.5,25.0,41.0,32.0,nan,29.5,87.0,21.0,52.5,29.0,22.0,70.5,20.0,61.5
Dur_10,2.0,nan,3.0,4.0,3.0,1.0,nan,2.0,4.0,1.0,2.5,31.0,17.0,1.0,96.0,2.0
Fre_10,5.0,nan,4.0,3.0,3.0,3.0,nan,4.0,5.0,3.0,4.0,3.0,5.0,2.0,1.0,2.0
Tim_20,58.0,nan,55.0,5.0,78.0,49.0,nan,4.0,57.5,21.0,7.0,319.0,339.0,73.0,20.0,61.5
Dur_20,4.0,nan,41.0,75.0,3.0,5.0,nan,9.0,41.5,2.0,12.0,158.0,10.0,3.0,152.0,6.0
Fre_20,7.0,nan,3.0,2.0,4.0,6.0,nan,4.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0
Tim_50,274.0,nan,275.0,274.0,274.0,274.0,nan,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0
Dur_50,365.0,nan,365.0,365.0,365.0,365.0,nan,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
Fre_50,1.0,nan,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
