Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Avg,0.45041095890410954,23.2396174863388,6.4,3.3230136986301373,1.8224657534246573,21.502459016393438,1.7219178082191782,32.55205479452055,3.6186301369863014,1.9508196721311475,0.9471232876712329,30.663287671232872,7.36027397260274,1.281967213114754,3.7575342465753425,13.088493150684933,9.265589041095891,1.0696448087431694,28.34449315068493,2.5062465753424656,1.6329589041095889,0.7120218579234974,21.625808219178083,7.342630136986302,19.02758904109589,2.0907103825136613,0.8242739726027397,50.04109589041096,11.621835616438354,20.641256830601094,6.995671232876712,2.22613698630137,50.904794520547945,4.621584699453552,1.6092602739726025,14.213863013698631,2.2285753424657533,1.224016393442623
Std,1.0223159825118064,158.51311003638023,27.946520355851106,13.382289122212883,7.326270198126087,135.45656017117366,6.440953017532921,111.11599037805327,18.806216788719023,8.622415626766427,4.864258656000047,151.9921820993705,33.97438898308922,1.751081620157974,18.052499677468255,52.15335058442035,77.43233747678539,1.8667395481174756,112.3445265175021,7.284163373290693,5.1430949597916635,6.139717848268993,107.52174717124784,43.27826474869022,90.30567868305101,7.068521617425558,1.5897268935801172,199.9271536565506,35.28554592006602,89.50456176398191,36.12875848241887,7.720321388219478,151.62017535636465,17.698864731650843,3.9824522287373725,77.09876095255741,12.025571732961286,4.305661603833467
CV,2.2697404721217116,6.820814074481248,4.366643805601735,4.027154365246683,4.019976882615788,6.299584622758812,3.7405693737462467,3.413486217059247,5.197054154968537,4.419893724644975,5.135824152270804,4.9568129722098835,4.615913634404453,1.3659332331155554,4.804347343985354,3.9846718781138772,8.356979478946009,1.7451957255894048,3.963539793082783,2.9064033223847296,3.1495556604935278,8.6229345067784,4.971918093488686,5.894109323400196,4.74603894839269,3.380918599029998,1.9286389555166616,3.995259298365232,3.0361422312803015,4.336197281906281,5.16444488023235,3.468035181898872,2.978504810488185,3.8296095133220267,2.4747098360331323,5.4241947370854335,5.396080403391649,3.5176502756826027
SP_Tim,65.0,80.0,5.0,93.0,22.0,30.0,64.0,95.0,56.0,37.0,340.0,50.0,91.0,96.0,104.0,36.0,28.0,77.0,59.0,67.0,359.0,365.0,63.0,12.0,74.0,45.0,134.0,67.0,92.0,55.0,69.0,105.0,64.0,364.0,45.0,78.0,69.0,65.0
SP_Mag,5.8,400.0,103.0,143.0,122.0,1550.0,38.0,861.0,154.0,38.0,64.0,920.0,399.0,17.0,264.0,74.0,1470.0,28.0,650.0,118.0,77.0,116.0,974.0,104.0,130.0,124.0,19.0,2330.0,116.0,594.0,576.0,60.0,1070.0,67.0,21.0,538.0,171.0,8.6
SP_Dur,100.0,41.0,45.0,72.0,150.0,21.0,117.0,51.0,31.0,117.0,137.0,47.0,91.0,104.0,32.0,65.0,142.0,111.0,109.0,37.0,101.0,23.0,67.0,120.0,57.0,127.0,28.0,77.0,67.0,54.0,61.0,76.0,88.0,89.0,126.0,38.0,37.0,90.0
SP_ROC,0.16666666666666663,0.07417582417582418,0.11309523809523808,0.1180555555555555,0.1333333333333333,0.08333333333333333,0.14285714285714282,0.0792778649921507,0.1028345418589321,0.1333333333333333,0.14285714285714282,0.1111111111111111,0.10433604336043359,0.14285714285714282,0.09999999999999998,0.05952380952380952,0.08620689655172414,0.08761904761904757,0.06756756756756757,0.09999999999999994,0.1111111111111112,0.1547619047619047,0.07417582417582418,0.07136363636363635,0.0732142857142857,0.07692307692307698,0.14285714285714296,0.0754985754985755,0.05555555555555562,0.07767722473604827,0.07408536585365849,0.05882352941176463,0.06997144022847818,0.037169159953970146,0.06666666666666672,0.060235507246376836,0.08703703703703705,0.07977272727272727
SU_BFL_Tim,165.0,121.0,50.0,165.0,172.0,51.0,181.0,146.0,87.0,154.0,112.0,97.0,182.0,200.0,136.0,101.0,170.0,188.0,168.0,104.0,95.0,23.0,130.0,132.0,131.0,172.0,162.0,144.0,159.0,109.0,130.0,181.0,152.0,88.0,171.0,116.0,106.0,155.0
SU_BFL_Mag_10,0.1,1.0,0.2,0.2,0.1,0.4,0.1,1.3,0.1,0.0,0.0,0.7,0.6,0.1,0.0,0.4,0.52,0.01,1.4,0.08,0.05,0.01,0.785,0.72,1.3,0.14,0.05,2.2,1.5,1.4,0.77,0.06,3.43,0.24700000000000003,0.1,0.802,0.06,0.05
SU_BFL_Mag_50,0.1,1.7,1.1,0.2,0.2,1.0,0.1,2.4,0.6499999999999999,0.1,0.0,1.6,0.9,0.45,0.2,0.7,0.7,0.04,2.2,0.25,0.07,0.06,1.4,1.0,2.2,0.34,0.06,3.5,2.2,2.0,1.2,0.31,5.1,0.66,0.16,1.4,0.375,0.16
