Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Avg,1.613688524590164,15.348465753424657,12.295698630136984,9.793863013698632,0.2871311475409836,0.16717808219178082,18.638109589041097,5.26268493150685,15.567431693989072,4.208191780821918,22.30753424657534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.2903013698630135,13.270383561643836,13.511671232876713,1.2238082191780821,6.141530054644809,4.757643835616437,11.344821917808218
Std,4.8205809120076575,38.31678595426899,32.65629630900457,22.239440766913862,0.3829076552092016,0.40758961843238384,49.740001354870415,12.720523226161225,47.05227502690048,16.569512009627584,52.17146666182663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.3030193273788,25.877231444846274,30.88808212251095,3.901610909515134,21.154337031789986,17.982768431915222,25.190617122168405
CV,2.9873056903791038,2.4964570771980568,2.655912225187708,2.2707526882709774,1.333563629332646,2.438056550767291,2.6687256621839333,2.4171166223547784,3.0224815468481165,3.9374422252189585,2.3387374904438847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.196441154505615,1.9499987566026913,2.2860297286803286,3.1880901340370817,3.444473420070796,3.7797634823551762,2.220450643004465
SP_Tim,40.0,50.0,67.0,85.0,60.0,4.0,68.0,93.0,56.0,88.0,105.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.0,87.0,98.0,62.0,59.0,68.0,106.0
SP_Mag,24.0,124.0,92.0,114.0,2.8,4.2,339.0,31.0,298.0,27.0,395.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140.0,106.0,234.0,41.0,140.0,163.0,88.0
SP_Dur,106.0,86.0,101.0,80.0,118.0,134.0,87.0,67.0,32.0,72.0,51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.0,68.0,31.0,82.0,70.0,26.0,68.0
SP_ROC,0.07142857142857134,0.08452380952380953,0.07692307692307696,0.052177858439201405,0.10869565217391314,0.15301003344481606,0.06630036630036629,0.06299603174603173,0.09259259259259259,0.07142857142857138,0.06024096385542179,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06060606060606055,0.061699429296131925,0.1076388888888889,0.06999999999999995,0.048861228813559435,0.040000000000000036,0.04312070938215096
SU_Tim,146.0,136.0,168.0,165.0,178.0,138.0,155.0,160.0,88.0,160.0,156.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.0,155.0,129.0,144.0,129.0,94.0,174.0
SU_Mag_10,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.06,0.2,0.0,0.0,0.0,0.03400000000000002
SU_Mag_50,0.0,0.22,0.41,nan,nan,0.0,0.195,0.15000000000000002,0.98,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.355,1.0,0.92,0.0,0.215,1.145,1.23
SU_Dur_Fl,174.0,nan,195.0,nan,nan,221.0,219.0,199.0,nan,159.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,213.0,199.0,215.0,nan,nan,194.0,113.0
SU_Dur_Wet,230.0,199.0,227.0,nan,nan,233.0,226.0,214.0,298.0,203.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,230.0,275.0,280.0,222.0,282.0,286.0,205.0
SU_No_Flow,141.0,83.0,46.0,nan,nan,210.0,48.0,94.0,45.0,109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,93.0,5.0,0.0,178.0,134.0,99.0,18.0
FA_Tim,nan,320.0,nan,362.0,nan,nan,357.0,8.0,358.0,nan,317.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,343.0,352.0,343.0,nan,nan,286.0
