Year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,1.0587397260273972,10.962657534246574,3.457950819672131,4.554027397260273,12.67849315068493,2.477178082191781,3.066693989071038,2.7861643835616436,1.2068219178082191,1.3989589041095891,1.03724043715847,8.559424657534247,4.294109589041096,0.6807945205479452,2.9255737704918032,1.1368219178082193,4.584958904109589,8.768191780821915,1.8133333333333335,0.9411077844311375,0.21063013698630137,0.35983561643835615,1.1058247422680414
Std,0.9492607365503375,27.953551195588034,4.043958849680491,5.563407101281719,14.53466029132431,1.8385029596577467,4.477929269841315,4.125456763465667,1.4538190739543837,1.8008570291411305,2.51368403188136,19.03402126252899,5.419605918953644,0.6116590275614125,5.53286989373068,1.7475698300075124,5.826124284324299,10.492565509774945,0.7459594865376775,1.4977498992948075,0.689126815115288,0.7544083958788935,1.7532178339865354
CV,0.8965949923425971,2.5498882098855224,1.1694668491739635,1.2216455053890747,1.1464028192135043,0.7421763388246431,1.46018131766638,1.4806939561089225,1.204667443059661,1.2872837249549813,2.423434279874029,2.223750079483988,1.2621023768897055,0.8984488110584554,1.8912084697835454,1.537241499862009,1.2707037088385305,1.1966624102274586,0.4113747168406309,1.59147541235156,3.271738911512488,2.096536199907082,1.5854391450770886
SP_Tim,56.0,86.0,68.0,35.0,58.0,105.0,62.0,72.0,37.0,128.0,63.0,86.0,102.0,2.0,59.0,69.0,68.0,92.0,nan,2.0,60.0,346.0,nan
SP_Mag,4.7,100.0,19.0,22.0,54.0,13.0,26.0,18.0,4.7,5.05,8.66,34.8,20.5,7.24,34.8,9.82,13.0,39.0,nan,4.55,9.0,8.58,nan
SP_Dur,175.0,71.0,131.0,165.0,175.0,132.0,144.0,131.0,179.0,103.0,128.0,110.0,87.0,212.0,117.0,146.0,175.0,142.0,nan,164.0,118.0,237.0,nan
SP_ROC,0.052631578947368356,0.03571428571428571,0.041666666666666706,0.0285714285714286,0.044466403162055336,0.032795698924731206,0.05782085561497325,0.055555555555555684,0.04560308972073682,0.04530791788856309,0.05128205128205133,0.02818155564112431,0.023030967194570078,0.05785123966942154,0.03174603174603177,0.03639333647280432,0.023182297154899962,0.02131445445597032,nan,0.034482758620689495,0.08248299319727888,0.09677419354838701,nan
SU_Tim,231.0,157.0,199.0,200.0,233.0,237.0,206.0,203.0,216.0,231.0,191.0,196.0,189.0,214.0,176.0,215.0,243.0,234.0,nan,166.0,178.0,218.0,nan
SU_Mag_10,0.08,1.2,0.73,0.74,0.8899999999999999,0.335,0.41600000000000004,0.47,0.0,0.2,0.02,0.66,0.75,0.01,0.28,0.06,0.41,nan,nan,0.01,0.0,nan,nan
SU_Mag_50,0.20500000000000002,1.6,1.1,0.965,2.2,0.6,0.635,0.7,0.04,0.33,0.09,1.0,0.95,0.1,0.38,0.66,0.76,nan,nan,0.07,0.0,nan,nan
SU_Dur_Fl,145.0,190.0,104.0,141.0,42.0,147.0,172.0,115.0,97.0,134.0,nan,171.0,91.0,156.0,214.0,73.0,111.0,nan,nan,nan,nan,nan,nan
SU_Dur_Wet,148.0,243.0,153.0,198.0,168.0,156.0,204.0,121.0,99.0,181.0,168.0,235.0,170.0,161.0,223.0,166.0,122.0,nan,nan,251.0,160.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0,nan,nan,21.0,146.0,nan,nan
FA_Tim,345.0,10.0,346.0,303.0,339.0,274.0,18.0,13.0,316.0,312.0,364.0,nan,365.0,279.0,4.0,25.0,286.0,353.0,nan,nan,nan,nan,nan
FA_Mag,3.961632478899443,96.92512952138563,9.40800233142308,8.620838161408777,17.85590540075255,2.7251104667391544,7.73982241828278,11.922761068133383,5.341876683802133,12.551198450399367,5.922758393058667,nan,11.555208568797905,1.585842050432947,29.232587996032997,5.983469787652419,24.532216873227284,24.71474142938462,nan,nan,nan,nan,nan
FA_Tim_Wet,30.0,13.0,34.0,352.0,31.0,35.0,27.0,45.0,322.0,314.0,46.0,359.0,64.0,358.0,9.0,34.0,14.0,364.0,nan,330.0,50.0,337.0,nan
FA_Dur,4.0,2.0,7.0,2.0,6.0,9.0,4.0,3.0,9.0,8.0,3.0,nan,4.0,3.0,8.0,5.0,6.0,3.0,nan,nan,nan,nan,nan
Tim_2,nan,52.0,52.0,24.0,90.0,nan,54.0,65.0,nan,nan,56.0,48.0,47.5,nan,27.0,nan,38.5,49.0,nan,nan,nan,nan,nan
Dur_2,nan,9.0,1.0,2.0,2.0,nan,1.0,2.0,nan,nan,1.0,2.0,2.5,nan,1.0,nan,2.0,2.0,nan,nan,nan,nan,nan
Fre_2,0.0,4.0,1.0,3.0,7.0,0.0,3.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,3.0,0.0,2.0,3.0,nan,0.0,0.0,0.0,nan
Tim_5,nan,39.0,57.5,365.0,97.0,nan,54.0,64.0,nan,350.0,56.0,29.0,47.5,nan,25.0,64.0,49.0,49.0,nan,nan,nan,nan,nan
Dur_5,nan,3.0,1.5,1.0,4.5,nan,2.0,6.0,nan,1.0,2.0,4.0,6.0,nan,2.0,1.0,1.5,4.0,nan,nan,nan,nan,nan
Fre_5,0.0,6.0,6.0,5.0,4.0,0.0,7.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0,3.0,1.0,6.0,5.0,nan,0.0,0.0,0.0,nan
Tim_10,51.0,9.0,63.5,365.0,25.0,84.0,51.0,56.0,332.0,54.0,56.0,356.0,79.0,nan,25.0,63.0,65.5,2.0,nan,347.5,nan,nan,nan
Dur_10,1.0,3.0,1.5,2.0,1.5,1.0,6.0,1.0,1.0,1.0,3.0,20.0,2.0,nan,3.0,3.0,3.5,2.0,nan,1.5,nan,nan,nan
Fre_10,1.0,5.0,6.0,5.0,6.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,7.0,0.0,5.0,1.0,8.0,5.0,nan,2.0,0.0,0.0,nan
