Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
Avg,24.5186301369863,7.847397260273973,3.854371584699453,1.1495890410958904,7.33041095890411,18.92958904109589,3.1163934426229507,11.929315068493148,3.1720547945205477,22.861095890410958,5.278306010928962,30.192136986301367,15.194027397260273,6.187315068493151,1.4245628415300549,19.859698630136982,15.032712328767122,9.921479452054795,0.9357377049180327,0.6062191780821917,22.882493150684933,6.830931506849315,16.11139344262295,3.6193150684931505,25.86490410958904,43.32616438356164,8.835819672131148,3.3806575342465757,28.969726027397257,2.423369863013699,1.7253005464480875,2.13786301369863,1.8930410958904111,3.859698630136986,5.556803278688524,2.153260869565217
Std,66.2450220061042,37.6259241010586,19.22707477455983,1.8230280683418163,28.986456565345726,82.74534064502515,8.552394232145376,34.310662759307405,5.229828819038881,84.28552236885528,25.503651273453805,97.55107188043773,50.97617310130335,14.052514031281449,2.7124340691313176,60.15605534527423,33.831728935723326,28.222742194714243,1.0810743376618541,1.177876173767044,83.79014565643544,16.736528148775683,49.55303558299947,11.25349415798247,107.03473210875778,98.57589450857019,27.290059445642783,7.582139583490871,107.78353537279794,11.101954185016936,3.7266404378994866,5.909931769105404,1.7817119091138867,20.531164875429084,24.61717875903323,4.761374050102612
CV,2.701823945138506,4.794701077710571,4.988381206130928,1.5858084960552024,3.95427442306443,4.37121695908908,2.7443242933238716,2.876163682685041,1.648719570693722,3.686853979918289,4.831787171991807,3.231009183771859,3.355013899112435,2.271181259677435,1.904046624028198,3.0290517729200457,2.2505405675183283,2.8446102550632357,1.1553177049294518,1.9429873160616944,3.661757707285816,2.450109202821623,3.075651759077903,3.109288344622536,4.138222653184946,2.275204738547565,3.0885713446277907,2.2428002560693128,3.7205576356112195,4.581205021346005,2.159994932808431,2.7644108772343046,0.9411902958587597,5.319369941248601,4.430097220365014,2.211238831950734
SP_Tim,96.0,56.0,43.0,81.0,50.0,108.0,26.0,11.0,41.0,81.0,36.0,60.0,25.0,359.0,40.0,63.0,95.0,84.0,105.0,81.0,18.0,92.0,55.0,86.0,105.0,66.0,363.0,90.0,54.0,49.0,21.0,88.0,54.0,87.0,55.0,nan
SP_Mag,778.0,88.0,200.0,9.0,238.0,225.0,54.0,289.0,23.0,76.0,19.0,354.0,378.0,112.0,15.0,303.0,192.0,238.0,2.3,2.8,1040.0,56.0,323.0,35.0,495.0,450.0,457.0,30.0,807.0,12.0,54.0,39.0,4.0,309.0,140.0,nan
SP_Dur,42.0,43.0,34.0,119.0,47.0,40.0,39.0,150.0,134.0,75.0,108.0,27.0,78.0,172.0,156.0,56.0,62.0,94.0,99.0,118.0,126.0,75.0,32.0,80.0,36.0,91.0,36.0,99.0,50.0,58.0,158.0,127.0,157.0,40.0,64.0,nan
SP_ROC,0.08012820512820512,0.055555555555555684,0.06698028673835128,0.1250000000000001,0.13541666666666663,0.07142857142857142,0.06976744186046507,0.0625,0.050000000000000044,0.08198924731182795,0.06818181818181834,0.09338662790697674,0.08893280632411067,0.051315789473684204,0.07692307692307698,0.06666666666666667,0.052177858439201405,0.05131578947368423,0.11805555555555558,0.09999999999999998,0.09090909090909091,0.05298245614035087,0.08846153846153847,0.051724137931034454,0.06458333333333333,0.08108108108108109,0.08333333333333333,0.0555555555555556,0.09859154929577464,0.0714285714285715,0.0555555555555556,0.07526881720430113,0.07142857142857134,0.0727272727272728,0.06250000000000006,nan
SU_Tim,138.0,99.0,77.0,200.0,97.0,148.0,65.0,161.0,175.0,156.0,144.0,87.0,103.0,166.0,196.0,119.0,157.0,178.0,204.0,199.0,144.0,167.0,87.0,166.0,141.0,157.0,34.0,189.0,104.0,107.0,179.0,215.0,211.0,127.0,119.0,nan
SU_Mag_10,0.6,0.5100000000000001,0.3,0.1,0.4,1.0,0.3,0.5,0.2,1.1,0.41,1.0200000000000002,0.71,0.3,0.14,0.51,0.77,0.65,0.16,0.02,0.76,0.514,0.77,0.27,1.1,1.4,0.76,0.4,0.826,0.24,0.19,0.26,0.42,0.14,nan,nan
SU_Mag_50,1.1,0.95,0.5,0.3,1.3,2.1500000000000004,1.0,1.0,0.4,2.0,0.92,2.0,1.2,0.5,0.77,1.2,1.6,0.975,0.27,0.175,1.2,0.96,1.2,0.41,3.0,2.8,2.1500000000000004,0.65,1.3,0.48,0.37,0.34,0.62,0.58,nan,nan
