Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,92.1948087431694,44.0586301369863,22.80931506849315,21.627397260273973,92.25491803278688,18.078630136986302,103.30301369863014,16.5427397260274,10.199726775956284,5.465753424657534,22.921643835616436,65.99068493150685,10.313661202185795,52.06739726027397,17.971232876712328,69.58,21.860737704918034,85.70027397260274,42.01416438356164,25.605424657534247,6.4250546448087436,71.58657534246575,65.32383561643836,35.61232876712329,4.112786885245901,1.7240821917808218,63.011945205479456,22.933972602739725,57.19644808743169,13.31153424657534,99.15682191780823,164.23205479452054,49.75218579234973,19.640821917808218,63.62109589041096,7.525589041095891,6.179644808743169,9.813835616438357,10.379013698630137,13.461616438356163,26.515109289617488,52.3271506849315,12.593150684931507,82.59087671232876,53.82704918032787,61.74657534246575,119.71616438356165,48.11643835616438,56.830327868852464,20.194520547945206,26.607068493150685,34.35506849315069,32.9005737704918,51.294520547945204,92.48846575342466,11.865534246575344,24.155628415300544,25.474082191780823,36.45860273972603,46.07994520547944,18.91237704918033,23.346739726027394,2.5399452054794525,16.59054794520548
Std,212.98600456943117,102.55767619280714,40.12429415855997,40.92129318205254,345.3152247483827,35.93187059075651,244.11382156962884,52.951250085758936,27.553350632416553,8.343065682367394,70.48732168160278,225.06064441979666,28.16062882034681,133.47383615173933,36.43538653055158,188.798076841842,73.64163759893995,212.56246482382477,109.8873755680481,47.7622068929548,12.757845346812637,172.70925877425887,125.5463883337319,64.75162143250536,4.484773254064741,2.7906252147386117,152.5095554959952,54.428110654549705,159.64220227416922,34.40974469897775,273.2115264276262,310.85386354256474,121.44558444653765,42.356029855002646,215.61977066161836,20.448548757720342,14.896990183943394,25.867252393401525,10.704544988497702,52.55417193523352,115.80916093356173,171.7774851947327,35.39723513994612,215.8135715229187,118.67886022358935,197.8513214319816,316.39315777471853,114.22376310797841,171.03451520583727,43.202479921243736,71.30782411610517,95.45505609753917,102.17146523705718,90.86847763092493,191.81853322932284,27.974348877597482,94.02245605803077,105.70626166724693,83.36001776068287,129.98074998465097,52.38618633443913,105.76565830536806,5.862641089555353,62.97004356912115
CV,2.3101735062193622,2.327754536941722,1.7591187652094062,1.892104384526118,3.7430549190413855,1.9875328118608402,2.3630851882191113,3.2008754875378034,2.701381246541603,1.5264255509093227,3.0751425241184998,3.4104911117893675,2.7304201939829738,2.5634820093758806,2.027428322837309,2.7133957580029033,3.368671203734022,2.480300878522024,2.615484020218723,1.8653159450296815,1.9856399753923655,2.412592835291093,1.9219077867824848,1.8182360905384818,1.0904463030052187,1.6186149523742526,2.420327685467693,2.373252623841002,2.79112091069251,2.5849570801976,2.7553477526144707,1.8927721749051398,2.4410100282511014,2.1565304156950114,3.3891238062454816,2.7172024204423715,2.4106547617213585,2.635794342231838,1.0313643761651967,3.904001586725573,4.367666739314896,3.2827601531187316,2.810832334619892,2.613043717584161,2.2048182471604414,3.2042476904125694,2.642860798321424,2.3739031193971316,3.0095641116224807,2.1393169408837287,2.6800330947568147,2.778485396312625,3.1054615019721554,1.7715045712531767,2.073972485830972,2.3576139342964266,3.892362245416704,4.149561144988097,2.2864293060208833,2.8207661577079035,2.7699419379283987,4.530211050730071,2.3081762066787155,3.7955373009436335
SP_Tim,80.0,14.0,93.0,63.0,364.0,145.0,96.0,56.0,43.0,84.0,69.0,45.0,27.0,11.0,40.0,105.0,81.0,51.0,25.0,360.0,41.0,63.0,96.0,85.0,107.0,81.0,21.0,92.0,57.0,87.0,105.0,76.0,363.0,91.0,53.0,79.0,21.0,89.0,51.0,87.0,55.0,62.0,55.0,86.0,56.0,30.0,56.0,45.0,58.0,69.0,6.0,358.0,60.0,92.0,97.0,62.0,32.0,67.0,106.0,87.0,108.0,363.0,97.0,355.0
SP_Mag,679.0,507.0,150.0,102.0,1550.0,124.0,2640.0,233.0,323.0,24.0,443.0,450.0,123.0,1350.0,156.0,308.0,218.0,1300.0,967.0,250.0,71.0,812.0,902.0,675.0,15.0,14.0,762.0,192.0,548.0,109.0,1840.0,1160.0,1250.0,235.0,1640.0,43.0,222.0,154.0,122.0,522.0,410.0,517.0,426.0,1020.0,815.0,1210.0,1500.0,496.0,917.0,393.0,403.0,448.0,793.0,339.0,707.0,242.0,388.0,536.0,432.0,1400.0,312.0,699.0,18.6,211.0
SP_Dur,52.0,168.0,65.0,131.0,132.0,52.0,48.0,46.0,39.0,107.0,47.0,119.0,36.0,135.0,84.0,67.0,46.0,77.0,97.0,162.0,94.0,74.0,43.0,71.0,80.0,132.0,140.0,65.0,70.0,50.0,55.0,87.0,188.0,53.0,65.0,93.0,171.0,51.0,151.0,36.0,57.0,67.0,126.0,80.0,69.0,53.0,121.0,107.0,40.0,30.0,151.0,172.0,64.0,89.0,63.0,38.0,73.0,43.0,66.0,39.0,50.0,45.0,78.0,88.0
SP_ROC,0.047619047619047616,0.05952380952380952,0.06904761904761905,0.07843137254901951,0.06921052631578947,0.07375776397515524,0.058823529411764705,0.07142857142857142,0.08333333333333333,0.08333333333333334,0.08,0.08333333333333333,0.08333333333333333,0.067816091954023,0.05634920634920634,0.05461767626613704,0.0732142857142857,0.07692307692307693,0.06557377049180328,0.06666666666666667,0.052631578947368356,0.05555555555555555,0.046536796536796536,0.05405405405405406,0.0774225774225775,0.09090909090909098,0.0682494501229137,0.05798319327731093,0.057971014492753624,0.051546391752577324,0.04494949494949495,0.056661316211878004,0.05444444444444445,0.0625,0.07012516083752485,0.0555555555555556,0.05882352941176465,0.06896551724137931,0.04800307219662059,0.08893280632411067,0.09090909090909091,0.06666666666666667,0.06781609195402294,0.05084745762711865,0.058823529411764705,0.05064102564102564,0.06480963045912654,0.078125,0.06493506493506493,0.0698051948051948,0.06074766355140174,0.07793522267206478,0.0383564522908785,0.061983735672664436,0.04841149773071098,0.05806379155435758,0.06394588212770022,0.07117527862208711,0.041666666666666664,0.06173074081111323,0.037378094523630924,0.05150309460654284,0.06731391585760524,0.056632290184921705
SU_BFL_Tim,132.0,182.0,158.0,194.0,131.0,197.0,144.0,102.0,82.0,191.0,116.0,164.0,63.0,146.0,124.0,172.0,127.0,128.0,122.0,157.0,135.0,137.0,139.0,156.0,187.0,213.0,161.0,157.0,127.0,137.0,160.0,163.0,186.0,144.0,118.0,172.0,192.0,140.0,202.0,123.0,112.0,129.0,181.0,166.0,125.0,83.0,177.0,152.0,98.0,99.0,157.0,165.0,124.0,181.0,160.0,100.0,105.0,110.0,172.0,126.0,158.0,43.0,175.0,78.0
SU_BFL_Mag_10,2.6,2.9,2.3,1.3,4.1,2.0,2.8200000000000003,1.2,0.7,0.2,0.5,3.8,0.8,2.4800000000000004,0.8,3.3,1.4,3.5,1.1,1.7,0.486,2.5,3.97,3.5300000000000002,0.6,0.0,2.1,1.9,1.9400000000000004,0.68,4.5600000000000005,6.700000000000001,2.4,2.1,3.2,0.57,0.23,0.716,1.7600000000000002,0.59,0.65,2.6,0.6,4.1,3.7,2.6,7.6,4.3,4.3,1.6219999999999999,1.7000000000000002,2.3,1.613,3.4299999999999997,4.784,1.48,1.05,1.17,2.3099999999999996,3.7190000000000003,1.73,0.7830000000000001,0.10999999999999999,0.45
SU_BFL_Mag_50,5.9,5.1,4.1,2.3,5.4,4.9,5.2,2.6,2.3,0.5,5.5,6.2,3.55,5.0,2.9,5.4,3.3,8.05,3.25,2.45,1.9,5.0,6.9,4.5,0.865,0.38,3.1,3.8,3.9,2.1,7.1,11.0,4.7,3.8,4.35,1.1,1.0,1.4,2.4,1.8,2.3,4.2,1.1,7.05,6.8,6.2,11.0,6.3,6.7,3.6,2.5,3.8,3.25,5.545,7.15,2.44,2.59,3.04,4.73,5.84,2.645,1.6349999999999998,0.295,1.77
