Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,39.764,31.549616438356168,7.760218579234973,84.55843835616439,79.86871232876713,26.27123287671233,3.0585519125683054,1.1601917808219178,47.11106849315069,25.15635616438356,47.705027322404376,12.776383561643836,97.59958904109588,111.23671232876713,50.62568306010929,24.53698630136986,62.946520547945205,10.458493150684932,8.236857923497267,12.144986301369864,7.208465753424658,14.625835616438357,26.846420765027325,52.05504109589041,9.557369863013697,nan,nan,nan,nan,nan,nan,3.3894117647058826,25.751506849315067,27.87145205479452,27.320273224043714,46.498958904109585,nan,0.8143956043956044,23.206174863387975,19.80005479452055,30.25353424657534,45.743452054794524,21.40494535519126,24.86646575342466,2.2756438356164383,20.764000000000003
Std,134.1202865980784,80.62936041170626,21.355474732375285,191.824888693357,179.10270289061933,55.06282309799517,3.2543112776920755,2.045254505096463,108.12822341741432,64.76915501411925,141.9464543251823,38.791699317798255,302.88315904755353,213.25387306736616,119.39677159436253,76.38723840711593,211.76360616913482,59.19251231505352,32.20699812316413,33.04698992882675,14.089243165924605,74.08795548998033,128.19288465002256,155.97845354999396,30.06453694264274,nan,nan,nan,nan,nan,nan,2.3840524721421192,61.562641439570115,71.72207206417845,84.156320023664,84.32566022637918,nan,0.49591342915013686,94.93707842400285,77.86193020206677,82.96023189457857,127.7834263145501,70.4596417046668,118.01377849833598,6.196454968328004,96.02193616044202
CV,3.37290731812892,2.5556367878273734,2.751916652131283,2.268548147558981,2.2424638843978215,2.095936013220173,1.064003937392512,1.7628589849581056,2.2951766299491743,2.5746636194402273,2.975503050566706,3.0362034084711866,3.1033241228097763,1.9171177267185033,2.3584229264146304,3.1131467193610223,3.3641828702483783,5.65975532633752,3.910107279049611,2.721039703856998,1.9545411808651474,5.065553684106154,4.775045648432162,2.996413993078338,3.1456914793043884,nan,nan,nan,nan,nan,nan,0.7033823676920518,2.390642295218058,2.573316665496107,3.080361581069426,1.8134956612743962,nan,0.6089343145683774,4.091026590245324,3.9324098347250143,2.7421666248454777,2.7934801720141866,3.2917459276567826,4.745900751178638,2.7229458632086314,4.624443082279041
SP_Tim,25.0,359.0,41.0,63.0,96.0,88.0,107.0,79.0,20.0,90.0,56.0,86.0,105.0,76.0,363.0,91.0,73.0,49.0,21.0,83.0,51.0,87.0,50.0,62.0,55.0,nan,nan,nan,nan,nan,nan,nan,6.0,4.0,60.0,93.0,nan,nan,38.0,67.0,106.0,87.0,108.0,363.0,96.0,358.0
SP_Mag,1840.0,693.0,165.0,780.0,877.0,436.0,9.5,19.0,861.0,349.0,676.0,260.0,1250.0,1250.0,1140.0,228.0,1130.0,147.0,549.0,234.0,227.0,948.0,776.0,678.0,364.0,nan,nan,nan,nan,nan,nan,nan,595.0,506.0,795.0,412.0,nan,nan,457.0,440.0,281.0,1140.0,829.0,689.0,40.6,342.0
SP_Dur,85.0,161.0,115.0,71.0,56.0,68.0,150.0,122.0,135.0,67.0,32.0,49.0,46.0,94.0,173.0,46.0,46.0,73.0,138.0,79.0,142.0,38.0,70.0,103.0,120.0,nan,nan,nan,nan,nan,nan,nan,134.0,174.0,67.0,109.0,nan,nan,60.0,43.0,56.0,41.0,41.0,38.0,72.0,82.0
SP_ROC,0.08,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.046875,0.059714795008912656,0.15151515151515146,0.15,0.0851063829787234,0.0659340659340659,0.10660377358490566,0.07275132275132282,0.043010752688172046,0.07317073170731707,0.0611672278338945,0.06458333333333333,0.05334281650071124,0.08198924731182795,0.13333333333333333,0.07767722473604824,0.08333333333333337,0.08265027322404372,0.1061373873873874,0.0731283422459893,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan,0.07752246280748265,0.06649659863945581,0.05400438939106504,0.05945945945945954,nan,nan,0.06956203041964455,0.0628485130111524,0.06140350877192992,0.05928853754940711,0.057636077372919536,0.048593350383631675,0.10892418839438701,0.045454545454545456
SU_Tim,110.0,155.0,156.0,134.0,152.0,156.0,257.0,201.0,155.0,157.0,88.0,135.0,151.0,170.0,171.0,137.0,119.0,122.0,159.0,162.0,193.0,125.0,120.0,165.0,175.0,nan,nan,nan,nan,nan,nan,nan,140.0,178.0,127.0,202.0,nan,nan,98.0,110.0,162.0,128.0,149.0,36.0,168.0,75.0
SU_Mag_10,0.8600000000000001,0.62,0.0,1.8,3.1,2.4,0.020000000000000004,0.0,0.21000000000000002,0.523,1.1,0.05,3.3,3.9,1.7999999999999998,0.325,2.0,0.01,0.0,0.12,0.229,0.07,0.05,1.2,nan,nan,nan,nan,nan,nan,nan,nan,0.845,1.25,0.52,nan,nan,nan,0.28800000000000003,0.409,1.65,3.138,0.716,0.2,0.0,0.0
SU_Mag_50,2.95,1.6,0.75,3.4,5.5,3.7,0.33999999999999997,0.0,2.1,2.5,3.0,0.28,8.8,8.75,4.8,1.9,3.7,0.29000000000000004,0.17,0.45,0.745,0.905,1.2,2.8,nan,nan,nan,nan,nan,nan,nan,nan,1.625,2.61,2.46,nan,nan,nan,1.45,2.255,4.705,5.295,1.79,1.395,0.0,0.56
