Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,44.94602739726027,47.67005464480875,36.508136986301366,49.80191780821918,23.08268493150685,21.1077868852459,8.617205479452055,8.849342465753425,17.858931506849316,11.308196721311473,28.911342465753425,29.58002739726027,6.589287671232877,14.61653005464481,10.886931506849313,15.966931506849313,25.76545205479452,4.0136612021857925,0.11213333333333333,0.7241643835616438,4.826931506849315
Std,135.13338137974102,121.93783689065008,114.05453680518039,120.84909075164816,57.77986675870892,73.61595732193209,27.609993989153022,25.61146469749847,53.07410145925824,45.663282603958194,71.49876535847893,68.37676884390996,28.23505915559564,53.79562890538226,51.23700595883258,44.434534445701885,79.1381093353841,17.254225576849308,0.21080349986552777,4.50269194068438,25.78602553275961
CV,3.0065700842779757,2.557954627894035,3.1240853743913606,2.4265951206341603,2.5031692340019744,3.487620835009889,3.204054267359616,2.8941658430119226,2.971852007994044,4.038069351756234,2.473035122570732,2.31158571713301,4.284994154810176,3.680465110683859,4.706285322599647,2.7829100680140617,3.071481500386011,4.298874445967901,1.8799360867912702,6.217776022812495,5.342115481889432
SP_Tim,85.0,56.0,28.0,42.0,105.0,58.0,69.0,2.0,2.0,61.0,92.0,98.0,62.0,59.0,68.0,66.0,87.0,108.0,nan,65.0,354.0
SP_Mag,1090.0,863.0,754.0,900.0,225.0,430.0,278.0,324.0,250.0,552.0,203.0,524.0,317.0,503.0,545.0,179.0,653.0,268.0,nan,19.4,131.0
SP_Dur,102.0,66.0,39.0,124.0,44.0,63.0,22.0,123.0,170.0,49.0,63.0,75.0,37.0,39.0,43.0,104.0,39.0,47.0,nan,93.0,85.0
SP_ROC,0.08108108108108109,0.08163265306122448,0.06666666666666667,0.09090909090909091,0.058823529411764705,0.07142857142857142,0.07142857142857145,0.0727272727272728,0.0559895833333333,0.0498991867278312,0.07630522088353409,0.05469503074621904,0.07725895104535885,0.05042016806722686,0.07606153846153837,0.061629001883239234,0.04976190476190473,0.047430830039525564,nan,0.05556269270298044,0.060772128060263615
SU_Tim,187.0,122.0,67.0,166.0,149.0,121.0,91.0,125.0,172.0,110.0,155.0,173.0,99.0,98.0,111.0,170.0,126.0,155.0,nan,158.0,74.0
SU_Mag_10,0.12,0.26,0.16900000000000004,0.83,0.34,0.11,0.011000000000000013,0.0,0.0,0.0,0.11900000000000001,0.11000000000000001,0.0,0.0,0.02,0.1,0.18,nan,nan,0.0,0.0
SU_Mag_50,0.41,0.87,0.96,1.8,0.7,0.47,0.16,0.19,0.55,0.11,0.885,0.595,0.22,0.38,0.35,0.7,0.71,nan,nan,0.0,0.0
SU_Dur_Fl,195.0,200.0,277.0,nan,241.0,257.0,247.0,188.0,192.0,nan,207.0,189.0,271.0,nan,nan,184.0,nan,nan,nan,nan,nan
SU_Dur_Wet,195.0,215.0,310.0,217.0,241.0,285.0,252.0,221.0,233.0,251.0,270.0,238.0,272.0,310.0,269.0,244.0,314.0,nan,nan,184.0,268.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,32.0,68.0,0.0,1.0,65.0,90.0,0.0,0.0,0.0,nan,nan,167.0,143.0
FA_Tim,nan,16.0,322.0,342.0,nan,24.0,13.0,336.0,312.0,363.0,nan,360.0,361.0,4.0,nan,nan,353.0,nan,nan,nan,nan
FA_Mag,nan,456.9283674603254,353.9041107951521,169.97669431827723,nan,692.7612290415167,27.98980896032703,125.96160660098104,84.0817327509174,94.21738101789524,nan,142.965722823488,76.8064604140444,278.9654466889262,nan,nan,366.8785811238651,nan,nan,nan,nan
FA_Tim_Wet,2.0,16.0,337.0,10.0,17.0,24.0,41.0,341.0,345.0,39.0,361.0,58.0,45.0,5.0,43.0,13.0,48.0,74.0,nan,53.0,341.0
FA_Dur,nan,7.0,6.0,4.0,nan,2.0,3.0,5.0,6.0,6.0,nan,5.0,7.0,9.0,nan,nan,2.0,nan,nan,nan,nan
Tim_2,20.5,31.0,347.0,33.0,45.0,54.0,65.0,363.0,359.5,49.0,32.0,59.0,57.0,32.0,55.5,19.0,64.5,104.0,nan,nan,346.0
Dur_2,2.5,2.0,1.0,2.0,1.5,2.0,1.0,1.0,1.5,1.0,1.5,1.0,2.0,2.0,2.0,3.0,1.0,1.0,nan,nan,1.0
Fre_2,8.0,10.0,7.0,9.0,4.0,5.0,1.0,1.0,4.0,3.0,6.0,5.0,1.0,5.0,2.0,1.0,6.0,1.0,nan,0.0,1.0
Tim_5,51.0,50.0,356.0,39.5,45.0,54.0,58.0,363.0,365.0,28.5,60.0,72.0,56.0,40.0,54.5,76.0,48.0,90.5,nan,nan,350.0
Dur_5,8.5,7.0,4.5,2.0,2.0,4.0,1.5,1.0,2.0,1.5,3.0,2.0,5.0,3.5,4.0,2.0,3.0,1.0,nan,nan,2.0
Fre_5,4.0,5.0,6.0,8.0,8.0,5.0,4.0,5.0,7.0,4.0,9.0,12.0,1.0,4.0,2.0,6.0,5.0,2.0,nan,0.0,3.0
Tim_10,68.0,16.0,356.0,10.0,68.0,32.5,42.0,362.0,50.0,34.0,27.5,5.5,49.0,25.0,55.0,82.0,22.5,92.0,nan,59.0,12.0
Dur_10,9.0,1.0,4.5,16.0,2.0,19.5,6.0,3.0,5.0,3.0,7.5,4.0,1.0,6.0,7.0,4.0,4.0,2.0,nan,2.0,2.0
Fre_10,5.0,3.0,8.0,5.0,9.0,2.0,3.0,5.0,6.0,7.0,6.0,6.0,4.0,3.0,3.0,6.0,6.0,3.0,nan,1.0,4.0
Tim_20,90.5,3.5,331.0,355.0,359.0,42.0,69.0,39.0,362.0,363.0,76.5,26.5,5.0,23.0,61.5,36.0,352.0,88.0,nan,59.0,9.5
Dur_20,20.0,3.0,51.0,2.5,55.5,7.0,2.5,5.0,11.0,7.0,6.5,2.0,3.0,18.0,3.0,50.5,2.0,3.0,nan,3.0,8.5
Fre_20,6.0,6.0,2.0,6.0,2.0,3.0,4.0,9.0,5.0,5.0,6.0,6.0,5.0,3.0,4.0,2.0,5.0,6.0,nan,1.0,2.0
Tim_50,332.0,345.0,312.0,116.5,312.0,17.0,10.0,330.5,329.5,326.0,347.0,342.5,331.0,362.0,354.0,343.0,326.0,88.5,nan,75.0,338.0
Dur_50,244.0,213.0,106.5,148.0,7.0,80.0,71.0,100.5,103.0,87.0,111.5,103.5,1.0,162.0,2.0,107.0,119.0,67.5,nan,13.5,106.0
Fre_50,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,nan,2.0,1.0
