Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,0.6371584699453552,0.011506849315068492,1.465205479452055,2.7257534246575346,0.30819672131147546,2.506575342465753,0.44356164383561647,4.044109589041096,0.8423224043715846,4.944931506849315,2.322876712328767,2.1874520547945204,0.022540983606557378,7.070986301369863,6.328767123287672,1.8114520547945208,0.008060109289617486,0.0017534246575342468,3.822630136986301,1.712054794520548,3.4843169398907103,0.5370410958904109,7.694904109589042,12.956438356164385,3.8294262295081967,1.0041643835616438,4.287945205479452,0.41865753424657537,0.06185792349726775,0.07353424657534247,0.012356164383561644,0.3358904109589041,0.8590437158469945,4.1167123287671235,0.32432876712328773,4.999287671232877,5.151502732240437,4.572328767123288,11.115068493150686,3.0405205479452055,4.3822950819672135,0.535972602739726,1.2238904109589042,1.2005479452054795,1.4817486338797812,3.3571232876712327,6.344082191780821,0.8717534246575342,1.0878142076502733,0.9455068493150686,2.308767123287671,3.3117808219178073,0.4814754098360656,1.4892876712328769,0.05715068493150685,1.767068493150685,2.070628415300546
Std,4.1194575763710874,0.06349784232935907,7.332963315411817,10.180768590331748,2.2355030300507983,9.036896093872432,1.642982061502564,13.25412521315807,3.6497316788702983,14.21611945618666,18.23884890920327,6.320053218609589,0.10786726417685641,20.64284110509557,20.305783462887092,6.2924438553203474,0.05468045968192208,0.011381047477995086,11.020000879480422,6.538904302438568,14.273355051428494,2.443604122582087,27.630906148366652,28.04555220125996,8.786187119394679,2.3843711845224065,17.917833632423015,3.2835246857864893,0.5646221634549431,0.3733702148274856,0.09867858018854837,2.828601491717974,3.989740108666346,16.096590488535185,2.1480306115953134,14.16801406359714,13.243082107201477,16.991090406650795,32.76119494213245,9.242567573216231,16.12334775473228,2.0772534419909117,4.974193367695221,3.9989567442299006,7.371808669688744,8.642054784749305,14.770628409437524,4.147107154079791,4.559185723052361,4.7091157391248775,7.613147378092911,12.445136183943207,3.7737140187482368,8.683167406247358,0.2845319959971219,9.364143908136771,7.879301783764201
CV,6.465357945762513,5.518264869099062,5.004733751169246,3.7350291843110743,7.253493874100993,3.605276067617705,3.704067031800098,3.277390219363658,4.3329390978187075,2.874887030587917,7.851836824743992,2.8892305112503447,4.785384083482357,2.919372238226007,3.2084895947851897,3.4737015747480666,6.784084150367283,6.490753639794072,2.8828321037013565,3.8193312056170226,4.096457152912213,4.550125011439964,3.590805779364328,2.1646035299443622,2.2943873553932037,2.37448292685441,4.178652658510256,7.842984819789729,9.127725787301642,5.077501058570501,7.9861822103814095,8.4212034622925,4.644397060436636,3.910059582267631,6.623003659674685,2.8340065615994363,2.5707221359546746,3.7160692662397623,2.9474577653138634,3.0397977673469074,3.6792017545962477,3.8756709417097723,4.064247356753124,3.330942974997521,4.975073707600828,2.5742440906136994,2.328253002234721,4.757202021556691,4.191143755053911,4.980519964013156,3.2974947110524653,3.757838109810781,7.837812568731441,5.830416496404065,4.978627926124137,5.299253506263638,3.805270769753511
SP_Tim,45.0,26.0,53.0,114.0,27.0,10.0,41.0,115.0,81.0,42.0,26.0,357.0,36.0,23.0,96.0,88.0,63.0,75.0,21.0,58.0,56.0,86.0,97.0,76.0,363.0,90.0,53.0,84.0,17.0,85.0,49.0,89.0,52.0,62.0,56.0,86.0,56.0,31.0,41.0,52.0,58.0,69.0,3.0,127.0,60.0,92.0,98.0,61.0,38.0,68.0,75.0,87.0,108.0,362.0,59.0,355.0,78.0
SP_Mag,51.0,0.6,47.0,31.0,13.0,71.0,13.0,38.0,32.0,55.0,46.0,40.0,1.2,221.0,81.0,73.0,0.67,0.11,66.0,32.0,76.0,14.0,47.0,238.0,72.0,12.0,148.0,9.1,9.3,4.0,1.3,44.0,14.0,101.0,17.0,80.0,101.0,133.0,138.0,61.0,66.0,15.0,47.0,17.7,80.8,43.6,91.5,47.0,51.1,56.1,19.3,150.0,68.2,101.0,3.75,41.2,71.0
SP_Dur,21.0,206.0,50.0,54.0,22.0,120.0,36.0,45.0,39.0,88.0,70.0,135.0,134.0,105.0,55.0,47.0,182.0,107.0,117.0,84.0,38.0,44.0,63.0,113.0,148.0,44.0,58.0,25.0,51.0,46.0,113.0,21.0,71.0,62.0,86.0,76.0,83.0,58.0,112.0,80.0,67.0,18.0,112.0,30.0,34.0,30.0,77.0,38.0,53.0,32.0,64.0,40.0,26.0,29.0,122.0,79.0,21.0
SP_ROC,0.1547619047619047,1.0,0.21212121212121204,0.13392857142857145,0.25000000000000006,0.17083333333333334,0.1967741935483871,0.08571428571428566,0.20999999999999996,0.09090909090909098,0.1320754716981132,0.09338662790697677,0.33333333333333337,0.11818181818181825,0.07692307692307698,0.11324786324786335,1.0,1.0,0.14864864864864863,0.10257159555815315,0.09109730848861282,0.15312499999999998,0.07318161535029005,0.07453703703703701,0.06451612903225812,0.09090909090909098,0.09876543209876541,0.24404761904761907,0.5,0.6147916666666666,1.0,0.3461538461538462,0.31009615384615385,0.10319148936170211,0.6071428571428572,0.052631578947368356,0.07894736842105259,0.05971479500891258,0.08333333333333329,0.12720588235294122,0.08333333333333323,0.165807560137457,0.15184453227931488,0.16489898989898988,0.17500000000000002,0.13830337514548036,0.06468008548323124,0.2581938633193864,0.1880366787115825,0.3827160493827161,0.18935519896549696,0.08181818181818189,0.625,0.14457831325301215,0.7391304347826086,0.1857707509881423,0.16052188552188557
SU_Tim,66.0,232.0,103.0,168.0,49.0,130.0,77.0,160.0,120.0,130.0,96.0,127.0,170.0,128.0,151.0,135.0,245.0,182.0,138.0,142.0,94.0,130.0,160.0,189.0,146.0,134.0,111.0,109.0,68.0,131.0,162.0,110.0,123.0,124.0,142.0,162.0,139.0,89.0,153.0,132.0,125.0,87.0,115.0,157.0,94.0,122.0,175.0,99.0,91.0,100.0,139.0,127.0,134.0,26.0,181.0,69.0,99.0
SU_Mag_10,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
SU_Mag_50,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
