Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
Avg,3.9534794520547947,8.563879781420765,3.912383561643835,0.9240547945205478,0.6888493150684932,9.32172131147541,0.7389315068493152,11.887150684931505,0.9947123287671235,0.5295081967213116,0.0936986301369863,1.9232876712328768,7.473972602739726,0.9114754098360655,3.603561643835617,1.8731506849315067,8.011424657534247,2.166994535519126,8.909287671232876,7.007616438356163,3.324054794520548,0.2735792349726776,8.215780821917807,7.62427397260274,2.4047123287671233,0.11445355191256831,0.09216438356164383
Std,11.143692937127039,21.663354599144608,10.357842270975878,2.9496091214939484,2.168211633956155,29.283218194080277,1.7969813983437946,38.97935191504626,4.348695189220798,3.395730729875902,0.28762374037189753,11.579395026995922,30.403656176123977,4.952570620058141,13.705631816121311,7.063620259404868,30.40464525878927,9.1881977180501,24.727803497155943,29.705287303284727,9.533246999483541,0.5039472910306391,29.687148001199304,24.704576811428858,12.963046328804225,0.17801609117406247,0.2650024044191065
CV,2.818705161433223,2.5296191857040076,2.6474506161721796,3.1920283721100904,3.1475848005170284,3.1413960164236485,2.4318646338492638,3.2791164971482702,4.371811893204041,6.412989923295046,3.0696685741445204,6.020625619449446,4.067937868139754,5.433575680279616,3.803357114638697,3.770983464506036,3.7951608557156673,4.240065015138108,2.7755084816712494,4.2390001742522525,2.867957235602246,1.8420524170299999,3.6134298911675984,3.240253026085226,5.3906848539551815,1.5553566333183781,2.875323353536679
SP_Tim,26.0,20.0,25.0,84.0,62.0,57.0,72.0,96.0,53.0,43.0,27.0,50.0,108.0,25.0,10.0,39.0,33.0,80.0,64.0,25.0,17.0,36.0,63.0,95.0,84.0,62.0,76.0
SP_Mag,35.0,99.0,54.0,25.0,30.0,198.0,13.0,501.0,60.0,58.0,3.0,72.0,88.0,56.0,156.0,35.0,176.0,69.0,124.0,396.0,52.0,7.5,200.0,174.0,208.0,2.1,3.4
SP_Dur,119.0,117.0,76.0,76.0,119.0,28.0,118.0,32.0,25.0,27.0,229.0,56.0,49.0,23.0,147.0,91.0,110.0,45.0,78.0,72.0,138.0,125.0,57.0,61.0,66.0,185.0,141.0
SP_ROC,0.06250000000000006,0.08333333333333333,0.040833333333333374,0.07692307692307698,0.07804347826086958,0.040000000000000036,0.11140350877192978,0.08333333333333333,0.08514492753623178,0.19999999999999996,0.5,0.1833333333333333,0.09307359307359309,0.10526315789473682,0.09523809523809532,0.08333333333333323,0.08874824191279893,0.06250000000000006,0.06666666666666667,0.07692307692307693,0.05409356725146198,0.09014492753623188,0.09384164222873904,0.05708502024291497,0.06896551724137923,0.30434782608695654,0.1785714285714285
SU_Tim,145.0,137.0,101.0,160.0,181.0,85.0,190.0,128.0,78.0,70.0,256.0,106.0,157.0,48.0,157.0,130.0,143.0,125.0,142.0,97.0,155.0,161.0,120.0,156.0,150.0,247.0,217.0
SU_Mag_10,0.12,0.35,0.22000000000000003,0.0,0.0,0.289,0.0,0.39,0.0,nan,0.0,0.0,0.3,0.0,0.0,0.0,0.21000000000000002,0.04,0.14,0.1,0.04,0.0,0.08000000000000002,0.23,nan,nan,nan
SU_Mag_50,0.32,0.55,0.41,0.03,0.0,0.5,0.1,0.63,0.09,nan,0.0,0.2,0.5,0.1,0.1,0.1,0.53,0.27,0.32,0.39,0.15,0.0,0.58,0.46,nan,nan,nan
SU_Dur_Fl,218.0,nan,283.0,184.0,nan,219.0,203.0,nan,nan,nan,nan,181.0,nan,310.0,nan,nan,nan,nan,218.0,nan,nan,nan,217.0,nan,nan,nan,nan
SU_Dur_Wet,222.0,203.0,288.0,185.0,169.0,330.0,213.0,277.0,314.0,nan,148.0,284.0,222.0,311.0,202.0,252.0,248.0,256.0,231.0,235.0,173.0,211.0,293.0,253.0,nan,nan,nan
SU_No_Flow,0.0,0.0,0.0,63.0,135.0,0.0,61.0,0.0,130.0,nan,141.0,125.0,0.0,134.0,51.0,75.0,0.0,7.0,0.0,0.0,0.0,154.0,0.0,0.0,nan,nan,nan
FA_Tim,nan,362.0,nan,17.0,343.0,nan,304.0,26.0,nan,nan,nan,nan,286.0,nan,358.0,nan,nan,nan,nan,358.0,nan,nan,nan,335.0,nan,nan,nan
FA_Mag,nan,84.88801046093157,nan,13.814113500967494,3.9422129759547047,nan,3.709930109885089,64.97884253419517,nan,nan,nan,nan,315.4368757430823,nan,37.95274372381043,nan,nan,nan,nan,67.95821110817975,nan,nan,nan,95.96164678869266,nan,nan,nan
FA_Tim_Wet,331.0,1.0,340.0,22.0,344.0,349.0,50.0,36.0,39.0,26.0,nan,37.0,24.0,13.0,359.0,357.0,16.0,25.0,16.0,6.0,331.0,327.0,7.0,46.0,43.0,nan,nan
FA_Dur,nan,5.0,nan,4.0,4.0,nan,2.0,4.0,nan,nan,nan,nan,2.0,nan,5.0,nan,nan,nan,nan,8.0,nan,nan,nan,3.0,nan,nan,nan
Tim_2,365.5,45.0,10.5,nan,nan,14.0,nan,49.0,48.0,39.0,nan,44.0,43.0,20.0,1.5,5.0,75.0,72.0,43.0,20.0,364.0,nan,42.0,52.5,78.0,nan,nan
Dur_2,1.0,2.0,1.0,nan,nan,2.0,nan,1.5,2.0,1.0,nan,2.0,2.0,2.0,3.5,1.0,1.0,1.0,2.0,1.0,1.0,nan,2.0,2.0,1.0,nan,nan
Fre_2,6.0,8.0,4.0,0.0,0.0,9.0,0.0,10.0,1.0,1.0,0.0,3.0,7.0,1.0,2.0,1.0,9.0,3.0,9.0,5.0,6.0,0.0,8.0,6.0,4.0,0.0,0.0
Tim_5,13.5,11.0,365.0,62.0,38.0,6.0,60.0,38.0,47.0,36.0,nan,54.0,85.5,20.0,51.5,4.0,89.0,63.0,57.5,30.5,365.5,nan,30.0,32.0,78.0,nan,nan
Dur_5,2.0,3.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,1.5,nan,1.5,2.5,3.0,2.0,1.0,3.0,2.5,3.0,2.0,1.5,nan,2.0,2.0,1.0,nan,nan
Fre_5,8.0,9.0,7.0,4.0,2.0,6.0,1.0,9.0,1.0,2.0,0.0,4.0,10.0,1.0,6.0,7.0,9.0,4.0,8.0,8.0,8.0,0.0,9.0,10.0,4.0,0.0,0.0
Tim_10,363.5,354.0,37.5,48.0,30.0,54.5,64.0,33.5,44.0,36.0,nan,54.0,80.5,20.0,62.0,29.0,20.0,51.0,64.0,3.0,363.0,36.0,9.0,3.0,70.5,nan,nan
Dur_10,4.5,3.0,1.5,2.0,1.0,22.5,1.5,4.0,3.5,1.0,nan,3.0,5.0,4.0,2.0,2.0,4.0,2.5,1.0,2.5,2.0,1.0,7.0,2.0,1.0,nan,nan
Fre_10,10.0,4.0,8.0,5.0,3.0,4.0,4.0,6.0,2.0,3.0,0.0,4.0,6.0,1.0,8.0,6.0,7.0,4.0,4.0,4.0,9.0,1.0,5.0,13.0,10.0,0.0,0.0
Tim_20,47.5,347.5,354.0,73.5,10.0,352.0,67.5,5.5,28.0,36.0,75.0,71.0,349.0,20.0,81.5,363.5,339.0,47.0,8.5,55.0,91.0,15.0,363.0,334.0,40.0,nan,64.5
Dur_20,2.5,2.5,4.0,2.0,1.0,145.0,1.0,1.5,2.0,2.0,1.0,4.0,5.0,1.0,2.5,4.0,3.0,3.0,2.0,3.5,3.5,1.0,3.5,3.0,3.0,nan,1.0
Fre_20,8.0,4.0,7.0,8.0,7.0,1.0,10.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,8.0,6.0,5.0,7.0,4.0,4.0,8.0,2.0,4.0,7.0,5.0,0.0,2.0
Tim_50,322.0,103.0,81.5,2.0,343.0,217.0,320.0,12.5,291.5,60.5,32.0,40.0,88.0,130.0,354.0,58.5,329.5,52.0,332.0,86.5,315.0,35.0,357.5,79.0,311.0,364.0,58.0
Dur_50,4.0,6.5,4.0,6.0,5.0,2.0,9.0,2.0,2.5,2.5,2.0,1.0,162.0,3.0,4.0,4.5,2.0,4.0,1.0,3.0,2.0,6.0,4.5,3.5,2.0,1.5,2.5
Fre_50,5.0,6.0,6.0,6.0,5.0,7.0,5.0,10.0,6.0,10.0,9.0,3.0,2.0,7.0,3.0,6.0,6.0,4.0,6.0,6.0,5.0,9.0,6.0,6.0,5.0,4.0,6.0
