Year,1967,1968,1969,1970,1971,1972
Avg,0.16636612021857924,3.664657534246575,0.4659178082191781,0.18147945205479454,0.03614754098360656,0.9146301369863015
Std,0.18422980229687652,7.577031204173477,1.7408203211431057,0.19241935578805874,0.058212631551024345,1.6935481720773569
CV,1.107375720818801,2.0675959849905197,3.736324927773924,1.0602817763079926,1.6104174714795847,1.8516207848317612
SP_Tim,92.0,65.0,70.0,72.0,4.0,92.0
SP_Mag,0.61,22.0,2.1,0.75,0.32,6.2
SP_Dur,165.0,86.0,88.0,193.0,247.0,100.0
SP_ROC,0.3798076923076923,0.051724137931034454,0.0946348733233979,0.27616279069767447,0.3333333333333333,0.07894736842105259
SU_BFL_Tim,257.0,151.0,158.0,265.0,251.0,192.0
SU_BFL_Mag_10,0.0,0.01,nan,nan,0.0,0.0
SU_BFL_Mag_50,0.02,0.16,nan,nan,0.0,0.0
SU_BFL_Dur_Fl,nan,nan,nan,nan,133.0,193.0
SU_BFL_Dur_Wet,126.0,224.0,nan,nan,133.0,193.0
SU_BFL_No_Flow,46.0,14.0,nan,nan,96.0,145.0
FAFL_Tim,nan,nan,nan,nan,nan,19.0
FAFL_Mag,nan,nan,nan,nan,nan,13.583526298466296
FAFL_Tim_Wet,nan,18.0,8.0,nan,nan,19.0
FAFL_Dur,nan,nan,nan,nan,nan,7.0
Wet_BFL_Mag,nan,6.78,0.49,nan,nan,0.68
WIN_Tim_2,nan,38.0,16.0,nan,nan,31.0
WIN_Dur_2,nan,4.0,1.0,nan,nan,1.0
WIN_Fre_2,0.0,5.0,1.0,0.0,0.0,2.0
WIN_Tim_5,nan,20.0,16.0,nan,nan,64.0
WIN_Dur_5,nan,95.0,2.0,nan,nan,2.5
WIN_Fre_5,0.0,1.0,1.0,0.0,0.0,4.0
WIN_Tim_10,nan,158.0,24.0,nan,nan,60.0
WIN_Dur_10,nan,2.0,4.0,nan,nan,6.0
WIN_Fre_10,0.0,4.0,3.0,0.0,0.0,5.0
WIN_Tim_20,92.0,202.0,56.0,50.0,nan,147.0
WIN_Dur_20,3.0,1.0,6.0,1.0,nan,2.0
WIN_Fre_20,3.0,3.0,7.0,3.0,0.0,3.0
WIN_Tim_50,132.5,232.5,308.0,95.0,95.0,10.0
WIN_Dur_50,2.0,2.0,2.0,1.5,2.0,169.0
WIN_Fre_50,10.0,10.0,5.0,4.0,7.0,1.0
