Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Avg,180.67945205479452,217.36338797814207,141.68493150684932,497.77260273972604,629.1561643835616,276.4863387978142,606.4602739726027,308.5753424657534,1220.6520547945206,268.87158469945354,1508.6575342465753,444.2246575342466,353.33972602739726,208.5655737704918,748.7315068493151,605.3534246575342,483.2082191780822,184.60655737704917,119.28219178082192,1034.7753424657535,493.1287671232877,1053.655737704918,283.06575342465754,911.9945205479452,1623.9260273972602,594.0109289617486,390.67397260273975,968.2438356164383,218.48219178082192,217.05464480874318,255.013698630137,163.26301369863015
Std,184.47607778899703,273.3245567166781,148.1132366428839,627.7021327577023,1267.272789717309,311.81138087803265,620.6359546045252,317.46138230502885,2317.417979108007,245.7183900837656,1801.7301230045152,571.1125157912194,338.33151398199607,192.52441422236643,991.7797143942956,665.0201550313049,725.152738139404,191.0823167126657,131.49969461130826,1112.3989670337523,598.0015644546934,1449.4807197383855,330.2240186991283,1237.742379184881,1418.4875787141775,521.0134878535935,405.87992084419795,1167.5527048602062,243.71768494887672,221.40103382543677,291.3982114230743,182.57619727142884
CV,1.0210130465364213,1.2574544372862069,1.0453704220178404,1.2610218587821986,2.0142420299719466,1.127764150061861,1.0233744587078475,1.02879698607241,1.8985082358281953,0.9138875361575722,1.1942605144674536,1.2856389354010378,0.9575246966591086,0.9230881719445355,1.324613303062048,1.0985651157545293,1.5007044776118663,1.03507870699517,1.1024252040315934,1.0750149538575497,1.2126681798411212,1.3756682262231654,1.1665982716168548,1.35718181556751,0.8734927298305896,0.8771109460296549,1.03892234780872,1.205845740414011,1.115503661705164,1.0200243999409615,1.1426766992847242,1.118294910373572
SP_Tim,137.0,159.0,164.0,175.0,173.0,158.0,162.0,142.0,185.0,153.0,157.0,148.0,171.0,165.0,154.0,161.0,156.0,138.0,165.0,163.0,146.0,175.0,156.0,123.0,172.0,148.0,163.0,154.0,139.0,144.0,133.0,152.0
SP_Mag,698.0,833.0,440.0,1530.0,2160.0,1070.0,2280.0,1000.0,3820.0,1110.0,6030.0,1990.0,1390.0,686.0,3960.0,2520.0,3360.0,941.0,727.0,4350.0,2840.0,2840.0,1080.0,2830.0,5290.0,1910.0,1070.0,3390.0,981.0,766.0,1070.0,785.0
SP_Dur,82.0,50.0,97.0,62.0,67.0,73.0,55.0,66.0,74.0,90.0,93.0,76.0,68.0,53.0,80.0,78.0,67.0,56.0,49.0,70.0,75.0,74.0,63.0,124.0,88.0,79.0,68.0,87.0,77.0,80.0,85.0,68.0
SP_ROC,0.05263157894736842,0.05970149253731343,0.06944444444444445,0.054437516719139045,0.045454545454545456,0.04918032786885246,0.09208759425679165,0.04739442946990117,0.0625,0.051470588235294115,0.049737411183194316,0.050359712230215826,0.05,0.05555555555555555,0.05172413793103448,0.058823529411764705,0.0603193479114231,0.04850091955006201,0.0658682634730539,0.05883167220376523,0.053691275167785234,0.05113636363636364,0.0444468832309043,0.05841825431989367,0.0541109319855344,0.05589124860280097,0.047683481273002815,0.04806137601055931,0.05014749262536873,0.06349206349206349,0.04633273703041145,0.056338028169014086
SU_BFL_Tim,219.0,209.0,261.0,237.0,240.0,231.0,217.0,208.0,259.0,243.0,250.0,224.0,239.0,218.0,234.0,239.0,223.0,194.0,214.0,233.0,221.0,249.0,219.0,247.0,260.0,227.0,231.0,241.0,216.0,224.0,218.0,220.0
SU_BFL_Mag_10,22.0,23.3,18.5,33.0,78.0,26.0,58.0,22.0,89.0,29.0,106.0,34.0,35.0,29.0,58.0,46.5,60.0,38.0,18.0,103.0,44.0,74.4,29.0,118.20000000000002,146.4,76.0,57.39999999999999,75.0,22.900000000000002,21.0,25.0,21.0
SU_BFL_Mag_50,30.0,51.5,52.5,41.0,120.0,47.0,178.0,28.0,170.0,91.0,130.0,50.0,53.0,130.0,197.0,111.5,98.0,59.0,30.0,156.5,89.0,101.0,123.0,563.0,204.0,164.0,120.0,92.0,33.5,70.0,44.0,40.0
SU_BFL_Dur_Fl,180.0,102.0,126.0,nan,71.0,86.0,104.0,nan,65.0,nan,nan,107.0,78.0,157.0,84.0,100.0,62.0,82.0,149.0,145.0,nan,90.0,153.0,53.0,56.0,64.0,107.0,35.0,126.0,95.0,83.0,80.0
SU_BFL_Dur_Wet,218.0,234.0,146.0,154.0,219.0,126.0,217.0,125.0,154.0,141.0,129.0,161.0,125.0,241.0,197.0,246.0,212.0,265.0,189.0,198.0,150.0,195.0,202.0,147.0,65.0,199.0,173.0,182.0,150.0,197.0,210.0,207.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,42.0,33.0,311.0,20.0,nan,310.0,317.0,319.0,nan,323.0,nan,nan,330.0,316.0,10.0,316.0,338.0,284.0,276.0,361.0,12.0,nan,339.0,5.0,299.0,315.0,291.0,336.0,275.0,341.0,319.0,299.0
FAFL_Mag,230.9861476991327,839.7089619363638,92.99173786561605,435.83859601753505,nan,326.9179617069054,467.97249837968076,269.9575612552828,nan,251.93821540209413,nan,nan,596.7323876046298,300.67225160129124,502.98213805447836,465.95255686911617,405.90974459823065,493.92623195034673,296.0068098748353,2469.8793006001797,1199.7927212560821,nan,458.8584467999234,2599.929474730764,2889.8605560196283,1339.9468499778966,315.9618259467717,1899.9344555924893,248.9984840807605,582.941228297031,153.9392517559094,120.09882525087941
FAFL_Tim_Wet,44.0,71.0,78.0,40.0,25.0,93.0,357.0,67.0,332.0,47.0,19.0,12.0,19.0,363.0,94.0,64.0,119.0,69.0,94.0,36.0,65.0,5.0,79.0,54.0,28.0,324.0,61.0,37.0,57.0,365.0,56.0,61.0
FAFL_Dur,2.0,4.0,6.0,2.0,nan,4.0,4.0,7.0,nan,6.0,nan,nan,2.0,4.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,nan,3.0,2.0,4.0,4.0,2.0,5.0,0.0,6.0,7.0,6.0
Wet_BFL_Mag,233.0,137.5,52.0,147.6,333.5,114.0,127.9,175.0,454.1,163.8,1067.0,361.0,184.0,95.0,281.9,210.9,103.6,83.0,45.3,316.2,206.5,569.0,87.1,260.1,537.5,441.7,149.0,204.39999999999998,76.8,107.7,79.0,39.0
