Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
Avg,890.7013698630137,480.0383561643836,502.9123287671233,470.63287671232877,940.0491803278688,559.1123287671232,863.186301369863,379.43013698630136,330.827868852459,280.73972602739724,709.4794520547945,676.4082191780822,389.57377049180326,804.7780821917809,500.15890410958906,974.3726027397261,354.73770491803276,1162.978082191781,518.9945205479452,527.1506849315068,439.0,684.0027397260274,755.7150684931507,641.5835616438357,246.05191256830602,153.44383561643835,1016.0219178082192,593.482191780822,945.3469945355191,411.3232876712329,1133.0712328767124,1307.2356164383561,695.8224043715848,428.0712328767123,927.7041095890411,288.1616438356164,315.70765027322403,415.9945205479452,326.16438356164383,408.1616438356164
Std,1154.8280123972147,547.3202650198579,640.2050467645472,722.5367200328535,1182.4350871342635,738.9849172548742,1100.8044148768424,419.3003679271184,434.14509975194653,317.7174081405383,902.5293849363977,930.383391551521,484.65244013345625,931.7459543004338,584.0058987869704,1381.2984038017564,399.59154972437295,1520.8216306971444,607.7429972076249,613.3334490795402,530.7924944186263,1026.619078090478,940.4971876140443,1036.0103594729446,268.0254453994769,222.6894766484164,1255.8705672605718,816.8542150145134,1121.9674621628603,551.8746379686485,1270.8869388597213,1618.0166158425038,740.1462332552056,482.114236868847,1119.8728915688523,384.8147729592885,340.0955656379688,518.4718853133568,342.534814296944,674.7630440770243
CV,1.2965378200494095,1.1401594434933744,1.2729953316793674,1.5352448921125825,1.2578438574052644,1.3217110037340456,1.2752802183374357,1.105079241352556,1.3122990552696285,1.1317151748931051,1.2721008090121455,1.3754761772144777,1.2440581908828832,1.1577675571914945,1.1676407117586969,1.4176285333945582,1.1264422816759903,1.3076958663150053,1.1710007970141585,1.16348791078443,1.2090945203157775,1.5008990731552967,1.2445129478354027,1.6147707351144205,1.0893044585665264,1.451276786413698,1.2360664127893604,1.3763752751593676,1.1868313631378506,1.341705307018155,1.1216302223410206,1.2377390850555998,1.0636999162503986,1.126247689266472,1.207144476340564,1.3354128878401612,1.0772484142960699,1.2463430639192772,1.0501907368196939,1.6531760254003174
SP_Tim,174.0,176.0,143.0,163.0,166.0,182.0,173.0,160.0,158.0,164.0,176.0,174.0,170.0,191.0,142.0,186.0,153.0,158.0,176.0,171.0,163.0,154.0,161.0,161.0,139.0,165.0,164.0,151.0,185.0,161.0,174.0,191.0,148.0,164.0,156.0,139.0,146.0,143.0,165.0,159.0
SP_Mag,3420.0,2460.0,3220.0,4110.0,4000.0,2460.0,4280.0,1550.0,1810.0,1230.0,3550.0,4190.0,1700.0,2490.0,2190.0,6270.0,1980.0,6940.0,1720.0,2730.0,2390.0,3930.0,4030.0,4400.0,1600.0,1850.0,5310.0,3980.0,4440.0,2080.0,4210.0,5910.0,3600.0,1520.0,6090.0,1840.0,1440.0,1470.0,1260.0,2680.0
SP_Dur,77.0,70.0,90.0,76.0,94.0,62.0,89.0,79.0,85.0,46.0,78.0,71.0,69.0,82.0,59.0,80.0,107.0,106.0,78.0,69.0,65.0,91.0,83.0,81.0,99.0,55.0,71.0,88.0,80.0,60.0,78.0,75.0,102.0,72.0,100.0,71.0,83.0,71.0,78.0,75.0
SP_ROC,0.06759396271086121,0.05416228196794591,0.056338028169014086,0.06306306306306306,0.059528814679119496,0.04333444287259715,0.07447559499798306,0.053763440860215055,0.05798319327731093,0.058100289296046284,0.045454545454545456,0.07123287671232877,0.056661316211878004,0.06845193879067003,0.06607929515418502,0.0691786283891547,0.05111459421804249,0.0625,0.05755395683453238,0.06,0.06382978723404255,0.06498186881510659,0.0670391061452514,0.05389221556886228,0.06911447084233262,0.05128205128205128,0.05830188679245283,0.055846422338568937,0.05603864734299517,0.049428994248059424,0.020808332564078894,0.06750140117075601,0.054353741496598634,0.04528178854215184,0.0502283105022831,0.04784688995215311,0.07235547940859191,0.06923076923076923,0.056768558951965066,0.056818181818181816
SU_Tim,251.0,246.0,233.0,239.0,260.0,244.0,262.0,239.0,243.0,210.0,254.0,245.0,239.0,273.0,201.0,266.0,260.0,264.0,254.0,240.0,228.0,245.0,244.0,242.0,238.0,220.0,235.0,239.0,265.0,221.0,252.0,266.0,250.0,236.0,256.0,210.0,229.0,214.0,243.0,234.0
SU_Mag_10,65.1,51.0,35.0,41.0,98.30000000000001,76.0,54.0,30.0,41.900000000000006,47.0,33.0,95.0,45.0,83.6,56.0,78.1,51.6,88.9,49.0,50.0,85.0,72.8,70.0,79.0,29.0,27.0,105.0,73.0,82.0,73.5,261.8,204.0,118.0,104.2,54.0,47.0,45.0,65.0,31.0,31.3
SU_Mag_50,182.0,71.5,118.0,230.0,165.0,109.0,85.0,64.5,88.5,101.0,102.0,139.0,256.0,162.0,179.0,140.0,214.0,205.0,170.0,112.5,163.0,243.0,120.0,114.0,53.5,140.0,208.0,180.0,117.0,222.5,383.0,312.0,161.0,189.0,83.5,109.0,73.0,119.0,41.0,42.0
