Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,477.76849315068495,227.65491803278687,227.92986301369862,518.8794520547946,775.5506849315068,497.28224043715846,92.7038904109589,403.4049589041096,907.7564383561643,2076.245081967213,609.8180821917808,2373.4301369863015,4785.961643835616,1909.3825136612022,519.4901369863013,1566.3545205479452,391.4054794520548,107.24234972677594,84.2986301369863,117.35890410958905,114.8054794520548,111.29043715846996,326.8931506849315,258.73150684931505,3017.53698630137,1644.5245901639344,2699.460273972603,2770.991780821918,1357.7698630136986,1069.0628415300546,405.72054794520545,206.89753424657536,271.41917808219176,347.6775956284153,1886.3561643835617,2913.6383561643834,296.2731506849315,216.66748633879783,210.66931506849315,807.8849315068493,3256.7753424657535,312.8357923497268,186.092602739726,163.4191780821918,157.44109589041096,195.75601092896173,310.7692307692308
Std,724.9202802985584,237.34218251607953,214.04518703886285,523.70065353147,810.208720465726,659.8017035165084,86.1841218074073,866.5421493807969,1114.9907341557005,2150.525053124273,761.6958872537883,2419.8477419941587,2694.882433434834,2215.7356143501625,695.8257491376665,2029.640976204359,588.5621073570325,105.4984859081163,78.99027943170488,103.22567355552013,160.18859765692022,171.2439092014858,394.48690042968616,323.8915837875605,2997.1540943152004,1844.86475082833,4923.859209974908,2265.3177726074878,1593.0696384855135,1467.903794768496,481.4912949493776,219.06610316423644,203.955010253594,397.60719404315955,1940.1519285931306,2807.124601215269,158.0841852788528,252.88399154124903,187.3749923836256,975.8841065920523,2263.578178174342,273.57911174937016,148.0774448432574,131.81353440136277,111.65740954208252,260.85829204654874,222.03123614141595
CV,1.5173044909638347,1.0425524059264888,0.9390835593403516,1.0092915636909174,1.0446882920840692,1.3268153371744782,0.9296710356528805,2.1480701470176427,1.2282928405055569,1.0357761093823667,1.249054282739756,1.0195571819387095,0.5630806583888693,1.1604461643997852,1.3394397691057898,1.2957736895312475,1.5037145320014058,0.9837390375807455,0.9370292174777302,0.879572575585135,1.3953044612632655,1.5387118028626863,1.2067762802711743,1.251844383901009,0.9932451890138543,1.1218225387827279,1.8240161774000903,0.81751154524737,1.173298717169598,1.3730753120813888,1.1867560008678815,1.0588144704671003,0.7514392007768584,1.1436089038883803,1.028518349411045,0.9634430420220947,0.5335758063577138,1.167152468579528,0.8894270735285105,1.2079493855292667,0.6950366359813303,0.874513461821304,0.7957191347920606,0.8065977074922447,0.709201170829014,1.3325684907893434,0.7144569479798037
SP_Tim,37.0,45.0,34.0,34.0,24.0,9.0,77.0,135.0,78.0,82.0,13.0,129.0,152.0,10.0,357.0,106.0,356.0,118.0,123.0,124.0,142.0,127.0,247.0,114.0,143.0,139.0,4.0,167.0,43.0,64.0,110.0,114.0,110.0,79.0,144.0,127.0,111.0,113.0,130.0,164.0,164.0,130.0,123.0,107.0,95.0,107.0,nan
SP_Mag,2060.0,666.0,801.0,1750.0,2980.0,2730.0,212.0,3140.0,3370.0,7280.0,2800.0,8130.0,9900.0,8010.0,2750.0,6870.0,2820.0,572.0,767.0,599.0,642.0,1150.0,1740.0,1260.0,8710.0,6790.0,50100.0,5230.0,7580.0,6610.0,1460.0,1310.0,1340.0,2820.0,6640.0,8930.0,869.0,1310.0,955.0,5520.0,7030.0,2120.0,1190.0,1230.0,1420.0,2750.0,nan
SP_Dur,93.0,90.0,89.0,102.0,85.0,101.0,59.0,98.0,57.0,115.0,120.0,73.0,66.0,102.0,113.0,84.0,174.0,22.0,18.0,22.0,27.0,24.0,nan,51.0,88.0,44.0,145.0,68.0,113.0,93.0,54.0,54.0,61.0,97.0,105.0,78.0,59.0,50.0,45.0,61.0,106.0,40.0,44.0,60.0,71.0,60.0,nan
SP_ROC,0.08120915032679739,0.033660589060308554,0.0262582056892779,0.08481141692150868,0.06664438502673797,0.01775147928994083,0.05857487922705314,0.09523809523809523,0.1517094017094017,0.08203933747412008,0.13043478260869565,0.07792207792207792,0.01873793224504125,0.05895691609977324,0.11198568872987477,0.05113179786090204,0.019739906832298135,0.08500942803268378,0.058693244739756366,0.23388464800678543,0.1,0.05999999999999996,nan,0.07868937048503612,0.09342811547947193,0.07011686143572621,0.04896257271978228,0.0847457627118644,0.05436524311491488,0.047058823529411764,0.05405405405405406,0.030429733206815655,0.045112781954887216,0.08496732026143791,0.0379746835443038,0.05186385737439222,0.08933002481389578,0.09337349397590361,0.07071076043898955,0.1108394301116673,0.08284313725490196,0.10067114093959731,0.06534787018255571,0.018691770186335402,0.017341040462427744,0.023973651960784312,nan
SU_Tim,130.0,135.0,123.0,136.0,109.0,110.0,136.0,233.0,135.0,197.0,133.0,202.0,218.0,112.0,105.0,190.0,165.0,140.0,141.0,146.0,169.0,151.0,192.0,165.0,231.0,183.0,149.0,235.0,156.0,157.0,164.0,168.0,171.0,176.0,249.0,205.0,170.0,163.0,175.0,225.0,270.0,170.0,167.0,167.0,166.0,167.0,nan
SU_Mag_10,8.2,7.5,8.6,20.0,20.200000000000003,7.34,1.4,18.1,15.0,13.0,14.0,420.0,619.0,14.0,13.0,15.0,9.4,15.0,42.0,18.0,22.0,19.0,181.0,20.0,285.0,159.8,280.0,292.8,262.0,279.3,101.80000000000001,72.88,219.0,105.0,326.5,330.0,106.0,90.3,101.0,306.0,315.0,98.81,94.1,91.5,91.3,nan,nan
SU_Mag_50,10.0,9.5,119.0,534.5,246.0,8.5,9.4,408.0,253.0,523.0,127.0,1850.0,3400.0,85.0,153.0,231.0,114.0,79.0,46.0,92.0,115.0,124.0,252.0,28.0,453.0,292.0,300.0,706.0,321.0,336.0,169.0,182.0,226.5,174.0,373.0,358.0,168.0,163.0,224.0,359.0,343.0,170.0,156.0,161.0,152.0,nan,nan
SU_Dur_Fl,159.0,141.0,155.0,140.0,174.0,170.0,333.0,43.0,154.0,80.0,238.0,74.0,69.0,178.0,186.0,85.0,122.0,nan,149.0,145.0,125.0,305.0,89.0,232.0,44.0,166.0,236.0,40.0,258.0,nan,nan,125.0,262.0,224.0,117.0,84.0,nan,137.0,295.0,115.0,15.0,124.0,131.0,nan,nan,nan,nan
SU_Dur_Wet,171.0,173.0,480.0,222.0,243.0,185.0,336.0,132.0,241.0,162.0,272.0,145.0,131.0,225.0,315.0,151.0,300.0,314.0,152.0,324.0,303.0,441.0,281.0,232.0,169.0,169.0,240.0,159.0,259.0,254.0,307.0,297.0,262.0,239.0,118.0,266.0,304.0,313.0,296.0,121.0,220.0,302.0,301.0,275.0,301.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,288.0,276.0,276.0,275.0,282.0,280.0,102.0,275.0,288.0,277.0,4.0,275.0,286.0,290.0,289.0,274.0,286.0,nan,288.0,290.0,293.0,91.0,279.0,31.0,274.0,349.0,18.0,274.0,48.0,nan,nan,292.0,67.0,35.0,364.0,288.0,nan,300.0,103.0,339.0,284.0,294.0,296.0,nan,nan,nan
FA_Mag,nan,1449.7634453956484,1369.944649886327,1879.9927997465693,1050.0024018806575,1419.9996200139624,177.01844482412693,2039.9954009298938,3649.9565851091925,2259.989418595098,2620.005057750105,1839.9920461686518,3630.0018745888547,4030.003891535278,1360.003399092447,1089.9364216488457,678.0000388514162,165.961208422991,nan,860.6023327239968,237.0218876091061,339.94047021048453,384.9348119859898,3080.2886426961345,4930.038554386478,2319.9966164792795,5659.996214662036,4389.950077541703,1429.9965077592562,4409.937755418221,nan,nan,339.0008642644401,1120.0394817339638,1139.9765204467735,4799.993143009269,597.152062453834,nan,258.10716609678934,1250.0020012287323,3890.0895485803157,1289.9932433212991,589.88384517625,782.9967623471799,nan,nan,nan
FA_Tim_Wet,338.0,300.0,308.0,236.0,357.0,351.0,295.0,105.0,364.0,10.0,359.0,38.0,346.0,348.0,337.0,53.0,340.0,99.0,89.0,291.0,104.0,106.0,227.0,106.0,31.0,34.0,352.0,22.0,28.0,49.0,46.0,104.0,99.0,67.0,50.0,365.0,105.0,108.0,111.0,104.0,345.0,124.0,107.0,101.0,76.0,101.0,nan
FA_Dur,nan,4.0,2.0,0.0,2.0,3.0,4.0,3.0,4.0,2.0,-1.0,3.0,9.0,4.0,2.0,10.0,-1.0,7.0,nan,2.0,7.0,3.0,3.0,3.0,8.0,1.0,4.0,5.0,1.0,10.0,nan,nan,6.0,8.0,5.0,7.0,3.0,nan,9.0,6.0,5.0,3.0,2.0,4.0,nan,nan,nan
Tim_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,nan,103.0,77.0,363.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.0,nan,25.0,52.5,43.0,nan,nan,nan,nan,nan,nan,53.0,nan,nan,nan,nan,84.0,nan,nan,nan,nan,nan,nan
Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,31.0,5.0,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,14.0,5.0,4.0,nan,nan,nan,nan,nan,nan,23.0,nan,nan,nan,nan,13.5,nan,nan,nan,nan,nan,nan
Fre_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,nan
Tim_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,137.5,59.5,61.5,nan,70.0,nan,nan,nan,nan,nan,nan,nan,nan,83.0,54.0,359.0,126.0,41.0,71.5,nan,nan,nan,nan,103.0,86.0,nan,nan,nan,164.0,107.5,nan,nan,nan,nan,nan,nan
Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,26.5,11.5,5.5,nan,38.0,nan,nan,nan,nan,nan,nan,nan,nan,8.0,8.0,11.0,7.5,14.0,7.5,nan,nan,nan,nan,14.0,8.0,nan,nan,nan,1.0,12.0,nan,nan,nan,nan,nan,nan
Fre_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,nan
Tim_10,nan,nan,nan,nan,nan,nan,nan,126.0,57.5,94.0,nan,226.5,186.0,350.5,nan,51.0,nan,nan,nan,nan,nan,nan,nan,nan,130.5,84.5,343.5,137.0,118.0,75.5,55.0,nan,nan,nan,78.0,110.0,nan,nan,nan,155.0,162.0,nan,nan,nan,nan,nan,nan
Dur_10,nan,nan,nan,nan,nan,nan,nan,5.0,3.0,3.5,nan,7.0,16.0,19.0,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,7.5,38.5,47.5,8.0,3.0,20.0,3.0,nan,nan,nan,5.0,22.5,nan,nan,nan,4.0,3.0,nan,nan,nan,nan,nan,nan
Fre_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,nan
Tim_20,12.0,288.0,276.0,14.0,27.0,363.5,nan,108.0,15.0,2.0,6.0,47.0,334.0,338.0,3.0,153.5,356.0,nan,nan,nan,119.0,nan,249.5,113.0,204.0,335.0,120.0,248.5,340.5,181.0,94.0,114.0,104.0,91.0,214.0,355.0,nan,118.5,nan,103.0,91.5,24.5,123.0,107.0,95.0,113.0,nan
Dur_20,14.0,1.0,1.0,5.0,3.5,3.0,nan,21.5,5.5,5.0,4.0,5.0,45.0,35.0,5.0,62.5,3.0,nan,nan,nan,1.0,nan,7.0,5.0,24.0,73.5,12.5,7.0,1.5,13.0,5.0,8.0,9.0,7.5,1.0,198.0,nan,5.5,nan,84.0,138.0,3.5,1.0,1.0,1.0,2.0,nan
Fre_20,5.0,1.0,1.0,13.0,18.0,10.0,0.0,2.0,16.0,11.0,19.0,11.0,3.0,3.0,15.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,6.0,2.0,4.0,4.0,8.0,4.0,4.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,nan
Tim_50,88.0,285.0,165.0,161.0,143.0,58.5,nan,212.0,197.0,81.0,182.5,2.0,274.0,121.0,15.5,216.0,42.5,59.5,110.5,6.0,296.0,111.0,193.5,66.0,19.0,184.0,140.0,274.0,274.0,274.0,275.0,14.5,211.5,335.5,348.0,274.0,274.0,110.0,20.5,54.0,274.0,13.5,17.0,17.0,93.0,106.0,nan
Dur_50,13.0,90.0,1.5,2.0,4.0,92.0,nan,3.0,2.0,14.0,1.5,5.0,365.0,2.0,91.5,2.0,6.0,3.0,4.0,2.0,8.0,1.0,6.5,31.5,255.0,60.0,116.0,365.0,365.0,365.0,231.0,20.0,7.5,2.5,124.5,365.0,242.0,34.0,26.0,7.0,365.0,116.0,16.0,11.0,11.0,47.0,nan
Fre_50,3.0,2.0,8.0,11.0,11.0,2.0,0.0,11.0,19.0,4.0,4.0,17.0,1.0,7.0,2.0,13.0,10.0,4.0,2.0,6.0,5.0,3.0,6.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,12.0,8.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,nan
