Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993
Avg,227.46027397260275,231.87431693989072,151.0,116.02739726027397,93.33150684931506,236.58196721311475,124.95890410958904,182.7178082191781,83.84109589041095,83.87704918032787,68.7068493150685,132.52328767123288,167.013698630137,96.95628415300547,212.70958904109588,103.45479452054795,218.8,100.97267759562841,257.9780821917808,150.51232876712328,145.9890410958904,113.71311475409836,158.65753424657535,201.7041095890411,165.8849315068493,66.05737704918033,36.53369863013698,178.92876712328768,141.7123287671233,231.62568306010928,89.98356164383561,280.3945205479452,334.93698630136987,223.7622950819672,109.52328767123288,229.65479452054794,64.41643835616438,60.36612021857923,137.25479452054793,74.55890410958904,76.62739726027397,65.10109289617486,192.13424657534247,72.5013698630137
Std,284.22638417806786,318.8635824357626,182.0866119366697,152.84620012687833,137.86428593397773,294.6663809603349,161.33051570434267,257.86774742553473,87.84377140208343,112.00701904251328,83.49912037723401,175.19061284083514,224.3843872398547,108.36052580808935,253.68756113608245,126.95600040429916,325.77544329193205,115.17527302238663,364.0487240634314,153.5609753019065,168.58931177357,131.02322070351633,238.92667638798827,236.59456126772534,266.04361145796764,65.38352165947884,39.218176366998655,237.84407317622055,205.47650463639522,256.77456953319904,117.06548806930132,305.1977898492709,427.58556157525936,243.39134153810033,128.2409873150834,277.96191965516147,80.034080093144,63.60265442553965,178.540792346755,78.52384654047044,115.87231193882198,74.32408099128452,255.8214297037393,92.2885179535823
CV,1.2495649425459785,1.3751569671186237,1.2058716022296005,1.31732852529659,1.4771462562643654,1.2455149664678258,1.2910685865399052,1.4112896270965058,1.0477412117430382,1.335371476906735,1.2152954357480825,1.321960961876017,1.3435088802911248,1.117622511575289,1.192647507240821,1.2271640090985194,1.4889188450271116,1.1406578072895743,1.411161448176042,1.0202551283323784,1.154807994545529,1.152226117337922,1.5059270744537336,1.1729783877471374,1.6037840751496035,0.9897989381382825,1.0734794953021052,1.3292668194172395,1.4499550351335766,1.1085755523344247,1.3009652644408412,1.0884584664951915,1.2766149427000757,1.0877227615534724,1.1709015501802442,1.2103466867977422,1.2424480790233736,1.0536150773851503,1.3007982196208547,1.053178657575943,1.5121525209220932,1.1416717859071697,1.3314723130497348,1.272921023808999
SP_Tim,171.0,161.0,179.0,143.0,164.0,166.0,162.0,173.0,160.0,158.0,162.0,175.0,171.0,159.0,189.0,145.0,186.0,171.0,159.0,176.0,182.0,157.0,165.0,161.0,158.0,140.0,165.0,164.0,161.0,187.0,155.0,173.0,191.0,173.0,163.0,156.0,136.0,148.0,164.0,163.0,166.0,132.0,171.0,155.0
SP_Mag,580.0,1390.0,750.0,771.0,784.0,1040.0,768.0,980.0,356.0,544.0,336.0,653.0,910.0,430.0,572.0,498.0,1380.0,318.0,1500.0,464.0,711.0,595.0,841.0,970.0,1250.0,368.0,253.0,1010.0,768.0,997.0,445.0,1070.0,1420.0,647.0,369.0,1260.0,426.0,296.0,584.0,283.0,544.0,354.0,873.0,437.0
SP_Dur,52.0,84.0,60.0,79.0,67.0,81.0,70.0,72.0,60.0,71.0,50.0,70.0,67.0,77.0,80.0,77.0,71.0,46.0,82.0,60.0,57.0,72.0,64.0,82.0,66.0,67.0,56.0,73.0,62.0,62.0,60.0,75.0,70.0,66.0,62.0,81.0,82.0,78.0,71.0,56.0,59.0,51.0,74.0,61.0
SP_ROC,0.0410958904109589,0.04452054794520548,0.04901624342255777,0.04790419161676647,0.04461028192371476,0.038461538461538464,0.044060559006211183,0.04395604395604396,0.05,0.05728739403882964,0.056776978417266186,0.05023118957545187,0.04909638554216868,0.04398864809081528,0.052889095992544266,0.045836396093667964,0.052289815447710185,0.05532891381947986,0.038461538461538464,0.034482758620689655,0.043478260869565216,0.04235768713581353,0.04938271604938271,0.0425531914893617,0.04861111111111111,0.044,0.058823529411764705,0.053815987933635,0.04848240666129465,0.03553299492385787,0.044444444444444446,0.039473684210526314,0.05433521948476435,0.04,0.041666666666666664,0.045347727105823604,0.043478260869565216,0.05,0.04324450677886863,0.053001053001053004,0.05405405405405406,0.05204460966542751,0.0392156862745098,0.05
SU_BFL_Tim,223.0,245.0,239.0,222.0,231.0,247.0,232.0,245.0,220.0,229.0,212.0,245.0,238.0,236.0,269.0,222.0,257.0,217.0,241.0,236.0,239.0,229.0,229.0,243.0,224.0,207.0,221.0,237.0,223.0,249.0,215.0,248.0,261.0,239.0,225.0,237.0,218.0,226.0,235.0,219.0,225.0,183.0,245.0,216.0
SU_BFL_Mag_10,29.0,35.0,30.0,22.0,21.0,30.0,30.0,28.0,20.0,18.0,18.0,24.0,34.0,18.0,28.0,20.0,31.0,21.0,35.0,28.0,28.0,28.0,35.0,32.0,34.0,17.0,10.8,30.0,25.0,27.0,19.0,67.5,70.1,32.0,25.0,25.0,16.0,13.0,25.0,15.0,17.0,16.0,26.0,16.0
SU_BFL_Mag_50,38.0,52.0,35.0,28.0,38.5,46.0,34.0,35.0,23.0,23.0,22.0,30.0,44.0,72.0,37.0,46.0,37.0,41.0,53.0,45.0,32.0,39.0,77.0,39.0,44.0,21.0,28.0,41.0,43.0,39.0,65.0,94.5,104.0,47.0,37.0,32.0,24.0,18.0,31.0,18.0,27.0,30.0,30.0,28.0
SU_BFL_Dur_Fl,240.0,130.0,196.0,244.0,127.0,215.0,246.0,131.0,185.0,219.0,195.0,153.0,82.0,122.0,55.0,119.0,160.0,240.0,50.0,94.0,118.0,123.0,88.0,nan,76.0,69.0,236.0,140.0,156.0,nan,105.0,52.0,55.0,nan,192.0,nan,206.0,207.0,218.0,210.0,194.0,259.0,196.0,224.0
SU_BFL_Dur_Wet,257.0,228.0,231.0,266.0,236.0,227.0,252.0,206.0,235.0,232.0,256.0,242.0,235.0,240.0,186.0,280.0,204.0,261.0,213.0,230.0,203.0,253.0,247.0,255.0,255.0,260.0,259.0,242.0,250.0,218.0,256.0,256.0,212.0,221.0,204.0,229.0,226.0,215.0,219.0,265.0,232.0,284.0,217.0,245.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,97.0,10.0,68.0,100.0,357.0,97.0,111.0,10.0,39.0,83.0,40.0,32.0,319.0,358.0,322.0,340.0,51.0,92.0,289.0,329.0,356.0,352.0,315.0,nan,299.0,276.0,90.0,11.0,13.0,nan,318.0,299.0,315.0,nan,50.0,nan,58.0,68.0,86.0,63.0,53.0,77.0,74.0
FAFL_Mag,nan,300.0251328128197,181.8589627710074,437.67697912517053,114.93038339756156,2219.3879211465546,150.97459510337964,326.00682711026343,143.70509501756328,129.5405840994794,69.93201533421282,88.86804922556202,1399.8670063483669,187.86090982908652,2219.6197842909287,88.86306002060604,204.7975562639573,194.99130606441813,246.04319662538674,134.92692555080922,150.9342984779258,127.81491450681679,181.8460121970125,550.7351595786234,nan,180.9089576586581,45.97857107509783,243.92763792014856,257.6592215773719,1229.5149145459136,nan,207.99906693217778,495.99566837956746,255.92892601462628,nan,606.9610688356752,nan,56.99626877260182,254.9246465141207,125.00908820219371,169.89850132088256,55.97976187645355,225.8570572549474,83.00794020270766
FAFL_Tim_Wet,318.0,114.0,108.0,103.0,122.0,101.0,109.0,117.0,85.0,89.0,96.0,101.0,121.0,107.0,111.0,88.0,136.0,95.0,113.0,87.0,100.0,76.0,117.0,109.0,132.0,113.0,102.0,113.0,113.0,107.0,102.0,104.0,138.0,107.0,95.0,62.0,100.0,78.0,76.0,87.0,118.0,91.0,102.0,95.0
FAFL_Dur,nan,5.0,8.0,5.0,5.0,10.0,4.0,8.0,6.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,6.0,5.0,2.0,7.0,10.0,2.0,nan,2.0,9.0,7.0,3.0,5.0,nan,3.0,7.0,2.0,nan,3.0,nan,8.0,6.0,4.0,2.0,4.0,7.0,3.0
Wet_BFL_Mag,131.0,186.0,55.0,64.4,92.0,79.0,133.0,252.8,32.9,28.0,68.0,25.0,82.0,42.0,97.0,28.0,40.0,74.0,211.60000000000002,36.0,43.0,30.0,40.0,73.0,421.0,36.0,17.0,139.9,31.0,101.30000000000001,192.6,64.0,82.6,99.0,222.70000000000002,200.5,153.5,54.0,139.5,135.60000000000002,32.2,50.0,154.5,68.0
WIN_Tim_2,341.0,140.0,170.0,nan,nan,143.0,156.0,150.0,nan,nan,nan,nan,142.0,nan,78.0,nan,154.0,nan,149.0,nan,nan,nan,143.5,156.0,155.0,nan,nan,160.0,143.5,161.5,nan,159.5,142.0,141.0,nan,145.0,nan,nan,nan,nan,nan,nan,141.5,nan
WIN_Dur_2,3.0,22.0,2.0,nan,nan,6.0,1.0,6.0,nan,nan,nan,nan,2.0,nan,2.0,nan,15.0,nan,16.5,nan,nan,nan,4.0,3.0,2.0,nan,nan,4.0,2.5,3.0,nan,6.0,55.0,3.0,nan,13.0,nan,nan,nan,nan,nan,nan,3.5,nan
WIN_Fre_2,3.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
WIN_Tim_5,58.5,158.5,167.0,132.5,157.0,66.0,152.0,151.0,nan,nan,nan,160.0,138.0,nan,147.0,nan,148.5,nan,128.0,146.0,163.0,152.0,132.0,135.5,137.0,nan,nan,140.0,154.0,140.0,nan,101.0,140.0,149.5,nan,136.0,nan,nan,127.0,nan,nan,nan,156.0,nan
WIN_Dur_5,5.0,25.5,12.0,2.5,5.0,22.5,9.0,8.0,nan,nan,nan,4.0,8.0,nan,3.5,nan,26.0,nan,51.0,1.0,2.0,1.0,33.0,17.5,4.0,nan,nan,4.0,5.0,6.0,nan,1.0,65.0,16.0,nan,3.0,nan,nan,5.0,nan,nan,nan,18.0,nan
WIN_Fre_5,4.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,5.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
WIN_Tim_10,138.0,119.0,137.0,112.0,148.0,126.5,148.0,124.0,nan,142.0,nan,137.5,151.5,152.5,132.5,128.0,145.5,144.5,120.0,135.0,148.5,141.0,123.5,122.0,165.0,nan,nan,157.5,128.5,134.5,138.5,80.0,138.0,117.5,122.0,103.5,132.0,nan,140.0,nan,148.5,nan,120.0,141.0
WIN_Dur_10,10.0,3.0,20.5,5.0,5.0,3.5,4.0,65.0,nan,5.5,nan,18.0,3.5,2.0,8.5,11.5,31.5,5.5,5.0,5.0,3.5,9.5,20.5,18.0,6.5,nan,nan,31.5,18.5,9.0,2.0,2.0,2.0,28.5,7.0,3.5,1.0,nan,11.5,nan,7.5,nan,72.0,2.5
WIN_Fre_10,5.0,3.0,2.0,3.0,3.0,4.0,5.0,1.0,0.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,6.0,4.0,4.0,3.0,2.0,3.0,6.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0
