Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
Avg,639.7945205479452,693.7814207650273,398.2808219178082,334.4876712328767,262.1123287671233,713.3032786885246,368.87397260273974,596.3178082191781,233.8986301369863,251.7789617486339,179.3972602739726,408.8821917808219,492.0794520547945,290.09562841530055,707.4986301369863,284.0,666.5106849315068,263.30054644808746,765.517808219178,504.36712328767123,424.2849315068493,316.91256830601094,451.3150684931507,599.2767123287671,463.241095890411,147.18852459016392,64.26986301369863,579.9471232876713,397.5342465753425,687.5136612021857,227.3232876712329,881.931506849315,1018.758904109589,601.9562841530054,274.4356164383562,701.668493150685,133.7419178082192,148.28961748633878,208.1205479452055,230.07671232876712,241.08767123287672
Std,1661.8906509937372,1072.5711671060672,560.7953609762434,582.6055861610698,400.77635069033084,1486.489113122553,546.9996774503563,938.7441583777482,295.014405263865,389.8706762182536,248.86284607565963,638.6114516051396,1182.265154293754,334.39820203145956,1487.0217612702493,400.7166183466542,945.3290814536473,349.75135953555514,1065.571893699234,758.6784486909871,490.7427927917537,411.6533543638112,728.7647322548066,708.8460988983701,836.3711059118904,157.5796267777621,80.56344370510158,748.5608741993769,636.3835210103051,1168.8927709258285,372.5042460070768,1445.2609161866358,1257.980391405384,764.9237065076812,393.8006996695618,1300.613101882393,210.49808985341994,175.54022238115166,288.8245459529111,122.8671166821862,154.8770718416644
CV,2.5975381120338894,1.54597850995109,1.4080400815582648,1.7417849333987818,1.5290251800647088,2.0839510451369345,1.4828904126544318,1.5742346538017702,1.2612917189428827,1.5484640714639415,1.3872165366160014,1.5618470660797625,2.4025899666343014,1.1527171362704423,2.1018016119442255,1.4109740082628668,1.4183254714825657,1.328335106985858,1.3919622538606526,1.5042186805230497,1.1566349788781776,1.2989492861208285,1.6147582545559669,1.1828360493832981,1.8054769175957368,1.0705972304330889,1.2535182109837406,1.290739869448526,1.600826913637225,1.7001738829187825,1.6386541380037245,1.6387450782315345,1.2348165854853344,1.2707296636731393,1.4349474925315222,1.8536005458108595,1.5739126019956298,1.1837661014758727,1.387775252393404,0.5340267402057439,0.6424097551303738
SP_Tim,341.0,152.0,144.0,132.0,146.0,149.0,153.0,147.0,137.0,137.0,143.0,157.0,143.0,141.0,155.0,120.0,172.0,146.0,148.0,142.0,163.0,153.0,142.0,151.0,156.0,135.0,150.0,154.0,145.0,146.0,125.0,148.0,166.0,146.0,127.0,153.0,136.0,142.0,104.0,237.0,148.0
SP_Mag,11100.0,4380.0,2150.0,2130.0,2030.0,3340.0,1870.0,4800.0,1040.0,1560.0,835.0,1830.0,2690.0,1450.0,2030.0,1380.0,3500.0,1030.0,4050.0,2170.0,1450.0,1060.0,3560.0,2550.0,4120.0,795.0,328.0,2620.0,2920.0,2710.0,1970.0,3100.0,5780.0,1750.0,1650.0,2110.0,662.0,628.0,1140.0,360.0,818.0
SP_Dur,210.0,74.0,72.0,60.0,45.0,70.0,48.0,75.0,55.0,45.0,59.0,46.0,64.0,58.0,55.0,63.0,50.0,63.0,69.0,58.0,48.0,45.0,53.0,58.0,56.0,47.0,71.0,60.0,47.0,75.0,61.0,72.0,64.0,67.0,66.0,46.0,40.0,59.0,157.0,82.0,28.0
SP_ROC,0.057831661092530656,0.08686214775323686,0.08974358974358974,0.08100913594544168,0.08434361549497849,0.0851063829787234,0.08666405433646814,0.0640418213708116,0.053691275167785234,0.09050947049789668,0.0703227931488801,0.08736377789309809,0.07275132275132275,0.07662835249042145,0.08148148148148149,0.058823529411764705,0.06918238993710692,0.06738719110142767,0.07398568019093078,0.08358208955223881,0.08392018779342722,0.07665995131369092,0.07008886924927579,0.096,0.08,0.07368421052631578,0.06896551724137931,0.08695652173913043,0.08278598795840175,0.07213812677388837,0.08282068808384598,0.07368421052631578,0.09202001411251523,0.0733051197601256,0.07751937984496124,0.07603646785590751,0.0875,0.05025231286795627,0.05753530450132392,0.07213862289101687,0.06162332151949283
SU_BFL_Tim,186.0,226.0,216.0,192.0,191.0,219.0,201.0,222.0,192.0,182.0,202.0,203.0,207.0,199.0,210.0,183.0,222.0,209.0,217.0,200.0,211.0,198.0,195.0,209.0,212.0,182.0,221.0,214.0,192.0,221.0,186.0,220.0,230.0,213.0,193.0,199.0,176.0,201.0,261.0,319.0,176.0
SU_BFL_Mag_10,44.0,46.5,35.6,25.200000000000003,17.6,24.0,24.0,19.0,11.0,26.1,20.6,26.0,58.0,20.0,62.0,29.0,24.0,31.8,23.400000000000002,35.2,37.0,35.0,35.0,31.900000000000002,61.0,11.0,15.0,40.0,37.0,26.0,25.0,77.0,96.9,43.400000000000006,23.700000000000003,17.0,17.8,22.0,79.7,112.1,114.0
SU_BFL_Mag_50,86.0,72.0,50.0,64.0,72.0,59.0,66.0,55.0,27.0,37.0,37.0,63.0,142.0,63.0,106.0,136.0,73.0,107.0,71.0,92.0,60.0,49.0,105.5,76.0,86.0,30.0,31.0,76.5,69.5,54.0,50.0,376.0,316.0,96.0,55.0,37.0,29.0,33.0,129.0,122.0,175.0
SU_BFL_Dur_Fl,213.0,nan,nan,146.0,167.0,203.0,209.0,154.0,213.0,155.0,205.0,195.0,104.0,nan,114.0,151.0,160.0,99.0,140.0,130.0,106.0,156.0,123.0,241.0,73.0,237.0,132.0,163.0,nan,190.0,134.0,80.0,86.0,95.0,191.0,211.0,170.0,141.0,33.0,nan,99.0
SU_BFL_Dur_Wet,282.0,226.0,217.0,263.0,257.0,206.0,271.0,195.0,241.0,262.0,257.0,256.0,251.0,152.0,231.0,305.0,193.0,249.0,148.0,243.0,217.0,268.0,234.0,280.0,234.0,280.0,213.0,232.0,178.0,231.0,218.0,273.0,200.0,235.0,208.0,242.0,239.0,226.0,158.0,162.0,261.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,33.0,nan,nan,337.0,357.0,57.0,43.0,10.0,39.0,337.0,40.0,32.0,310.0,nan,322.0,333.0,16.0,308.0,355.0,329.0,316.0,354.0,316.0,84.0,284.0,54.0,351.0,11.0,nan,46.0,318.0,299.0,315.0,308.0,17.0,44.0,345.0,342.0,292.0,274.0
FAFL_Mag,nan,565.9719863821489,nan,nan,418.88655059793217,23399.777600370384,1599.9943733812295,516.9253357182467,606.8406529590503,1789.7671508565586,191.9584349873942,1259.8255987985208,16499.722209795633,570.8268519996328,nan,1019.8015594299603,873.9718602765395,214.99710270665835,733.9524169800007,1859.9864835161416,891.9793144509343,252.96065437499075,540.9770280088418,4959.885331993311,1139.8867561353588,284.9117221392211,76.98951975692613,458.93849524968925,1599.851223789258,nan,258.9784632686824,2159.9756384193984,4379.790588526816,2059.951131868828,242.85350172568948,2009.9582384801058,463.78218879688893,100.00955953506337,234.96022451093157,394.00700679624606,315.9997569343285
FAFL_Tim_Wet,317.0,102.0,87.0,66.0,89.0,82.0,60.0,105.0,51.0,67.0,79.0,92.0,93.0,92.0,351.0,74.0,122.0,49.0,93.0,363.0,77.0,62.0,101.0,62.0,123.0,80.0,97.0,67.0,80.0,4.0,87.0,37.0,127.0,64.0,83.0,34.0,75.0,49.0,62.0,52.0,71.0
FAFL_Dur,nan,3.0,nan,nan,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,nan,3.0,2.0,4.0,2.0,3.0,6.0,3.0,10.0,3.0,2.0,2.0,2.0,4.0,7.0,nan,3.0,3.0,5.0,2.0,2.0,3.0,8.0,2.0,3.0,6.0,-1.0
Wet_BFL_Mag,138.20000000000002,199.4,392.0,320.0,59.599999999999994,341.20000000000005,396.0,303.5,81.0,105.0,32.0,158.8,245.0,137.5,436.4,106.0,172.3,85.9,102.0,383.2,150.8,72.1,174.8,268.9,283.9,79.5,30.5,204.7,117.30000000000001,422.2,148.8,278.0,279.1,320.5,96.0,343.0,58.099999999999994,50.1,34.0,103.0,180.6
WIN_Tim_2,337.0,124.0,118.0,68.0,nan,125.0,139.0,130.5,nan,nan,nan,126.5,139.0,nan,125.0,nan,137.0,nan,26.0,18.5,nan,nan,132.0,17.0,138.5,nan,nan,133.0,130.0,95.5,nan,101.0,162.5,341.5,nan,48.0,nan,nan,nan,nan,nan
WIN_Dur_2,3.0,15.5,1.0,1.0,nan,3.0,2.0,11.5,nan,nan,nan,1.0,2.0,nan,2.5,nan,2.0,nan,2.0,1.5,nan,nan,10.0,2.0,11.5,nan,nan,2.0,4.5,2.0,nan,3.0,1.5,1.0,nan,2.0,nan,nan,nan,nan,nan
WIN_Fre_2,3.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,5.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
WIN_Tim_5,342.5,113.0,140.0,106.0,135.5,125.0,146.5,144.0,nan,39.0,nan,132.5,117.0,nan,134.0,nan,129.0,nan,111.0,75.5,131.0,nan,136.0,69.0,136.5,nan,nan,135.5,123.0,109.0,117.0,101.0,72.0,341.0,105.0,112.0,nan,nan,68.0,nan,nan
