Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,175.60928961748633,256.72328767123287,222.21917808219177,307.0794520547945,154.3879781420765,290.6246575342466,234.72876712328767,299.7369863013699,173.15300546448088,292.613698630137,247.15068493150685,277.8712328767123,209.73497267759564,251.15342465753426,482.4547945205479,267.56986301369864,133.64207650273224,74.21917808219177,384.44657534246574,180.55890410958904,262.35792349726773,189.05205479452056,372.16712328767125,525.0739726027397,254.02459016393442,161.413698630137,290.6575342465753,186.0164835164835
Std,195.20956322604997,273.2325070015314,244.1969251697043,389.6058869062794,108.30917225870412,608.2960742208961,248.9368965973528,312.6657489233858,157.7020555920617,309.6781207035533,372.1942662301494,235.8276532749392,214.5760930436417,281.80675107957427,704.1813093583323,288.59543407894404,112.85197655372093,33.07386775222357,368.851858774154,192.66834292618574,275.88871851803617,186.80768816831792,392.2673843654734,540.5339040035964,185.73851102367288,149.1582641275803,447.621611827157,190.31375122181228
CV,1.111612965642405,1.064307447446843,1.098901216704994,1.2687461967880518,0.7015388993502586,2.0930642271783695,1.0605299880717327,1.0431336912456202,0.9107670708286455,1.0583172358413258,1.505940662609517,0.8486940185692871,1.0230820845195323,1.1220502028345345,1.4595798764071377,1.0785797429816264,0.8444344738343971,0.4456242794227244,0.9594359331867635,1.0670664173351814,1.0515737997938124,0.988128314031593,1.0540086961476858,1.029443339810243,0.7311831933428444,0.9240743839800192,1.5400309955406948,1.023101542530493
SP_Tim,157.0,158.0,132.0,109.0,142.0,124.0,129.0,146.0,145.0,161.0,27.0,152.0,154.0,140.0,152.0,156.0,135.0,152.0,161.0,140.0,124.0,126.0,132.0,164.0,138.0,111.0,54.0,125.0
SP_Mag,613.0,832.0,908.0,1690.0,286.0,1160.0,876.0,1510.0,542.0,1160.0,3530.0,803.0,359.0,1290.0,1190.0,1310.0,667.0,174.0,915.0,811.0,863.0,715.0,860.0,1850.0,787.0,851.0,2150.0,762.0
SP_Dur,47.0,51.0,70.0,96.0,84.0,70.0,71.0,69.0,57.0,31.0,168.0,64.0,38.0,62.0,58.0,55.0,65.0,52.0,57.0,50.0,88.0,55.0,87.0,65.0,54.0,85.0,131.0,59.0
SP_ROC,0.06,0.06481481481481481,0.058823529411764705,0.04742019674764104,0.04060913705583756,0.0425531914893617,0.037037037037037035,0.04617374106191997,0.03647719713208663,0.0473421926910299,0.07882553606237816,0.043961352657004835,0.0764367816091954,0.08563215053138974,0.06940874035989718,0.1095890410958904,0.0331143951833607,0.03669724770642202,0.04160206718346253,0.04152696618450043,0.04697966326715346,0.05037014029093545,0.047872340425531915,0.05082743094868217,0.17314047548584394,0.12698412698412698,0.11428571428571428,0.048491973108996736
SU_Tim,204.0,209.0,202.0,205.0,226.0,194.0,200.0,215.0,202.0,192.0,195.0,216.0,192.0,202.0,210.0,211.0,200.0,204.0,218.0,190.0,212.0,181.0,219.0,229.0,192.0,196.0,185.0,184.0
SU_Mag_10,45.0,47.1,46.3,48.0,38.1,52.0,46.0,51.0,49.0,38.0,40.0,49.0,44.0,42.0,52.0,61.0,51.0,38.0,30.0,51.2,51.0,47.0,72.3,77.5,60.0,41.0,44.0,47.0
SU_Mag_50,61.0,94.5,127.5,51.0,48.0,83.5,52.0,69.0,64.5,60.0,42.5,85.0,58.0,55.0,95.0,104.0,59.0,76.0,86.0,74.0,65.0,93.0,116.5,97.5,121.0,70.0,75.0,74.0
