Year,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Avg,129.13671232876712,482.4931506849315,102.81205479452055,120.40464480874317,115.04876712328767,119.24493150684931,168.64657534246575,67.99043715846994,220.5054794520548,141.68191780821917,192.48520547945208,90.84262295081967,241.72438356164383,196.4227397260274,186.52821917808217,56.8188524590164,221.65205479452055,336.4386301369863,184.03452054794522,51.20437158469945,12.072876712328767,281.2934246575343,92.7958904109589,160.51120218579237
Std,251.52658133477334,741.7312721532463,192.6556545356117,308.0664615952969,225.35616031435816,242.17409181884628,261.47891351751315,150.2330484380128,509.5400885435701,191.65181757521543,229.05807207750152,186.92041638907583,362.07315885653003,498.92714366767456,280.03124815528,70.79762468457704,310.083296060555,587.2490228717941,331.5425860579235,71.86958044201388,12.270581980309046,467.5694422799946,133.99372326165968,304.3785242458016
CV,1.9477542582500922,1.5372887078299637,1.8738625049431406,2.5585928357219547,1.9587881378412664,2.030896313651168,1.5504549261467981,2.2096202748020928,2.3107819806099696,1.352690735275306,1.1900035200469141,2.057629010671243,1.4978760252549996,2.5400681426375766,1.5012808752970974,1.246023487286083,1.3989642295354014,1.745486309442784,1.8015238938368034,1.4035829015718155,1.0163759866592843,1.66221248452304,1.4439618249068005,1.8963070496069316
SP_Tim,70.0,54.0,56.0,71.0,90.0,69.0,108.0,27.0,10.0,94.0,106.0,57.0,97.0,27.0,92.0,68.0,63.0,95.0,88.0,108.0,139.0,73.0,90.0,58.0
SP_Mag,728.0,6030.0,501.0,1910.0,474.0,1430.0,1580.0,276.0,2390.0,320.0,683.0,1810.0,614.0,4170.0,557.0,338.0,935.0,3220.0,1640.0,158.0,46.0,1410.0,1020.0,934.0
SP_Dur,131.0,95.0,116.0,140.0,74.0,70.0,71.0,82.0,147.0,100.0,111.0,74.0,95.0,115.0,90.0,119.0,99.0,67.0,90.0,55.0,31.0,83.0,112.0,80.0
SP_ROC,0.0684931506849315,0.0462981865196829,0.05555555555555555,0.059714795008912656,0.040202020202020204,0.039888682745825604,0.05426356589147287,0.037037037037037035,0.055500550055005496,0.045454545454545456,0.04887218045112782,0.045454545454545456,0.05045223289994347,0.09782608695652174,0.04511533242876527,0.06666666666666667,0.05263157894736842,0.03636363636363636,0.042042042042042045,0.04568591455273698,0.1111111111111111,0.058671499183547374,0.04716326813705091,0.03879310344827586
SU_Tim,201.0,149.0,172.0,211.0,164.0,139.0,179.0,109.0,157.0,194.0,217.0,131.0,192.0,142.0,182.0,187.0,162.0,162.0,178.0,163.0,170.0,156.0,202.0,138.0
SU_Mag_10,11.0,12.0,7.8,5.320000000000001,8.75,5.9,16.0,3.8,9.0,4.5,9.2,1.5,8.0,2.2,5.26,1.2,4.68,11.0,7.1,6.3,0.4400000000000002,8.040000000000001,2.68,3.1
SU_Mag_50,102.0,23.0,10.0,14.0,13.0,37.0,25.0,8.4,19.0,8.4,18.0,7.35,12.0,5.4,12.0,3.1,15.0,37.0,30.0,12.0,4.8,18.0,21.0,33.0
SU_Dur_Fl,87.0,nan,222.0,125.0,173.0,147.0,nan,nan,nan,126.0,121.0,214.0,156.0,170.0,136.0,129.0,155.0,176.0,126.0,112.0,180.0,221.0,157.0,221.0
SU_Dur_Wet,193.0,221.0,222.0,177.0,236.0,310.0,133.0,240.0,159.0,135.0,171.0,228.0,170.0,185.0,157.0,171.0,157.0,241.0,235.0,156.0,195.0,222.0,169.0,233.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
