Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
Avg,443.81369863013697,577.5355191256831,477.4246575342466,434.97534246575344,291.8684931506849,663.8497267759562,378.1315068493151,654.0027397260274,320.8794520547945,285.155737704918
Std,375.27872867497996,481.1659536666117,318.46269078088767,299.4234678354991,134.39826001474006,714.1524280801068,307.9171641305865,483.2224451526887,250.79264313722317,230.8044267253999
CV,0.845577164096793,0.833136556510043,0.6670428218468036,0.6883688306057794,0.4604753961756104,1.075774229129309,0.8143123716302516,0.7388691450361793,0.7815790058579286,0.8093977998936098
SP_Tim,39.0,153.0,163.0,121.0,146.0,19.0,147.0,167.0,56.0,77.0
SP_Mag,2030.0,974.0,974.0,987.0,516.0,5820.0,921.0,2220.0,1310.0,675.0
SP_Dur,168.0,85.0,67.0,96.0,81.0,203.0,66.0,65.0,150.0,126.0
SP_ROC,0.02892032042822891,0.027618677042801555,0.031496062992125984,0.030985915492957747,0.027001590668080593,0.034108527131782945,0.02396808510638298,0.0285204991087344,0.02414574898785425,0.027553436968666502
SU_Tim,207.0,238.0,230.0,217.0,227.0,222.0,213.0,232.0,206.0,203.0
SU_Mag_10,180.0,217.3,227.0,205.0,152.0,214.0,178.0,241.0,170.0,151.6
SU_Mag_50,196.0,233.0,249.5,213.0,172.0,237.0,264.0,269.0,199.0,194.0
SU_Dur_Fl,nan,98.0,90.0,97.0,98.0,157.0,75.0,nan,nan,nan
SU_Dur_Wet,125.0,102.0,156.0,98.0,117.0,195.0,157.0,138.0,186.0,189.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,303.0,nan,336.0,318.0,313.0,324.0,14.0,286.0,nan,nan
FA_Mag,633.9793349450467,nan,952.9057151240877,525.9488553336895,451.97907687869116,1279.9641315639988,669.9422766490575,1829.9192341909645,nan,nan
FA_Tim_Wet,317.0,331.0,340.0,19.0,314.0,343.0,52.0,3.0,4.0,26.0
FA_Dur,6.0,nan,5.0,5.0,2.0,2.0,3.0,5.0,nan,nan
Tim_2,348.0,18.0,66.0,48.0,nan,15.0,65.0,49.0,29.5,38.0
Dur_2,1.0,1.0,1.0,1.0,nan,2.0,1.0,2.0,1.0,2.0
Fre_2,5.0,6.0,6.0,5.0,0.0,8.0,3.0,9.0,2.0,1.0
Tim_5,360.5,35.5,13.5,48.0,336.0,29.5,64.0,33.0,47.0,38.0
Dur_5,2.0,1.5,2.0,2.0,1.0,4.5,4.0,1.0,2.0,1.0
Fre_5,10.0,8.0,8.0,5.0,3.0,8.0,3.0,15.0,3.0,3.0
Tim_10,364.0,54.0,5.0,61.5,336.0,5.0,72.0,28.5,12.0,38.0
Dur_10,2.0,3.0,2.0,2.0,1.0,8.0,5.0,2.0,2.0,2.0
Fre_10,10.0,13.0,12.0,10.0,3.0,9.0,5.0,18.0,3.0,3.0
Tim_20,10.0,35.5,361.0,67.0,340.0,76.0,105.0,3.5,25.0,55.0
Dur_20,3.0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.5
Fre_20,11.0,10.0,9.0,9.0,7.0,8.0,7.0,10.0,5.0,4.0
Tim_50,318.0,330.0,336.0,330.5,15.0,339.0,37.0,318.0,35.0,71.0
Dur_50,15.0,2.0,3.0,1.5,5.0,6.0,2.5,8.0,10.5,10.0
Fre_50,3.0,7.0,3.0,8.0,11.0,3.0,6.0,4.0,8.0,8.0
