Year,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
Avg,10304.890710382513,20696.35616438356,12717.643835616438,17018.383561643837,15385.765027322404,14105.616438356165,6850.301369863014,8022.493150684932,11814.767123287671,12207.123287671233,15474.657534246575,13504.356164383562,22177.322404371585,14623.232876712329,15344.95890410959,18853.890410958906,10680.437158469946,19743.616438356163,12304.356164383562,13694.712328767124,8768.77049180328,9439.232876712329,18597.561643835616,16993.287671232876,14431.639344262296,9550.0,7075.260273972603,10375.479452054795,5356.775956284153,15377.424657534246,8734.191780821919,6913.178082191781,4095.7650273224044,10688.246575342466,7389.835616438356,14659.013698630137,10097.704918032787,5696.876712328767,8030.986301369863,4253.643835616438,6645.4098360655735,6267.232876712329,6042.986301369863,9895.780821917808,9182.459016393443,7981.123287671233,19883.23287671233,5676.109589041096,14126.557377049181,19279.178082191782,15130.0,11232.794520547945,4787.3224043715845
Std,6217.44442291125,20428.211291874668,10591.129937480655,15035.198587488268,18179.32397101577,12479.445213597512,3192.795600221324,7825.769134808601,12832.764626512364,13044.101766798984,22209.48152961307,14942.579976908191,25947.757506313294,13617.201931844065,16471.043177481974,22860.281046440283,8349.873813721219,28164.161732589444,10568.93244744361,12808.75457194682,5526.751372076254,6476.141542194361,23044.32297069512,19806.049515498944,13912.526161621272,11588.390884314838,5251.336555315129,11312.436076089232,3021.7958669109044,14315.129287515922,6600.704754107045,4402.184922464571,2768.4868604890303,13238.838160111014,8867.641281129174,16804.543958624603,11848.485097436864,4202.858922422503,8588.546473883629,2683.2978348307156,6529.7348644750045,6883.226964071367,6273.046941584224,10098.518011775428,13490.663639296927,8278.303915931463,23468.148229660776,3531.4425146907865,23950.02486179477,22978.227214034454,19365.76562793644,11626.188877146855,1843.3907756612882
CV,0.6033488949714888,0.98704386074635,0.8327902616536274,0.8834680763321561,1.1815677633664947,0.8847146289660374,0.46608104196227074,0.9754784438975139,1.086163145883608,1.0685647600506394,1.435216351667998,1.1065007316911417,1.1700130896414476,0.9312032466862796,1.073384639242716,1.2124967605175345,0.7817913901679098,1.426494574614739,0.85895859208275,0.935306581434408,0.6302766593380971,0.6860876966148113,1.2391045348858105,1.165521934229811,0.9640295069563658,1.213444071656004,0.7422110780338289,1.0903048990038604,0.5641071964874634,0.9309185124507927,0.7557316028485346,0.636781646606865,0.6759388885887629,1.2386351743280983,1.1999781512600234,1.146362525071858,1.1733839712702914,0.7377479160338825,1.0694261142518275,0.630823345472189,0.982593252418717,1.0982880482466093,1.0380706870313787,1.0204872352678411,1.4691776587526333,1.0372354388660174,1.1802984140042527,0.622158973376583,1.6953900531140984,1.1918675742333378,1.2799580719059114,1.0350219489797736,0.3850567436147564
SP_Tim,140.0,101.0,95.0,131.0,129.0,115.0,63.0,88.0,73.0,60.0,59.0,92.0,93.0,93.0,94.0,86.0,44.0,39.0,86.0,75.0,152.0,110.0,58.0,142.0,46.0,119.0,89.0,50.0,111.0,35.0,97.0,104.0,43.0,59.0,51.0,97.0,94.0,120.0,68.0,82.0,130.0,92.0,92.0,110.0,58.0,110.0,86.0,81.0,96.0,100.0,41.0,74.0,218.0
SP_Mag,38100.0,118000.0,34600.0,37200.0,71700.0,28600.0,37500.0,83400.0,66100.0,63300.0,151000.0,73000.0,91300.0,71600.0,137000.0,120000.0,83300.0,232000.0,54100.0,29600.0,24000.0,17400.0,70200.0,38500.0,91300.0,28000.0,31800.0,32200.0,28500.0,96000.0,24900.0,21000.0,47300.0,70200.0,38000.0,75100.0,43700.0,11900.0,55700.0,13200.0,12100.0,44800.0,23600.0,49900.0,85400.0,39000.0,113000.0,13900.0,75600.0,102000.0,181000.0,33600.0,5210.0
SP_Dur,77.0,89.0,119.0,82.0,70.0,61.0,137.0,50.0,91.0,109.0,129.0,92.0,90.0,100.0,120.0,65.0,160.0,105.0,93.0,137.0,74.0,90.0,141.0,62.0,126.0,77.0,96.0,119.0,50.0,165.0,107.0,70.0,105.0,128.0,114.0,89.0,70.0,78.0,106.0,72.0,64.0,114.0,86.0,76.0,90.0,95.0,116.0,98.0,74.0,106.0,149.0,117.0,nan
SP_ROC,0.027642276422764227,0.03409090909090909,0.027649769585253458,0.026574461759532243,0.030451392752494345,0.02898634472458305,0.03367792701126034,0.03351742097701149,0.037559513313348614,0.030599755201958383,0.05028147618622107,0.03007518796992481,0.024734982332155476,0.03571428571428571,0.03625,0.031578947368421054,0.03483804452796701,0.0442002442002442,0.025806451612903226,0.023529411764705882,0.041050903119868636,0.0391156462585034,0.04639309366130558,0.03614457831325301,0.039269816812189696,0.03924418604651163,0.0410958904109589,0.0661764705882353,0.03702616058537063,0.0392156862745098,0.03651820662575475,0.0391156462585034,0.022704081632653063,0.047561369509043924,0.03614457831325301,0.0391156462585034,0.05220883534136546,0.03902684967792427,0.028098739495798317,0.025157232704402517,0.03363870752436983,0.036600673791201035,0.03724928366762178,0.0380639355596282,0.04375,0.041659785301403796,0.041937104811356304,0.031746031746031744,0.034461199359945745,0.03247462919594067,0.04257246376811594,0.039594693443277026,nan
SU_BFL_Tim,217.0,190.0,214.0,213.0,199.0,176.0,200.0,138.0,164.0,169.0,188.0,184.0,183.0,193.0,214.0,151.0,204.0,144.0,179.0,212.0,226.0,200.0,199.0,204.0,172.0,196.0,185.0,169.0,161.0,200.0,204.0,174.0,148.0,187.0,165.0,186.0,164.0,198.0,174.0,154.0,194.0,206.0,178.0,186.0,148.0,205.0,202.0,179.0,170.0,206.0,190.0,191.0,nan
SU_BFL_Mag_10,5470.0,7500.0,5640.0,5480.0,5480.0,5480.0,4550.0,4550.0,4380.0,4380.0,4200.0,4090.0,5350.0,4760.0,5590.0,5720.0,4650.0,5530.0,4760.0,5110.0,4650.0,4390.0,5210.0,5110.0,5000.0,4200.0,3690.0,4010.0,3400.0,4010.0,3740.0,3400.0,2900.0,3490.0,3060.0,3660.0,3490.0,3060.0,3060.0,2550.0,2700.0,2700.0,2550.0,2860.0,2940.0,2860.0,4070.0,2920.0,3440.0,4286.0,4140.0,3704.0,nan
SU_BFL_Mag_50,6150.0,8660.0,5810.0,5870.0,5870.0,5870.0,4900.0,4900.0,5090.0,4900.0,4880.0,4880.0,7710.0,5110.0,5840.0,6350.0,5230.0,6415.0,5230.0,5400.0,5110.0,5000.0,5650.0,5230.0,5650.0,4650.0,4700.0,4390.0,3580.0,4390.0,4010.0,4100.0,3060.0,4010.0,3400.0,4055.0,3920.0,3240.0,3440.0,2780.0,2940.0,2780.0,2860.0,3440.0,3350.0,3180.0,4760.0,3280.0,3850.0,4720.0,4720.0,4050.0,nan
