Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,12.402191780821918,29.128493150684932,15.158743169398905,38.36356164383562,34.438904109589046,28.36958904109589,11.741803278688524,32.51287671232876,52.24246575342466,28.275068493150687,8.63879781420765,3.331945205479452,27.776438356164384,15.868493150684932,29.07896174863388,11.845479452054796,58.4227397260274,71.9704109589041,37.00382513661203,12.951780821917808,32.72849315068493,10.96
Std,16.826700752369593,42.44211605867012,19.635346948462537,74.23448383369026,61.47920569628076,40.775914608502404,12.844150973673766,49.91014637228194,72.84193342541737,42.457450194872784,5.25920714147438,1.8886049928228423,53.51018178289045,20.927443322842258,55.79187143345989,17.20173016474031,94.1453237078483,93.11465167934293,52.461313736126,16.13997091732928,89.94366492073381,14.310371370692073
CV,1.356752181367611,1.4570652810329852,1.2953149696539878,1.9350258592483554,1.7851673067367642,1.4373107255602062,1.0938823167805931,1.5350885993227477,1.394305042361871,1.5015861130507118,0.6087892383388017,0.5668175424124601,1.9264594364746916,1.3188046983490027,1.9186335439256519,1.4521767763276465,1.611449996171721,1.2937907459290794,1.4177267766899089,1.2461584348320824,2.748176168900446,1.305690818493802
SP_Tim,9.0,112.0,80.0,31.0,25.0,89.0,107.0,63.0,95.0,88.0,103.0,89.0,68.0,90.0,57.0,89.0,105.0,76.0,363.0,91.0,54.0,76.0
SP_Mag,205.0,76.0,82.0,434.0,503.0,496.0,50.0,223.0,392.0,372.0,21.0,8.0,376.0,97.0,206.0,84.0,1180.0,745.0,659.0,37.0,399.0,88.0
SP_Dur,168.0,105.0,93.0,120.0,129.0,129.0,104.0,123.0,79.0,123.0,100.0,133.0,106.0,114.0,64.0,117.0,64.0,134.0,190.0,119.0,92.0,125.0
SP_ROC,0.07142857142857142,0.05064102564102564,0.050632911392405104,0.05454545454545454,0.05555555555555555,0.04819976771196283,0.04999999999999997,0.047619047619047616,0.03871128871128871,0.04597701149425271,0.04819277108433739,0.05798319327731091,0.06451612903225806,0.043015726179463476,0.044466403162055336,0.04189515244571172,0.040547945205479455,0.043478260869565216,0.04124149659863945,0.04545454545454547,0.05263157894736842,0.04214729370008867
SU_Tim,177.0,217.0,173.0,151.0,154.0,218.0,211.0,186.0,174.0,211.0,203.0,222.0,174.0,204.0,121.0,206.0,169.0,210.0,188.0,210.0,146.0,201.0
SU_Mag_10,1.1,2.52,2.2,4.1,3.4,3.9,2.0,4.1,6.6,4.6,2.8,0.783,3.1,3.7,4.12,1.8,9.2,8.6,5.9,2.9,3.9,2.4
SU_Mag_50,2.4,7.0,4.7,5.5,5.5,4.9,6.2,4.95,10.0,6.2,3.2,2.3,4.4,4.35,6.7,3.6,15.0,11.0,7.5,5.1,7.1,6.6
SU_Dur_Fl,144.0,107.0,187.0,206.0,nan,nan,141.0,127.0,200.0,73.0,116.0,137.0,203.0,155.0,217.0,117.0,154.0,106.0,nan,nan,223.0,168.0
SU_Dur_Wet,205.0,163.0,201.0,215.0,171.0,131.0,153.0,132.0,223.0,88.0,125.0,144.0,205.0,162.0,263.0,123.0,221.0,112.0,127.0,192.0,230.0,175.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,318.0,320.0,323.0,360.0,355.0,nan,nan,352.0,311.0,8.0,283.0,319.0,357.0,11.0,358.0,338.0,321.0,322.0,315.0,nan,nan,3.0
FA_Mag,24.971891781439243,43.975499254602475,29.952626443874127,89.99409704958246,133.96386037391736,nan,nan,87.97876852254177,100.95702222011312,55.98060864245403,15.085166890615692,6.638559764562027,55.952246655264716,131.830135524194,143.92611399566937,99.86706242663624,139.97871516525112,206.97813630633385,114.96979313706044,nan,nan,51.96887819836782
FA_Tim_Wet,324.0,16.0,14.0,9.0,364.0,324.0,348.0,364.0,316.0,31.0,298.0,328.0,364.0,13.0,365.0,19.0,327.0,24.0,321.0,315.0,35.0,10.0
FA_Dur,3.0,2.0,3.0,4.0,4.0,nan,nan,2.0,3.0,3.0,2.0,8.0,2.0,6.0,2.0,2.0,3.0,5.0,3.0,nan,nan,4.0
Tim_2,5.0,62.5,nan,26.0,21.5,29.0,nan,38.0,15.0,63.5,nan,nan,38.5,45.0,16.0,29.0,45.5,43.0,345.0,40.0,69.0,44.0
Dur_2,1.0,1.5,nan,2.0,1.0,1.0,nan,2.0,2.0,1.5,nan,nan,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
Fre_2,1.0,4.0,0.0,5.0,6.0,4.0,0.0,4.0,5.0,2.0,0.0,0.0,4.0,1.0,3.0,1.0,8.0,11.0,5.0,1.0,4.0,1.0
Tim_5,4.0,48.0,48.0,40.0,52.0,34.5,357.0,47.5,23.5,60.5,nan,nan,37.5,52.5,35.5,365.5,363.0,37.0,337.0,40.0,55.0,44.0
Dur_5,2.0,2.0,1.0,7.0,2.0,1.0,1.0,4.5,3.5,2.5,nan,nan,3.0,1.0,1.5,1.5,3.0,4.0,1.0,1.0,10.5,1.0
Fre_5,1.0,6.0,3.0,4.0,8.0,6.0,2.0,6.0,10.0,6.0,0.0,0.0,6.0,4.0,6.0,2.0,9.0,9.0,7.0,1.0,2.0,1.0
Tim_10,4.0,75.0,48.0,20.0,26.0,41.0,24.5,43.5,361.0,50.0,nan,nan,65.5,51.5,23.5,56.5,363.0,354.0,343.0,3.5,48.5,58.5
Dur_10,3.0,6.0,2.0,3.0,8.0,2.0,1.0,2.5,4.0,2.0,nan,nan,2.5,2.0,5.5,2.0,5.0,3.0,2.0,1.0,9.0,1.0
