Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Avg,47.38579234972678,104.33205479452054,84.04794520547945,81.28821917808219,51.206830601092896,78.70602739726027,114.80575342465752,79.2013698630137,18.501639344262298,5.377917808219178,83.27397260273973,50.016164383561645,93.8860655737705,30.484383561643835,146.10438356164383,138.5246575342466,87.56010928961749,36.544657534246575,86.05506849315069,16.92180821917808,24.712868852459017,67.751698630137,31.152876712328766,29.474520547945207,26.78989071038252,74.54219178082192,18.69923287671233,119.98871232876712,94.45054644808742,97.41589041095891,108.59616438356164,76.16465753424657,62.079234972677604
Std,96.20961271912198,217.00295216070853,227.9607885710058,111.75238699105508,84.51114733797631,129.56292750184585,178.82264725805163,130.8172680289641,25.15641554781185,6.607046428911519,132.0634239776918,75.55001526939525,249.50794471912698,55.492329001805835,289.1525339179917,194.31990780691564,169.77067172228905,47.8943352409279,294.0367252391763,35.9458984345167,36.396538397812726,156.62151556168993,41.316418491079375,63.38230324385627,51.18605974296042,123.67851487534705,25.74639601778611,217.88073037376418,152.908195741229,328.47480038386635,151.40062353638393,146.7448774311389,120.65334734084814
CV,2.0303472401401494,2.0799259881164094,2.712270811781179,1.3747673170971246,1.650388167866273,1.6461627118834343,1.5576105022942588,1.6517046138876765,1.359685759716926,1.2285510237463726,1.585890763344547,1.5105119754889798,2.6575609830308355,1.8203526697396493,1.9790818514079254,1.4027820841850855,1.9389042921445936,1.3105700934820737,3.4168437767565,2.124235068080842,1.4727767389171873,2.311698728273984,1.3262472956382991,2.150409983455182,1.910648322395846,1.6591746488888033,1.3768691040716534,1.815843558490523,1.6189233571588861,3.371881106851888,1.3941617956379835,1.9266794098713924,1.9435379220435023
SP_Tim,56.0,31.0,25.0,90.0,67.0,22.0,93.0,138.0,69.0,139.0,120.0,131.0,58.0,92.0,108.0,76.0,363.0,99.0,52.0,77.0,67.0,89.0,156.0,103.0,58.0,88.0,70.0,125.0,144.0,6.0,90.0,52.0,62.0
SP_Mag,870.0,1390.0,1860.0,665.0,310.0,677.0,1050.0,249.0,70.0,26.0,321.0,271.0,456.0,228.0,805.0,1480.0,1410.0,196.0,3200.0,136.0,84.0,1100.0,177.0,166.0,196.0,624.0,122.0,1040.0,433.0,3730.0,348.0,555.0,886.0
SP_Dur,94.0,137.0,75.0,102.0,111.0,144.0,72.0,53.0,118.0,67.0,49.0,58.0,108.0,86.0,57.0,112.0,157.0,66.0,63.0,92.0,126.0,66.0,58.0,103.0,98.0,109.0,113.0,68.0,50.0,57.0,116.0,121.0,115.0
SP_ROC,0.054093567251461985,0.07300156739811911,0.06976744186046512,0.060810810810810814,0.057692307692307696,0.07547169811320754,0.05555555555555555,0.07380174291938998,0.04939024390243903,0.06250000000000006,0.06666666666666667,0.059714795008912656,0.05405405405405406,0.056179775280898875,0.05392156862745098,0.06927133269415148,0.058823529411764705,0.059714795008912656,0.06153846153846154,0.051956815114709815,0.058823529411764705,0.0625,0.05555555555555555,0.058823529411764705,0.06330128205128205,0.06944444444444445,0.05319148936170213,0.05723384895359418,0.075,0.07735042735042735,0.058823529411764705,0.04959016393442623,0.062338082901554404
SU_BFL_Tim,150.0,168.0,100.0,192.0,178.0,166.0,165.0,191.0,187.0,206.0,169.0,189.0,166.0,178.0,165.0,188.0,155.0,165.0,115.0,169.0,193.0,155.0,214.0,206.0,156.0,197.0,183.0,193.0,194.0,63.0,206.0,173.0,177.0
SU_BFL_Mag_10,2.7,2.4,2.0,2.9699999999999998,2.0,2.0,2.8,2.62,1.6,0.59,2.0,1.7,1.8,1.0,1.83,5.8,2.1,2.4,2.75,0.92,0.65,2.0,1.9,1.5,1.1,2.5,0.984,2.5,2.7,2.0900000000000003,3.8,2.2,2.2
SU_BFL_Mag_50,5.3,4.9,4.65,4.8,4.8,4.0,5.4,10.0,2.4,1.2,4.3,4.0,4.2,2.3,5.75,9.55,6.5,4.3,4.55,1.2,2.5,5.0,2.8,3.9,2.9,4.25,1.7,3.6,3.8,7.800000000000001,6.1,4.5,4.2
SU_BFL_Dur_Fl,210.0,189.0,nan,165.0,176.0,147.0,209.0,109.0,132.0,145.0,208.0,177.0,173.0,nan,158.0,128.0,161.0,219.0,254.0,168.0,135.0,144.0,nan,94.0,188.0,93.0,156.0,154.0,147.0,280.0,129.0,211.0,207.0
SU_BFL_Dur_Wet,223.0,192.0,230.0,188.0,177.0,148.0,239.0,222.0,228.0,155.0,244.0,179.0,229.0,151.0,174.0,134.0,241.0,233.0,286.0,169.0,226.0,223.0,210.0,200.0,217.0,208.0,185.0,189.0,153.0,310.0,175.0,214.0,210.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
