Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,1652.9917808219177,1424.5205479452054,1465.33698630137,899.2021857923497,1211.035616438356,1908.2657534246575,1158.9917808219177,426.92896174863387,176.60821917808218,1433.3643835616438,859.2082191780822,1574.3415300546449,618.5424657534246,2342.0328767123287,2213.1726027397262,1516.3852459016393,695.6575342465753,1632.1917808219177,232.25
Std,2104.2540649349967,2767.8506438325176,1278.9751221789115,868.6316055870467,1230.0945976954029,2222.7994229305973,1293.2419292629195,316.7357682140354,110.78238541729674,1383.5180455249267,1003.8078790359423,3044.1661901402967,649.9995207411949,3144.6898105216314,2063.53945172813,1595.0896155515024,637.1937108783806,3820.0993727931523,74.86170220160466
CV,1.2729972945713606,1.943005067792805,0.8728197910346541,0.9660025512745333,1.0157377545287223,1.1648269738853008,1.1158335638461527,0.7418933747589658,0.627277631431127,0.9652242384362459,1.1682940835880085,1.9336123274564412,1.050856742631977,1.3427180471249605,0.9323897508823475,1.0519026216211076,0.9159589014851778,2.340472129365507,0.3223324099100308
SP_Tim,143.0,26.0,167.0,101.0,140.0,151.0,161.0,135.0,141.0,162.0,143.0,58.0,125.0,122.0,155.0,146.0,127.0,55.0,nan
SP_Mag,5500.0,24000.0,3390.0,4180.0,4340.0,4080.0,5010.0,1210.0,507.0,3450.0,3960.0,4730.0,2190.0,4290.0,7180.0,2560.0,2230.0,10000.0,nan
SP_Dur,76.0,163.0,65.0,115.0,75.0,69.0,59.0,68.0,80.0,64.0,71.0,156.0,86.0,93.0,88.0,57.0,74.0,130.0,nan
SP_ROC,0.0375,0.04822043628013777,0.044167610419026046,0.03064066852367688,0.0337096476664822,0.0432354020075366,0.03546099290780142,0.03496503496503497,0.03061543267728835,0.036036036036036036,0.03278688524590164,0.04215456674473068,0.02627094775383749,0.04148749388366002,0.04040820533965571,0.03811659192825112,0.034384236453201975,0.045454545454545456,nan
SU_BFL_Tim,219.0,189.0,232.0,216.0,215.0,220.0,220.0,203.0,221.0,226.0,214.0,214.0,211.0,215.0,243.0,203.0,201.0,185.0,nan
SU_BFL_Mag_10,188.0,148.0,213.0,176.6,168.0,185.0,251.89999999999998,114.0,73.0,156.0,149.0,180.0,123.0,232.5,272.20000000000005,189.9,140.8,nan,nan
SU_BFL_Mag_50,228.0,183.0,254.0,217.0,193.0,235.5,315.5,126.0,90.0,205.5,215.0,229.0,140.0,394.5,315.0,337.5,177.0,nan,nan
SU_BFL_Dur_Fl,138.0,126.0,100.0,93.0,nan,119.0,65.0,116.0,107.0,151.0,152.0,125.0,109.0,85.0,73.0,105.0,183.0,nan,nan
SU_BFL_Dur_Wet,144.0,136.0,163.0,137.0,97.0,190.0,200.0,219.0,137.0,194.0,155.0,180.0,109.0,176.0,74.0,210.0,199.0,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,nan,355.0,314.0,331.0,309.0,nan,338.0,284.0,319.0,326.0,11.0,365.0,339.0,318.0,299.0,315.0,308.0,17.0,nan
