Year,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
Avg,5660.210382513661,3319.1643835616437,5017.13698630137,6168.301369863014,2194.344262295082,5362.54794520548,3690.5561643835617,4845.309589041096,1555.5573770491803,1930.5561643835617,4071.213698630137,3454.7123287671234,4256.568306010929,3186.0520547945207,1576.5671232876712,2405.2602739726026,1493.8005464480875,3968.750684931507,3766.698630136986,2493.1123287671235,610.0054644808744,2555.7835616438356,1910.145205479452,4452.046575342466,3011.5491803278687,962.5780821917808,1974.8,592.9506849315069,2383.5054644808743,1101.1424657534246,995.7616438356164,2576.1726027397262,3026.1092896174864,2110.8246575342464,4959.52602739726,890.745205479452,3428.2704918032787
Std,7965.604792299535,3069.490373182532,6358.995717027961,10159.747320076733,1960.731011654252,10183.019835001305,4347.462551407046,5534.307544270158,1862.539105318066,2266.9448900484535,5090.240382226899,5195.055443372189,4571.380106860494,4173.782352173828,2078.3869941734283,3416.0291905789677,2095.844083410527,3381.2706213129886,4558.297973889514,2892.0628521536155,747.2747206796579,3801.7785743644913,2982.392296763134,5416.348346329808,6788.935881313563,887.3141943638734,2311.913410475022,598.8944772063757,2495.5789922983286,1320.0628571499149,1300.7495944915381,3290.6328383849827,4023.218742950668,2592.590108487048,6421.417831959719,954.8704728973763,6584.3355462266745
CV,1.4072983606595315,0.9247780520857488,1.2674550713664705,1.6470899702979915,0.8935384685735264,1.8989144598894803,1.177996583106657,1.1421989539713637,1.1973451656609515,1.1742444648184078,1.2503004654213163,1.503759198736567,1.0739590623754358,1.3100169992178643,1.3182990837962512,1.4202326573734774,1.4030280604689562,0.8519735528238007,1.210157334441099,1.1600210783858977,1.2250295516870526,1.4875197694437214,1.5613432362146231,1.2165974130477655,2.2543001873123814,0.9218100960116064,1.1707076212654557,1.0100240920972297,1.0470204618733123,1.198812050397766,1.306286100236926,1.2773339934154402,1.3295021289397055,1.228235656255586,1.2947644183106857,1.0719905838655717,1.9205997782174118
SP_Tim,147.0,122.0,159.0,83.0,144.0,21.0,113.0,166.0,151.0,147.0,138.0,138.0,131.0,159.0,116.0,130.0,113.0,163.0,157.0,141.0,111.0,141.0,105.0,139.0,92.0,172.0,117.0,84.0,161.0,166.0,92.0,109.0,163.0,139.0,159.0,98.0,95.0
SP_Mag,14800.0,8800.0,25600.0,60000.0,8000.0,71000.0,9890.0,13700.0,7420.0,8620.0,11600.0,18600.0,15300.0,9420.0,6340.0,10200.0,6570.0,7780.0,17400.0,10700.0,1580.0,6820.0,8980.0,14100.0,27000.0,4700.0,5360.0,2740.0,6800.0,4500.0,12200.0,16400.0,12300.0,10300.0,13200.0,3920.0,43300.0
SP_Dur,61.0,90.0,66.0,142.0,73.0,182.0,85.0,57.0,59.0,51.0,83.0,65.0,88.0,60.0,86.0,60.0,97.0,56.0,59.0,79.0,65.0,49.0,80.0,72.0,98.0,32.0,81.0,109.0,53.0,44.0,91.0,101.0,43.0,72.0,66.0,86.0,90.0
SP_ROC,0.0547945205479452,0.07124730364166984,0.06448723690103,0.061224489795918366,0.07272727272727272,0.0651085141903172,0.0674637278196249,0.08087192118226601,0.05172413793103448,0.057692307692307696,0.06060606060606061,0.06044678055190539,0.05806542217612998,0.06282722513089005,0.06134969325153374,0.060193672223779845,0.07142857142857142,0.088595692453876,0.07514450867052024,0.0729751872659176,0.05982905982905983,0.056873315363881405,0.05078125,0.06618803418803419,0.040269816455329746,0.048581964465303384,0.05714285714285714,0.05198147195059187,0.05454545454545454,0.06111111111111111,0.05220944309927361,0.07186858316221766,0.06133828996282528,0.06826568265682657,0.051510685335298456,0.05711170273025943,0.09935844411945711
SU_Tim,208.0,212.0,225.0,225.0,217.0,203.0,198.0,223.0,210.0,198.0,221.0,203.0,219.0,219.0,202.0,190.0,210.0,219.0,216.0,220.0,176.0,190.0,185.0,211.0,190.0,204.0,198.0,193.0,214.0,210.0,183.0,210.0,206.0,211.0,225.0,184.0,185.0
SU_Mag_10,445.0,415.0,380.0,470.0,320.0,410.0,295.0,438.0,275.8,220.0,330.0,291.0,342.4,242.0,178.0,183.0,130.0,245.0,238.0,289.0,86.0,226.0,154.50000000000003,240.0,235.0,131.0,215.0,140.0,214.0,155.0,156.0,260.0,248.0,247.00000000000003,328.0,185.0,201.0
SU_Mag_50,950.0,455.0,560.0,520.0,370.0,530.0,390.0,525.0,610.0,281.0,430.0,378.0,532.0,313.0,480.0,315.0,196.5,375.0,380.0,425.0,325.0,375.0,275.0,1420.0,370.0,168.0,272.0,148.0,284.0,247.0,235.0,348.0,295.0,332.0,518.0,222.0,287.0
SU_Dur_Fl,77.0,168.0,121.0,117.0,nan,nan,148.0,92.0,101.0,163.0,nan,136.0,120.0,118.0,184.0,156.0,108.0,139.0,96.0,nan,180.0,206.0,145.0,104.0,129.0,nan,123.0,129.0,179.0,96.0,188.0,nan,196.0,136.0,81.0,184.0,183.0
SU_Dur_Wet,157.0,168.0,139.0,135.0,154.0,120.0,185.0,216.0,232.0,163.0,176.0,158.0,190.0,190.0,195.0,240.0,110.0,194.0,124.0,173.0,216.0,206.0,200.0,230.0,203.0,140.0,187.0,165.0,223.0,141.0,222.0,165.0,197.0,185.0,206.0,192.0,191.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,318.0,285.0,13.0,345.0,341.0,nan,nan,345.0,314.0,311.0,359.0,nan,338.0,339.0,335.0,20.0,345.0,318.0,356.0,311.0,nan,356.0,29.0,329.0,314.0,319.0,nan,320.0,321.0,28.0,304.0,5.0,nan,37.0,345.0,305.0,2.0
FA_Mag,11399.974628173426,15899.706823768554,16899.880583470578,16799.754847950077,4979.959364063975,nan,nan,8499.83914796559,2459.8103694246015,9999.721642276396,7929.895919271887,nan,4299.91504919359,19299.688453655566,3109.94381534339,8179.847837216545,7639.81151761971,6569.941835672672,3539.920611685309,3889.92888089927,nan,6979.965846174333,5439.702286344827,23600.03399928202,11399.845861532309,919.9860016084414,nan,1629.8765777354713,2099.916393999926,1409.8162668995863,1499.9807308811403,5459.963170322948,nan,9410.032635305888,74199.1558004961,929.001694504929,8439.748377701562
FA_Tim_Wet,42.0,365.0,13.0,363.0,359.0,6.0,321.0,17.0,73.0,77.0,359.0,31.0,360.0,44.0,42.0,31.0,64.0,320.0,46.0,339.0,27.0,27.0,29.0,19.0,75.0,28.0,342.0,19.0,357.0,72.0,349.0,39.0,9.0,38.0,29.0,65.0,10.0
FA_Dur,4.0,7.0,4.0,2.0,9.0,nan,nan,3.0,5.0,5.0,8.0,nan,3.0,4.0,4.0,7.0,3.0,3.0,5.0,5.0,nan,2.0,3.0,8.0,5.0,3.0,nan,4.0,5.0,7.0,5.0,4.0,nan,2.0,6.0,7.0,6.0
Tim_2,77.0,365.0,113.5,56.5,nan,14.0,350.0,66.0,nan,nan,27.0,92.5,60.0,85.0,nan,40.0,106.0,27.0,137.0,38.5,nan,36.0,65.0,63.0,84.0,nan,346.0,nan,nan,nan,nan,101.5,44.0,nan,72.0,nan,72.5
Dur_2,1.0,1.0,2.5,3.0,nan,2.0,1.0,2.0,nan,nan,2.0,2.0,1.0,1.0,nan,3.0,2.0,1.0,5.0,1.5,nan,5.0,3.0,4.0,6.0,nan,2.0,nan,nan,nan,nan,1.5,2.0,nan,2.0,nan,5.0
Fre_2,11.0,3.0,8.0,8.0,0.0,5.0,6.0,7.0,0.0,0.0,5.0,4.0,8.0,6.0,0.0,1.0,1.0,4.0,3.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,7.0,0.0,2.0
Tim_5,70.5,39.5,101.5,87.5,nan,51.5,365.0,90.0,nan,nan,120.5,87.0,65.0,103.0,57.5,89.5,106.0,31.0,123.0,67.0,nan,36.0,65.0,90.0,16.0,nan,349.0,nan,359.5,nan,44.5,98.0,43.0,90.5,74.5,nan,26.0
Dur_5,4.5,2.0,3.5,2.0,nan,5.5,2.0,3.0,nan,nan,4.0,2.0,1.0,3.0,1.0,2.5,2.0,1.0,3.0,1.5,nan,6.0,4.0,5.0,6.0,nan,2.0,nan,1.5,nan,1.0,3.0,3.0,1.5,3.5,nan,2.0
Fre_5,10.0,4.0,14.0,10.0,0.0,8.0,7.0,10.0,0.0,0.0,10.0,5.0,13.0,5.0,2.0,4.0,1.0,8.0,7.0,4.0,0.0,1.0,2.0,7.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,10.0,0.0,5.0
Tim_10,65.0,65.5,69.5,65.0,125.5,90.5,24.0,104.5,nan,124.5,25.0,107.0,65.0,113.0,78.0,75.5,93.0,35.5,50.0,111.5,39.0,102.0,64.0,93.0,107.0,nan,22.0,nan,80.0,151.0,44.5,118.0,95.0,89.5,85.5,nan,60.5
Dur_10,17.0,1.0,4.5,2.0,1.0,5.0,3.0,5.0,nan,1.0,6.0,4.0,3.0,8.0,1.0,1.0,2.5,1.0,2.0,2.5,1.0,4.0,7.0,9.0,2.5,nan,4.0,nan,2.0,2.0,1.0,8.0,4.0,1.5,4.0,nan,2.0
Fre_10,6.0,12.0,12.0,14.0,4.0,10.0,9.0,14.0,0.0,6.0,7.0,9.0,15.0,7.0,5.0,8.0,2.0,14.0,7.0,6.0,1.0,5.0,2.0,8.0,4.0,0.0,2.0,0.0,5.0,1.0,2.0,5.0,9.0,6.0,10.0,0.0,10.0
Tim_20,2.5,33.0,65.0,4.0,110.5,89.0,32.5,41.5,133.5,97.0,82.0,64.5,24.5,98.0,88.5,75.0,100.0,18.0,49.0,94.0,38.0,77.5,64.0,46.0,35.0,nan,79.0,nan,104.0,150.0,1.0,60.0,95.0,90.5,32.0,nan,65.5
Dur_20,4.5,5.0,10.0,4.0,4.0,3.0,4.0,3.5,2.0,2.0,8.5,7.5,3.5,10.0,3.5,3.0,2.0,3.0,5.0,5.0,2.0,6.0,5.0,6.0,4.0,nan,2.5,nan,3.0,5.0,2.0,1.0,3.5,3.0,2.0,nan,5.0
Fre_20,4.0,9.0,6.0,7.0,8.0,7.0,10.0,6.0,6.0,8.0,10.0,6.0,6.0,7.0,6.0,8.0,5.0,19.0,7.0,7.0,1.0,6.0,6.0,9.0,5.0,0.0,6.0,0.0,12.0,1.0,3.0,5.0,8.0,10.0,7.0,0.0,10.0
Tim_50,316.0,301.0,365.5,325.0,350.5,339.0,313.0,337.0,35.5,362.0,346.0,6.0,347.0,360.0,126.0,343.0,18.5,292.0,5.0,340.0,62.0,349.0,365.0,345.5,313.0,97.0,356.5,23.0,338.0,44.0,363.0,348.0,1.0,31.5,344.0,37.0,2.0
Dur_50,6.0,131.0,101.5,121.5,102.0,2.0,1.0,3.0,3.5,3.5,2.0,1.0,4.5,27.0,2.5,2.0,3.0,1.0,12.5,7.0,7.0,4.5,1.5,114.5,231.0,8.0,95.0,2.0,99.5,3.0,10.0,4.0,91.5,75.0,31.0,3.0,164.0
Fre_50,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,10.0,6.0,3.0,7.0,6.0,4.0,4.0,7.0,4.0,3.0,4.0,3.0,5.0,8.0,4.0,2.0,1.0,6.0,2.0,7.0,2.0,3.0,5.0,5.0,2.0,2.0,3.0,5.0,1.0
