Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Avg,978.4105263157895,2650.7079889807164,1890.9157303370787,1511.3977272727273,834.3008356545961,1113.3259668508288,1328.488950276243,911.4596100278552,2224.7520661157023,2943.2849162011175,765.8028169014085,849.1033519553073,1236.4072022160665
Std,2978.5497194890236,2339.013817014885,1626.8413970331806,1436.956302632983,1032.2499960497482,1658.135446499767,1590.8725328019716,797.2479879047876,2201.486614980717,3537.4266334412055,573.1880604724084,1047.3158071627192,1383.7272231520822
CV,3.0442739927428724,0.8824109734978057,0.8603457948616126,0.9507466345248039,1.2372635288562792,1.4893530698740414,1.1975052803195458,0.8746937101035369,0.9895424521728368,1.20186347368876,0.7484799583156955,1.2334373722008871,1.1191517007276952
SP_Tim,nan,172.0,149.0,147.0,135.0,240.0,152.0,123.0,152.0,163.0,135.0,143.0,142.0
SP_Mag,nan,7311.0,7122.0,4700.0,3501.0,27512.0,6624.0,2835.0,9581.0,7894.0,1926.0,3711.0,4759.0
SP_Dur,nan,59.0,71.0,52.0,62.0,nan,44.0,77.0,78.0,71.0,60.0,65.0,74.0
SP_ROC,nan,0.09326836476217282,0.14836795252225518,0.1517348524080787,0.141156462585034,nan,0.09699525681379731,0.12679324894514768,0.09839816933638444,0.09936984973339796,0.10460251046025104,0.06595995288574794,0.07479419378893969
SU_BFL_Tim,nan,231.0,220.0,199.0,197.0,209.0,196.0,200.0,230.0,234.0,195.0,208.0,216.0
SU_BFL_Mag_10,nan,346.8,137.0,261.1,165.0,208.5,260.4,204.0,369.0,338.4,189.0,204.4,238.0
SU_BFL_Mag_50,nan,771.0,479.0,505.0,362.0,456.0,457.0,399.0,551.5,512.0,290.0,355.0,385.0
SU_BFL_Dur_Fl,nan,104.0,152.0,142.0,nan,97.0,106.0,143.0,128.0,42.0,198.0,99.0,92.0
SU_BFL_Dur_Wet,nan,159.0,166.0,238.0,223.0,236.0,215.0,219.0,130.0,175.0,199.0,193.0,186.0
SU_BFL_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,330.0,334.0,6.0,341.0,nan,305.0,301.0,343.0,356.0,275.0,27.0,307.0
FAFL_Mag,nan,1842.5390518844015,2081.9966657763152,1475.9032391468975,1909.9460470607553,nan,15505.860402253442,2072.5887775441033,1984.929799829356,5848.932597116838,1012.9652522084823,1937.9740431970781,1175.9130877254452
FAFL_Tim_Wet,nan,19.0,24.0,20.0,72.0,53.0,79.0,45.0,54.0,358.0,43.0,28.0,36.0
FAFL_Dur,nan,2.0,2.0,5.0,3.0,nan,2.0,4.0,2.0,2.0,0.0,8.0,3.0
Wet_BFL_Mag,nan,418.0,575.5000000000001,479.0,283.8,371.20000000000005,355.8,342.6,744.8,1706.3,363.4,646.5,356.9
WIN_Tim_2,nan,120.5,39.0,46.0,238.0,236.0,23.0,nan,137.0,124.0,nan,184.0,93.0
WIN_Dur_2,nan,1.5,1.0,1.0,1.0,1.0,1.5,nan,2.0,1.5,nan,1.0,2.0
WIN_Fre_2,nan,6.0,3.0,3.0,1.0,1.0,2.0,0.0,5.0,10.0,0.0,1.0,2.0
WIN_Tim_5,nan,113.0,103.0,58.0,238.0,236.0,106.0,nan,131.0,95.5,nan,184.0,92.5
WIN_Dur_5,nan,2.0,3.5,1.0,1.0,1.0,2.0,nan,1.5,3.0,nan,1.0,3.0
WIN_Fre_5,nan,11.0,4.0,5.0,1.0,1.0,3.0,0.0,8.0,12.0,0.0,1.0,2.0
WIN_Tim_10,nan,54.0,109.0,111.0,238.0,103.0,118.0,57.0,98.0,58.0,42.0,161.5,62.0
WIN_Dur_10,nan,2.0,3.0,2.0,1.0,1.0,1.5,1.0,2.0,2.0,1.0,1.0,3.0
WIN_Fre_10,nan,13.0,13.0,12.0,1.0,5.0,4.0,1.0,11.0,9.0,1.0,2.0,5.0
WIN_Tim_20,nan,64.0,72.0,89.0,128.5,102.0,94.5,96.0,48.0,23.5,41.0,132.0,110.0
WIN_Dur_20,nan,5.0,2.0,2.0,2.0,1.0,1.5,1.5,1.0,1.0,2.0,2.0,2.0
WIN_Fre_20,nan,9.0,19.0,20.0,6.0,13.0,8.0,10.0,11.0,10.0,3.0,6.0,7.0
WIN_Tim_50,nan,117.0,16.0,47.0,48.0,14.0,38.0,7.0,108.5,207.0,361.0,51.0,47.5
WIN_Dur_50,nan,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.5
WIN_Fre_50,nan,12.0,33.0,28.0,24.0,13.0,25.0,15.0,16.0,11.0,15.0,13.0,10.0
