Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,39.734098360655736,133.4737808219178,174.14131506849316,102.78347945205479,15.488879781420763,3.6729315068493156,129.48361643835617,48.60616438356164,138.5174863387978,47.224136986301374,229.7508767123288,286.17123287671234,130.67147540983606,48.60758904109589,163.94808219178083,24.40895890410959,41.75844262295082,55.409287671232875,22.607917808219177,36.82457534246576,43.798907103825144,141.598301369863,21.33104109589041,335.4598630136986,147.13792349726776,165.01589041095892,258.7854794520548,135.57397260273973,98.47021857923497,49.405945205479455,85.2224109589041,154.1713698630137,143.23918032786887,105.9258904109589,206.3063287671233,34.58200000000001,73.54169398907105,41.83786301369863,104.8110410958904,137.95673972602742,48.677622950819675,67.58630136986301,19.81745205479452,48.88238356164384,101.8232786885246
Std,66.55696695625902,314.72741308962736,387.5524523509071,222.97242322443904,36.340530829716116,7.707258091998644,265.98366994691276,99.19423213498702,363.49141017010567,127.41270291558533,407.92756432981247,489.24699218721156,277.55101516403823,102.66176224409939,613.8186991109343,60.569390216881715,91.2629440181132,162.8584039816116,43.871208745148195,120.65666156222048,132.02808234112328,334.2954575384076,48.981410714968675,762.6235341401186,302.773086153586,605.0892303898626,474.82477631239146,244.27932576009675,240.59927552016143,148.7912940338613,214.5964819642846,352.2444772734277,367.137668831849,174.80285202867216,462.8493578316299,98.81040347367343,220.61778935940288,134.57867388436543,227.79091398289506,249.445788066596,130.01836139804942,249.85549081779166,57.48724008344882,192.45506279994902,234.90718556302383
CV,1.6750591985789967,2.357971814026458,2.225505487876184,2.1693410693344797,2.3462336426232286,2.098394178499131,2.0541878367564808,2.040774732855366,2.624155402885724,2.6980419558020676,1.7755212522674235,1.70963023525844,2.1240367440065353,2.11205213567171,3.743982185731885,2.4814409518582137,2.18549683095591,2.9391896345594715,1.940524072906824,3.2765255387230585,3.014414995062576,2.3608719476458155,2.2962503562193843,2.273367452335055,2.0577501636361495,3.6668543185928097,1.8348200112223154,1.8018157989357337,2.443370990657048,3.0116070730969304,2.5180756980434076,2.2847593401187813,2.5631092553830963,1.650237268249457,2.243505376677465,2.857278453347794,2.999900837097778,3.216671794166481,2.173348452616665,1.8081449921328827,2.6710088438256427,3.6968362782639734,2.900839115164691,3.937104714978777,2.30700865841887
SP_Tim,108.0,23.0,93.0,88.0,107.0,89.0,47.0,90.0,57.0,90.0,105.0,65.0,363.0,96.0,52.0,75.0,20.0,82.0,155.0,87.0,79.0,59.0,52.0,79.0,69.0,6.0,42.0,52.0,62.0,68.0,6.0,4.0,60.0,92.0,106.0,60.0,59.0,66.0,106.0,89.0,95.0,362.0,96.0,45.0,77.0
SP_Mag,229.0,2890.0,2510.0,1520.0,103.0,14.0,780.0,359.0,1140.0,284.0,2020.0,2530.0,2600.0,238.0,8340.0,637.0,385.0,1840.0,160.0,383.0,750.0,1180.0,243.0,2010.0,1680.0,7300.0,3020.0,916.0,1720.0,1590.0,2870.0,2440.0,1550.0,559.0,2200.0,453.0,1810.0,1260.0,1270.0,1360.0,675.0,2100.0,262.0,439.0,1730.0
SP_Dur,74.0,110.0,54.0,72.0,65.0,116.0,116.0,82.0,36.0,47.0,47.0,99.0,147.0,80.0,60.0,92.0,70.0,62.0,52.0,79.0,64.0,75.0,112.0,87.0,59.0,55.0,150.0,113.0,34.0,79.0,117.0,165.0,42.0,106.0,52.0,41.0,50.0,107.0,75.0,40.0,72.0,53.0,66.0,35.0,59.0
SP_ROC,0.06904761904761908,0.06521739130434782,0.05303030303030303,0.058823529411764705,0.06066176470588235,0.059761904761904704,0.07142857142857142,0.07200460829493088,0.07936507936507936,0.04959016393442623,0.06666666666666667,0.09779703864210906,0.05825242718446602,0.0625,0.09302325581395349,0.06666666666666667,0.05548231157987256,0.07142857142857142,0.08333333333333333,0.0639036341363822,0.06997144022847818,0.05555555555555555,0.06666666666666667,0.09655284026541512,0.08860759493670886,0.06201550387596899,0.05555555555555555,0.06976744186046512,0.07017543859649122,0.05798319327731093,0.04960774138830526,0.06573044934297115,0.05334728033472798,0.06047587259202743,0.05447396713254482,0.05323193916349818,0.03296703296703299,0.06164383561643838,0.06700242701421136,0.04264099037138939,0.06148867313915853,0.05390419625089053,0.058823529411764705,0.0435685890649034,0.06243042671614103
SU_Tim,182.0,133.0,147.0,160.0,172.0,205.0,163.0,172.0,93.0,137.0,152.0,164.0,145.0,176.0,112.0,167.0,90.0,144.0,207.0,166.0,143.0,134.0,164.0,166.0,128.0,61.0,192.0,165.0,96.0,147.0,123.0,169.0,102.0,198.0,158.0,101.0,109.0,173.0,181.0,129.0,167.0,50.0,162.0,80.0,136.0
SU_Mag_10,0.08,0.45,0.7800000000000001,1.2,0.0,0.0,1.0,0.409,0.83,0.2,1.4,3.1,0.624,0.22,0.495,0.0,0.0,0.23000000000000004,0.06,0.0,0.0,0.7,0.0,0.9240000000000002,2.1,3.7,6.5,2.3,1.7,0.617,0.22200000000000003,1.07,0.324,3.3999999999999995,0.94,0.0,0.0,0.0,0.66,0.864,0.0,0.0,0.0,0.0,0.53
SU_Mag_50,1.9,1.7999999999999998,4.550000000000001,7.4,0.5700000000000001,0.5,3.3,1.7999999999999998,8.0,0.975,5.2,6.15,2.1,1.7,3.8,0.48,8.5,4.4,1.4,1.7,0.7,3.7,0.37,2.6,5.3,20.0,14.0,6.65,6.9,2.175,1.22,3.1,5.4,4.9,3.18,2.0,3.57,1.73,9.875,7.154999999999999,0.4,1.83,0.04,1.2349999999999999,1.54
