Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,170.60698412698412,33.36657534246575,37.151366120218576,19.105205479452053,42.970520547945206,50.87906849315068,71.70139344262294,57.52454794520548,93.38523287671234,9.26276712328767,38.870710382513664,12.767068493150683,40.94032876712329,64.98027397260273,12.966775956284154,30.36950684931507,3.595561643835617,26.78616438356164
Std,362.55093209633367,95.0428677934789,99.05765548485172,72.05612576716997,130.85796741150878,155.3585653853187,251.25125726781826,123.76912955065634,224.79507695521698,30.423059860032787,158.4593087862793,56.17581466542408,144.1540170462719,156.6878565512014,38.18826586420012,142.73074517561707,12.461836075923415,108.37129725680902
CV,2.125065008044947,2.8484453923719744,2.66632605552942,3.771544139876824,3.0452963041371914,3.053486826438912,3.5041335349901552,2.151588043222027,2.407180129346495,3.2844461547074513,4.076573523533124,4.4000558699564785,3.52107619521691,2.411314187706639,2.945085655289104,4.699804507323968,3.4658941523888247,4.045793780139542
SP_Tim,54.0,88.0,58.0,68.0,6.0,4.0,60.0,86.0,106.0,49.0,38.0,67.0,29.0,87.0,96.0,362.0,97.0,44.0
SP_Mag,1960.0,612.0,676.0,944.0,1630.0,986.0,1530.0,1000.0,1570.0,43.3,779.0,779.0,1390.0,1240.0,170.0,1390.0,47.3,414.0
SP_Dur,130.0,62.0,70.0,64.0,58.0,160.0,69.0,96.0,72.0,56.0,58.0,45.0,132.0,38.0,69.0,51.0,65.0,34.0
SP_ROC,0.06896551724137931,0.0625,0.06287030941408822,0.0652173913043478,0.054204235688823696,0.05652173913043481,0.05227272727272721,0.0519655704008222,0.05091649694501018,0.05172413793103434,0.05379575267110974,0.04830917874396135,0.0784901697683916,0.04748396227214558,0.055970149253731345,0.041811846689895446,0.07536986714975846,0.04188481675392674
SU_BFL_Tim,184.0,150.0,128.0,132.0,64.0,164.0,129.0,182.0,178.0,105.0,96.0,112.0,161.0,125.0,165.0,48.0,162.0,78.0
SU_BFL_Mag_10,5.1,2.29,1.6,1.3,0.82,2.146,1.71,1.9260000000000002,2.29,0.62,0.915,0.37,1.726,2.21,1.44,0.74,0.0,0.04
SU_BFL_Mag_50,7.050000000000001,3.7,3.0,1.87,2.1,2.745,3.83,3.22,3.52,1.36,2.17,1.53,4.425,3.84,1.69,1.88,0.08,0.83
SU_BFL_Dur_Fl,151.0,240.0,250.0,198.0,nan,nan,214.0,173.0,184.0,265.0,nan,nan,194.0,264.0,nan,359.0,176.0,260.0
SU_BFL_Dur_Wet,214.0,250.0,284.0,205.0,281.0,190.0,226.0,237.0,221.0,269.0,316.0,270.0,254.0,315.0,166.0,364.0,177.0,261.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,7.0
FAFL_Tim,12.0,334.0,24.0,13.0,328.0,nan,nan,343.0,353.0,361.0,4.0,nan,nan,354.0,23.0,nan,40.0,337.0
