Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965
Avg,35.72185792349727,23.095616438356164,17.194520547945206,5.783013698630137,48.30928961748634,7.8863013698630136,45.28958904109588,7.753972602739728,9.607923497267759,6.138904109589042,16.916986301369864,28.166849315068493,5.417486338797815,23.983013698630135,13.198356164383561
Std,70.92641505696078,57.07680317113462,46.39488661719286,10.95904138955112,150.94327987306895,25.48685997775353,113.46099300071292,36.40509398120092,44.040017415295175,13.075731736421476,60.66916922974311,91.74168842016573,20.46410879742297,77.04628665164877,49.28502673542445
CV,1.9855186482421596,2.4713262503071376,2.6982367137150085,1.8950398461181346,3.124518722345951,3.231788741316671,2.5052334411283383,4.69502484034285,4.5837185764248645,2.129978169230079,3.586287069631923,3.2570802433017043,3.7774177021670394,3.2125356562694836,3.7341791751629354
SP_Tim,80.0,18.0,99.0,120.0,57.0,69.0,96.0,53.0,43.0,91.0,53.0,100.0,27.0,10.0,9.0
SP_Mag,177.0,184.0,97.0,23.0,942.0,76.0,1090.0,254.0,762.0,35.0,153.0,190.0,78.0,856.0,744.0
SP_Dur,52.0,156.0,61.0,49.0,41.0,116.0,35.0,48.0,93.0,76.0,61.0,56.0,32.0,134.0,99.0
SP_ROC,0.08104477611940299,0.08333333333333333,0.09523809523809532,0.09756097560975598,0.07246376811594203,0.09090909090909091,0.0971675845790716,0.08333333333333333,0.09090909090909091,0.09090909090909098,0.08333333333333333,0.08,0.05660377358490563,0.08139534883720922,0.08333333333333333
SU_BFL_Tim,132.0,174.0,160.0,169.0,98.0,185.0,131.0,101.0,136.0,167.0,114.0,156.0,59.0,144.0,108.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
SU_BFL_Mag_50,0.2,0.4,0.1,0.1,0.7,1.4,0.2,0.15000000000000002,0.0,0.0,1.7,1.6,0.4,0.3,0.2
SU_BFL_Dur_Fl,204.0,nan,154.0,nan,nan,208.0,240.0,nan,200.0,170.0,173.0,163.0,nan,nan,nan
SU_BFL_Dur_Wet,208.0,204.0,165.0,181.0,316.0,210.0,245.0,294.0,253.0,235.0,276.0,223.0,295.0,218.0,253.0
SU_BFL_No_Flow,84.0,43.0,70.0,80.0,74.0,59.0,53.0,105.0,129.0,147.0,96.0,2.0,121.0,12.0,73.0
FAFL_Tim,335.0,336.0,nan,313.0,nan,nan,26.0,5.0,nan,336.0,335.0,286.0,318.0,nan,nan
FAFL_Mag,315.6975744557068,86.92826796396008,nan,11.995494238865266,nan,nan,247.95751905482908,62.940272993143275,nan,65.93512671633012,131.92147701039758,446.9900924829933,28.94962363523714,nan,nan
FAFL_Tim_Wet,341.0,340.0,11.0,324.0,349.0,49.0,28.0,10.0,29.0,24.0,35.0,24.0,13.0,354.0,360.0
FAFL_Dur,2.0,4.0,nan,5.0,nan,nan,4.0,1.0,nan,2.0,4.0,2.0,2.0,nan,nan
Wet_BFL_Mag,15.0,6.42,13.0,2.2,25.400000000000002,1.99,24.0,3.7,7.800000000000001,1.1,1.9,3.3600000000000003,2.5,77.0,21.8
WIN_Tim_2,21.5,39.5,44.0,nan,14.0,56.0,43.0,47.0,39.0,nan,44.0,30.0,20.0,363.0,4.0
WIN_Dur_2,1.5,1.5,2.0,nan,4.0,1.0,2.0,3.0,2.0,nan,1.0,2.0,2.0,4.0,3.0
WIN_Fre_2,6.0,4.0,3.0,0.0,5.0,1.0,9.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0
WIN_Tim_5,11.0,39.5,78.0,nan,16.0,55.0,39.0,28.0,35.0,32.0,40.0,63.5,20.0,24.0,4.0
WIN_Dur_5,5.0,2.0,2.0,nan,8.0,3.0,7.5,3.0,2.5,1.0,1.0,3.0,3.0,2.0,1.0
WIN_Fre_5,7.0,6.0,5.0,0.0,6.0,1.0,6.0,2.0,2.0,1.0,5.0,8.0,1.0,5.0,3.0
WIN_Tim_10,6.0,34.0,68.0,64.5,18.5,75.0,355.0,28.0,54.0,53.0,39.5,30.0,356.0,24.0,27.0
WIN_Dur_10,10.0,3.0,4.0,1.0,35.0,2.0,1.0,1.5,4.0,1.0,7.5,6.0,3.5,6.0,6.0
WIN_Fre_10,5.0,6.0,7.0,4.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,2.0,5.0,4.0
WIN_Tim_20,334.0,34.0,16.0,29.0,52.0,81.5,349.0,151.0,77.5,41.0,19.0,29.5,323.0,355.0,328.0
WIN_Dur_20,5.0,9.5,21.0,6.0,1.0,2.5,2.0,6.5,3.0,13.0,5.0,10.0,2.0,26.0,3.0
WIN_Fre_20,5.0,6.0,3.0,6.0,4.0,6.0,7.0,4.0,6.0,5.0,3.0,6.0,5.0,3.0,5.0
WIN_Tim_50,65.5,328.0,353.5,312.0,69.5,13.0,317.5,5.0,76.5,343.5,12.0,284.0,307.0,334.0,317.0
WIN_Dur_50,2.5,25.0,3.5,201.0,94.5,22.0,4.0,1.0,6.5,4.5,41.0,270.0,2.0,6.0,187.0
WIN_Fre_50,4.0,3.0,8.0,1.0,2.0,3.0,8.0,3.0,4.0,6.0,3.0,1.0,5.0,4.0,1.0
