Year,2003,2004,2005,2006,2007,2008,2009,2010,2011
Avg,7.553579234972677,8.007616438356164,17.91268493150685,3.4189041095890413,5.785382513661202,4.157013698630138,7.072383561643836,10.945643835616439,5.689043715846995
Std,16.111932449080147,13.547429784674607,35.29316074724491,6.731515118108669,16.340459265476255,8.814936272768115,12.780524827509202,21.97341157777503,15.01593823236127
CV,2.133019585534066,1.6918180196272834,1.9702887022351028,1.9689101835961729,2.824438872778252,2.1204972876738184,1.8071028976458146,2.007502884962776,2.6394485580298745
SP_Tim,61.0,145.0,107.0,62.0,38.0,81.0,122.0,89.0,92.0
SP_Mag,75.3,45.7,54.8,43.6,160.0,33.0,46.7,155.0,120.0
SP_Dur,38.0,64.0,29.0,114.0,72.0,97.0,68.0,37.0,64.0
SP_ROC,0.09203725526680308,0.08627450980392147,0.09915024815761764,0.055555555555555455,0.0836820083682009,0.06666666666666672,0.07403675826600026,0.07311086254039276,0.07516948172461077
SU_BFL_Tim,99.0,209.0,136.0,176.0,110.0,178.0,190.0,126.0,156.0
SU_BFL_Mag_10,0.03,0.123,0.02,0.0,0.0,0.01,0.05,0.15,0.04
SU_BFL_Mag_50,0.35,0.305,0.49,0.25,0.21,0.165,2.27,0.86,0.49
SU_BFL_Dur_Fl,244.0,128.0,209.0,179.0,247.0,174.0,108.0,261.0,231.0
SU_BFL_Dur_Wet,253.0,144.0,268.0,187.0,301.0,200.0,229.0,311.0,281.0
SU_BFL_No_Flow,0.0,0.0,11.0,37.0,43.0,8.0,2.0,0.0,0.0
FAFL_Tim,340.0,343.0,335.0,344.0,354.0,357.0,350.0,297.0,21.0
FAFL_Mag,18.756088561517373,82.92774610526419,57.122204520775114,5.444469509735748,33.06328887271159,7.157326552670392,11.7471270159034,39.16736086097342,57.413535594011805
FAFL_Tim_Wet,344.0,352.0,351.0,38.0,362.0,46.0,11.0,53.0,71.0
FAFL_Dur,2.0,3.0,4.0,3.0,4.0,2.0,2.0,7.0,3.0
Wet_BFL_Mag,7.305,2.402,6.9719999999999995,1.524,3.176,0.6880000000000001,2.148,2.8220000000000005,1.96
WIN_Tim_2,1.0,111.0,13.5,nan,31.0,126.0,22.5,65.0,82.0
WIN_Dur_2,2.0,1.0,2.5,nan,1.0,1.0,2.0,3.5,3.5
WIN_Fre_2,5.0,4.0,6.0,0.0,3.0,1.0,2.0,4.0,2.0
WIN_Tim_5,24.0,88.0,59.0,56.0,31.5,62.0,71.0,35.5,55.0
WIN_Dur_5,2.5,3.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0
WIN_Fre_5,6.0,5.0,11.0,1.0,4.0,3.0,4.0,4.0,4.0
WIN_Tim_10,22.5,52.5,47.0,41.0,29.5,62.0,72.0,360.0,89.0
WIN_Dur_10,6.5,4.0,19.5,2.0,6.0,3.0,4.0,2.0,5.5
WIN_Fre_10,6.0,8.0,6.0,3.0,4.0,5.0,7.0,11.0,4.0
WIN_Tim_20,358.0,66.0,14.0,28.5,12.5,44.0,53.5,331.0,61.0
WIN_Dur_20,9.0,5.0,31.0,3.5,6.5,8.0,8.0,4.0,8.0
WIN_Fre_20,7.0,12.0,4.0,6.0,6.0,7.0,8.0,7.0,5.0
WIN_Tim_50,333.0,330.5,340.5,335.0,323.0,15.0,350.5,55.5,324.0
WIN_Dur_50,4.0,5.5,9.0,3.0,3.0,17.5,16.0,124.5,2.0
WIN_Fre_50,3.0,4.0,4.0,6.0,5.0,6.0,4.0,2.0,5.0
