Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,19.470191256830603,34.86991780821918,31.599479452054794,38.07457534246576,21.24256830601093,27.11441095890411,54.42550684931507,28.336575342465753,12.689234972677596,2.1235068493150684,34.80750684931506,15.285671232876714,25.782103825136613,13.208767123287673,37.52117808219178,48.42304109589041,27.326065573770492,16.200657534246574,28.41421917808219,14.602164383561647,16.008060109289616,19.36690410958904,13.272602739726027,8.886821917808218,9.80827868852459,30.361616438356165,9.201260273972602,41.102958904109585,37.50887978142077,38.965315068493155,41.37821917808219,29.80005479452055,22.403934426229505,9.542136986301369,24.565534246575343,40.69539726027397,24.824316939890707,25.32572602739726,45.90517808219178,14.206767123287673,17.8281693989071,14.699342465753425,25.05383561643836,27.898794520547945,17.459945355191255,16.21013698630137,8.875753424657535,14.426164383561645
Std,34.949772628645555,67.24052689601352,88.12149710828649,74.87426155528883,45.19682062376402,51.65373429719106,120.2720106752456,62.64934663248453,24.89771479768723,2.2974768239967953,66.48630868701687,27.491470884599128,38.95445081019172,24.65901716454066,64.18113707427105,66.90976866502028,40.43524444421549,27.83431753149987,72.93772752642548,23.78263884975571,40.31707362914929,31.792274593682667,20.84111229562608,16.717421731590324,17.00990508735433,52.3888094645522,15.153651706949885,88.57063240372382,64.53102552495572,137.6988862927751,70.46363913283483,53.068513137003755,46.07958007426757,23.494975186088904,43.874861776961275,86.92451884293098,54.36926885264947,32.66470856396509,95.31688833546019,24.617377634575593,39.80197995574508,27.308965552866493,38.99302917786881,43.4695203773229,40.169216008669025,45.96630266324647,22.62023272519406,33.08799091961109
CV,1.7950400264498865,1.9283247888862036,2.7887009101523756,1.96651599871632,2.1276533031542537,1.9050288193787397,2.2098464054406723,2.2109004308151867,1.9621131495552628,1.081925789284758,1.9101140732326016,1.7985125066323515,1.5109104778413216,1.8668674323938728,1.7105309682355778,1.3817754348084266,1.4797316626154966,1.7180980137788173,2.566944636743257,1.6287064181066857,2.51854836587932,1.6415775290559482,1.5702355223250117,1.881147375991685,1.7342395773537145,1.725494740074802,1.646910450931888,2.1548480879528187,1.7204199619131202,3.5338835590249498,1.702916184710023,1.780819314022257,2.056762852346135,2.4622341116898805,1.7860332829145706,2.1359791203656573,2.190161726677054,1.2897836977557349,2.0763864190832306,1.7327923672531305,2.2325331931266605,1.8578358601067366,1.5563696423506765,1.5581146470435074,2.300649583460796,2.8356517099202194,2.5485422637309063,2.293609724655173
SP_Tim,56.0,47.0,27.0,89.0,64.0,41.0,93.0,88.0,64.0,89.0,20.0,64.0,79.0,38.0,105.0,93.0,363.0,337.0,52.0,76.0,20.0,89.0,155.0,87.0,80.0,85.0,57.0,83.0,69.0,6.0,56.0,60.0,62.0,69.0,6.0,1.0,61.0,146.0,4.0,61.0,38.0,67.0,122.0,89.0,92.0,362.0,93.0,44.0
SP_Mag,163.0,268.0,896.0,404.0,248.0,236.0,838.0,341.0,165.0,9.3,553.0,122.0,103.0,73.0,258.0,249.0,177.0,161.0,970.0,149.0,120.0,171.0,113.0,71.0,88.0,68.0,80.0,209.0,212.0,1620.0,343.0,196.0,286.0,125.0,262.0,647.0,193.0,79.9,900.0,141.0,357.0,111.0,134.0,270.0,312.0,334.0,117.0,232.0
SP_Dur,73.0,61.0,35.0,59.0,76.0,89.0,43.0,71.0,98.0,114.0,140.0,106.0,70.0,95.0,46.0,73.0,178.0,183.0,57.0,81.0,48.0,57.0,59.0,89.0,105.0,118.0,138.0,76.0,108.0,175.0,149.0,88.0,36.0,37.0,118.0,161.0,37.0,77.0,135.0,39.0,68.0,114.0,70.0,49.0,65.0,163.0,68.0,38.0
SP_ROC,0.07692307692307693,0.07846153846153847,0.10208333333333333,0.06666666666666667,0.07407407407407407,0.07142857142857142,0.06451612903225806,0.05555555555555555,0.0625,0.07019704433497528,0.08514492753623187,0.07092555331991951,0.06980519480519488,0.08759590792838876,0.07417582417582418,0.08108108108108109,0.07142857142857142,0.05555555555555555,0.11396103896103896,0.05128205128205122,0.05952380952380952,0.05263157894736842,0.03846153846153849,0.04878048780487805,0.05277777777777784,0.06666666666666667,0.040000000000000036,0.07435046987285793,0.09090909090909091,0.058823529411764705,0.06521739130434782,0.06066176470588235,0.08450704225352113,0.06818181818181818,0.06960672556283837,0.06889571408627668,0.061100746268656726,0.04444444444444439,0.09251478369125435,0.06164383561643838,0.05982905982905977,0.051164585850449765,0.04422604422604426,0.046052631578947324,0.043106651802304025,0.045938201124019806,0.04237288135593224,0.042574546871954805
SU_Tim,129.0,108.0,62.0,148.0,140.0,130.0,136.0,159.0,162.0,203.0,160.0,170.0,149.0,133.0,151.0,166.0,176.0,155.0,109.0,157.0,68.0,146.0,214.0,176.0,185.0,203.0,195.0,159.0,177.0,181.0,205.0,148.0,98.0,106.0,124.0,162.0,98.0,223.0,139.0,100.0,106.0,181.0,192.0,138.0,157.0,160.0,161.0,82.0
SU_Mag_10,0.9200000000000002,0.98,0.552,1.3,0.92,0.92,0.74,1.0,0.96,0.39,0.87,0.79,0.76,0.42,0.844,1.5,0.54,0.66,0.8680000000000001,0.46,0.65,1.4,1.5,0.84,0.74,1.2,0.74,0.83,0.825,1.1,0.89,0.72,0.84,0.57,0.4640000000000001,0.9150000000000001,0.665,1.013,0.58,0.4600000000000001,0.665,0.58,0.86,1.12,0.552,0.57,0.46,0.54
SU_Mag_50,2.0,2.25,3.2,2.1,2.9,2.4,2.2,3.8,1.35,1.1,1.4,1.5,1.85,1.5,1.5,2.4,1.6,1.6,2.8,0.97,3.8,3.1,1.8,1.9,1.2,1.8,1.2,1.7,1.2,1.9,2.1,2.05,2.7,1.3,1.28,1.865,2.075,1.585,1.5,1.98,1.9049999999999998,1.275,8.120000000000001,2.3600000000000003,1.31,0.83,0.945,1.25
SU_Dur_Fl,216.0,240.0,252.0,nan,nan,nan,236.0,161.0,157.0,125.0,217.0,129.0,189.0,188.0,172.0,149.0,131.0,229.0,232.0,nan,259.0,152.0,185.0,196.0,160.0,141.0,nan,188.0,163.0,170.0,123.0,nan,279.0,222.0,nan,179.0,245.0,114.0,211.0,193.0,251.0,171.0,106.0,249.0,nan,248.0,166.0,245.0
SU_Dur_Wet,218.0,248.0,264.0,203.0,211.0,182.0,236.0,255.0,252.0,144.0,221.0,139.0,236.0,189.0,178.0,153.0,135.0,232.0,254.0,178.0,357.0,361.0,205.0,226.0,162.0,183.0,172.0,192.0,166.0,189.0,181.0,228.0,306.0,223.0,223.0,180.0,246.0,124.0,211.0,257.0,306.0,194.0,222.0,294.0,175.0,251.0,174.0,253.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,339.0,345.0,346.0,313.0,nan,nan,nan,6.0,319.0,319.0,326.0,11.0,298.0,338.0,319.0,322.0,314.0,307.0,17.0,340.0,nan,327.0,296.0,33.0,6.0,345.0,342.0,nan,346.0,340.0,349.0,327.0,nan,12.0,326.0,nan,340.0,343.0,335.0,349.0,292.0,357.0,350.0,297.0,21.0,nan,41.0,326.0
FA_Mag,80.97705722525411,234.92741234062575,104.93776747837806,75.94568992998721,nan,nan,nan,110.96832987884791,40.98185816818131,3.931651592592662,72.0065059345317,170.69822459429815,81.88326920761334,127.71870905615602,218.95107775144442,149.96226143291926,77.89837096294566,57.78674028602538,178.9792129990916,18.000985301199883,nan,204.90164844967913,27.93450229332366,32.826677306835975,45.95940533997659,204.98710943067195,102.56382148250354,nan,247.85519136835438,248.92332029991374,49.9949974338421,171.95493487691078,nan,25.968777009776474,83.16422022935465,nan,103.89791087035935,291.8243336561587,326.9250633225737,67.55834864697158,40.05069274512272,25.612004284621957,37.95771940505971,81.91921023999106,217.99880813407202,nan,50.572641426150824,64.89461413449001
FA_Tim_Wet,340.0,347.0,354.0,325.0,350.0,351.0,310.0,6.0,48.0,49.0,345.0,15.0,308.0,20.0,320.0,328.0,318.0,311.0,20.0,362.0,334.0,60.0,140.0,53.0,36.0,347.0,19.0,1.0,350.0,343.0,3.0,20.0,10.0,39.0,327.0,346.0,341.0,344.0,345.0,349.0,356.0,47.0,8.0,48.0,66.0,332.0,44.0,334.0
FA_Dur,4.0,4.0,3.0,2.0,nan,nan,nan,3.0,6.0,5.0,2.0,4.0,4.0,5.0,6.0,3.0,2.0,7.0,5.0,3.0,nan,2.0,9.0,2.0,3.0,5.0,3.0,nan,3.0,2.0,2.0,3.0,nan,4.0,4.0,nan,2.0,3.0,4.0,7.0,4.0,2.0,2.0,7.0,5.0,nan,6.0,4.0
Tim_2,15.0,27.0,355.0,15.0,39.5,24.5,14.0,77.0,57.0,nan,6.0,nan,12.0,29.0,46.0,49.0,342.0,40.0,46.0,nan,340.0,327.0,nan,nan,nan,1.0,nan,54.5,16.0,2.0,39.5,38.0,45.0,52.0,2.0,361.0,1.0,343.0,361.0,nan,31.0,55.0,22.5,79.0,88.0,346.5,88.0,38.0
Dur_2,2.0,2.5,3.0,3.0,3.5,3.0,4.0,2.0,1.0,nan,2.0,nan,3.0,1.0,2.0,2.0,1.5,1.0,1.0,nan,2.0,1.0,nan,nan,nan,1.0,nan,5.0,1.0,4.0,3.5,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,nan,2.0,2.0,2.0,1.0,1.0,2.5,1.0,1.0
Fre_2,1.0,6.0,3.0,5.0,2.0,4.0,6.0,3.0,1.0,0.0,7.0,0.0,1.0,1.0,5.0,9.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,4.0,6.0,5.0,3.0,1.0,3.0,5.0,5.0,1.0,5.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0
Tim_5,32.5,20.0,365.5,34.5,38.0,14.0,24.0,52.5,57.0,nan,14.0,49.5,30.5,1.0,363.0,38.0,358.0,332.0,45.0,57.5,360.5,77.0,147.0,63.0,51.0,21.0,nan,68.0,49.0,361.0,53.5,35.0,35.5,57.0,351.0,64.0,27.5,89.0,52.5,42.0,31.5,63.0,68.0,36.0,76.0,337.0,75.0,351.0
Dur_5,3.0,3.0,12.0,5.5,7.5,2.5,4.5,1.5,5.0,nan,5.0,1.5,5.0,2.0,3.0,7.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,nan,8.0,2.0,10.0,11.5,3.0,3.5,1.0,3.0,4.0,3.5,2.0,3.5,1.0,3.0,1.0,6.0,3.0,2.0,5.0,3.0,5.0
Fre_5,4.0,9.0,2.0,6.0,2.0,4.0,8.0,6.0,1.0,0.0,7.0,6.0,2.0,2.0,9.0,9.0,7.0,3.0,5.0,2.0,4.0,4.0,3.0,1.0,1.0,7.0,0.0,5.0,11.0,3.0,4.0,6.0,4.0,3.0,7.0,6.0,4.0,5.0,10.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0
