Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,130.97712328767122,364.66487671232875,414.13824657534246,259.3773770491803,145.2881369863014,298.8824931506849,129.01468493150685,135.0203551912568,228.99983561643836,126.4013698630137,69.52087671232877,79.87904371584699,330.1598630136986,61.351561643835616,418.99747945205485,314.52551912568305,325.01871232876715,400.05342465753426,298.7224383561644,203.84592896174863,51.37997260273972,205.58430136986303,351.1468493150685,238.1818306010929,197.8407123287671,481.1435890410959,133.7434794520548,139.45103825136613,118.16575342465754,192.9199726027397,300.3697260273973,132.65469945355193,160.75926027397261,75.86923287671232,115.24964383561642
Std,278.0014380670376,685.3043977733183,665.8924102130849,447.4196135958711,298.52543963155654,925.3228191046095,303.3892235147793,372.3849976055388,494.3127680458231,309.65188872329566,199.56889763797577,186.23605601204505,652.2669255414717,119.61568762980176,925.5519028775329,599.5206267233906,1025.7192286114525,788.2503130045895,575.110572308169,465.55646377057565,112.27338153041094,419.13255329375136,714.9714827256365,553.8716537813574,321.9244164673577,1024.1157513307912,257.9526566261649,285.4372977015103,287.4642549038855,290.04615843377593,464.48466626996947,334.99763343800305,418.87991326805445,240.4631130450197,317.9496690627833
CV,2.122519040645365,1.8792717410893696,1.6078988495257025,1.7249754727492532,2.0547131088872264,3.0959418510942953,2.3515867490266467,2.757991541927542,2.1585725889942067,2.4497510514235565,2.8706326369239297,2.3314757832422344,1.9756093899106342,1.949676331373715,2.2089677104691083,1.9061112382548036,3.155877460907247,1.9703626176413094,1.9252339244180554,2.2838644173165537,2.1851584546081333,2.0387381259218693,2.0361039380539174,2.3254152190516244,1.6271899381983177,2.1285033712531054,1.9287120215728903,2.0468639120993712,2.432720535118262,1.5034532429207743,1.5463764355120226,2.525335587943494,2.605634739511627,3.1694417345140793,2.7587909036515827
SP_Tim,90.0,108.0,76.0,363.0,337.0,52.0,76.0,19.0,82.0,155.0,76.0,113.0,82.0,62.0,83.0,55.0,6.0,38.0,63.0,62.0,69.0,10.0,1.0,61.0,143.0,1.0,70.0,60.0,67.0,122.0,95.0,94.0,361.0,92.0,44.0
SP_Mag,906.0,2610.0,2910.0,2200.0,2060.0,9660.0,2320.0,1300.0,2160.0,1850.0,446.0,645.0,2640.0,652.0,2300.0,2970.0,10300.0,3040.0,3260.0,3030.0,1210.0,3370.0,5500.0,2110.0,1890.0,9100.0,970.0,1250.0,1870.0,1020.0,1480.0,2590.0,2060.0,2730.0,2270.0
SP_Dur,39.0,52.0,100.0,158.0,167.0,50.0,62.0,179.0,53.0,48.0,86.0,46.0,105.0,33.0,73.0,121.0,164.0,93.0,86.0,36.0,88.0,117.0,166.0,41.0,67.0,150.0,31.0,82.0,108.0,76.0,48.0,60.0,141.0,56.0,31.0
SP_ROC,0.07575757575757576,0.06060606060606061,0.07407407407407407,0.0851063829787234,0.07142857142857142,0.09054415700267618,0.067816091954023,0.06451612903225806,0.09090909090909091,0.07894736842105263,0.07547169811320754,0.07692307692307693,0.09523809523809523,0.0608294930875576,0.08469539375928678,0.09332288674153391,0.0625,0.10763560694319273,0.06709539121114684,0.07303370786516854,0.07692307692307693,0.0796500278862242,0.09908828527499797,0.08430082559339525,0.08904109589041095,0.0918926296633303,0.07751937984496124,0.0479656566595409,0.07490174121160229,0.07370016909358545,0.07142857142857142,0.07293506493506496,0.07560582372483876,0.06935622990668866,0.07346205447193374
SU_Tim,129.0,160.0,176.0,156.0,139.0,102.0,138.0,198.0,135.0,203.0,162.0,159.0,187.0,95.0,156.0,176.0,170.0,131.0,149.0,98.0,157.0,127.0,167.0,102.0,210.0,151.0,101.0,142.0,175.0,198.0,143.0,154.0,137.0,148.0,75.0
SU_Mag_10,0.38,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.4600000000000001,0.0,0.0,0.0,0.0,0.03200000000000003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.552,0.0,0.0,0.0,0.0
SU_Mag_50,2.1,2.4,3.1,0.0,5.1,7.85,0.805,2.3,17.0,2.3,4.3,2.9,0.0,4.5,0.39,0.04,3.3,19.0,2.8,4.9,0.0,1.0150000000000001,0.175,4.63,1.36,0.395,5.335,3.83,0.91,41.5,8.525,0.29,1.89,0.0,2.4450000000000003
SU_Dur_Fl,nan,163.0,139.0,151.0,199.0,nan,nan,129.0,164.0,196.0,209.0,186.0,157.0,nan,191.0,164.0,183.0,197.0,228.0,251.0,171.0,nan,174.0,241.0,127.0,nan,238.0,218.0,177.0,105.0,244.0,nan,270.0,179.0,252.0
SU_Dur_Wet,191.0,173.0,143.0,154.0,250.0,260.0,196.0,179.0,372.0,201.0,240.0,187.0,167.0,271.0,191.0,165.0,203.0,253.0,228.0,289.0,176.0,220.0,176.0,241.0,139.0,192.0,256.0,272.0,197.0,215.0,294.0,177.0,271.0,185.0,258.0
SU_No_Flow,5.0,20.0,0.0,89.0,93.0,58.0,49.0,46.0,60.0,0.0,93.0,0.0,91.0,104.0,81.0,81.0,19.0,20.0,39.0,75.0,102.0,78.0,81.0,81.0,34.0,91.0,72.0,78.0,69.0,25.0,0.0,80.0,62.0,93.0,106.0
FA_Tim,338.0,nan,322.0,314.0,307.0,336.0,nan,nan,327.0,297.0,33.0,5.0,345.0,342.0,nan,346.0,340.0,351.0,327.0,11.0,349.0,326.0,nan,340.0,343.0,335.0,nan,338.0,360.0,350.0,302.0,21.0,nan,40.0,326.0
FA_Mag,1739.987208687172,nan,1429.9162437948514,1159.9551584711933,729.8834777351478,1469.916044645285,nan,nan,4269.762212255706,442.00322102351043,467.8921475805672,320.9579852567918,2399.9652035877884,322.8527929337106,nan,4349.664436969093,2729.9343360162766,599.9842049650761,2899.7065915238813,1679.7989177729128,205.93072025321547,592.9320863936236,nan,1279.914686334109,2819.820922015969,3419.9479898462746,nan,418.9767046042331,446.9795261305469,399.9203350586016,522.9907089685225,1429.9052152967802,nan,731.0297450901984,737.9165794667621
FA_Tim_Wet,17.0,318.0,332.0,318.0,310.0,22.0,361.0,333.0,12.0,140.0,38.0,36.0,346.0,352.0,365.0,346.0,341.0,6.0,18.0,11.0,22.0,331.0,346.0,342.0,343.0,347.0,342.0,356.0,49.0,5.0,47.0,71.0,331.0,41.0,332.0
FA_Dur,5.0,nan,4.0,2.0,6.0,5.0,nan,nan,2.0,2.0,2.0,2.0,5.0,3.0,nan,3.0,2.0,4.0,3.0,3.0,4.0,4.0,nan,2.0,3.0,4.0,nan,2.0,2.0,2.0,2.0,4.0,nan,4.0,4.0
Tim_2,37.0,44.0,44.5,353.5,333.0,50.0,71.0,340.0,71.5,79.0,63.0,nan,46.0,nan,68.0,18.0,2.5,42.0,46.0,45.0,nan,26.5,35.0,27.5,58.5,25.0,nan,4.0,63.0,25.0,65.0,88.0,340.0,88.0,38.0
