Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
Avg,197.45945205479453,99.63095890410959,108.40546448087431,148.4813698630137,96.73917808219178,172.1186301369863,137.6688524590164,nan,nan,nan,nan,nan,nan,nan,nan,96.04065934065935,217.98712328767124
Std,422.8461293373633,235.48529093560327,280.1716594660382,272.4314247423828,198.27801645049718,349.0778331912823,397.3282297352968,nan,nan,nan,nan,nan,nan,nan,nan,155.91247701731623,485.190206774987
CV,2.1414327090304317,2.3635754741881736,2.58447912019664,1.8347852326101464,2.0496144414420776,2.0281234687578977,2.8861156509863424,nan,nan,nan,nan,nan,nan,nan,nan,1.623400735560234,2.225774621259145
SP_Tim,47.0,50.0,151.0,136.0,66.0,106.0,24.0,nan,nan,nan,nan,nan,nan,nan,nan,96.0,95.0
SP_Mag,2880.0,1710.0,1650.0,812.0,755.0,1370.0,4840.0,nan,nan,nan,nan,nan,nan,nan,nan,397.0,4120.0
SP_Dur,84.0,74.0,30.0,47.0,100.0,57.0,90.0,nan,nan,nan,nan,nan,nan,nan,nan,42.0,36.0
SP_ROC,0.09782897651750111,0.1076923076923077,0.07407407407407407,0.07547169811320754,0.07627666451195864,0.08299304295220811,0.1322314049586777,nan,nan,nan,nan,nan,nan,nan,nan,0.07692307692307693,0.06977687626774848
SU_BFL_Tim,131.0,124.0,181.0,183.0,166.0,163.0,114.0,nan,nan,nan,nan,nan,nan,nan,nan,138.0,131.0
SU_BFL_Mag_10,2.1300000000000003,1.9100000000000001,1.9,2.2,4.12,2.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0200000000000005,0.987
SU_BFL_Mag_50,9.6,4.699999999999999,6.6,5.0,36.0,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.35,5.95
SU_BFL_Dur_Fl,188.0,250.0,142.0,119.0,117.0,150.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,160.0,166.0
SU_BFL_Dur_Wet,234.0,262.0,215.0,143.0,283.0,203.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,162.0,168.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
FAFL_Tim,nan,318.0,8.0,323.0,300.0,282.0,312.0,nan,nan,nan,nan,nan,nan,nan,nan,309.0,296.0
FAFL_Mag,nan,398.9937064384818,418.93528737547985,309.97545608691496,239.98655993675612,1559.9922342386417,4179.683834738292,nan,nan,nan,nan,nan,nan,nan,nan,189.98335923679142,3149.8268772515353
FAFL_Tim_Wet,316.0,364.0,20.0,31.0,324.0,83.0,365.0,nan,nan,nan,nan,nan,nan,nan,nan,341.0,298.0
FAFL_Dur,nan,2.0,3.0,2.0,2.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,5.0
Wet_BFL_Mag,60.0,23.0,52.800000000000004,37.0,10.0,29.8,73.0,nan,nan,nan,nan,nan,nan,nan,nan,35.50000000000001,58.0
WIN_Tim_2,362.0,38.0,90.0,43.0,3.5,336.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,352.0,9.5
WIN_Dur_2,3.0,1.0,1.0,1.0,1.5,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.5
WIN_Fre_2,5.0,4.0,3.0,5.0,2.0,7.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,8.0
WIN_Tim_5,28.0,27.0,106.0,71.0,25.0,28.5,17.0,nan,nan,nan,nan,nan,nan,nan,nan,13.0,355.5
WIN_Dur_5,2.0,1.0,2.5,1.0,2.0,2.5,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3.5
WIN_Fre_5,11.0,5.0,4.0,11.0,4.0,8.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,10.0
WIN_Tim_10,38.0,36.0,78.5,55.5,44.0,49.0,17.5,nan,nan,nan,nan,nan,nan,nan,nan,42.0,13.5
WIN_Dur_10,4.0,2.0,2.5,2.5,2.0,2.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,4.0
WIN_Fre_10,11.0,8.0,6.0,12.0,9.0,11.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,9.0,12.0
WIN_Tim_20,33.0,15.5,49.0,47.5,31.5,31.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,49.0,31.0
WIN_Dur_20,13.5,5.5,2.0,4.0,5.0,8.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,5.5,8.0
WIN_Fre_20,6.0,8.0,11.0,12.0,10.0,9.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,10.0,11.0
WIN_Tim_50,46.0,35.0,9.5,10.0,326.0,313.0,91.5,nan,nan,nan,nan,nan,nan,nan,nan,42.0,33.0
WIN_Dur_50,3.0,8.5,10.5,10.0,3.0,72.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,99.0
WIN_Fre_50,8.0,6.0,4.0,5.0,3.0,3.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,6.0,2.0
