Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,197.75355191256833,139.11972602739726,185.89068493150685,93.35616438356165,110.50300546448089,141.26986301369863,90.27287671232877,159.5813698630137,138.8346994535519,175.27178082191782,116.72246575342464,120.63315068493151,75.10573770491804,138.14767123287672,159.7723287671233,217.21150684931507,209.0021857923497,108.6282191780822,240.3613698630137,174.6021917808219,116.31857923497267,23.800273972602742,162.4076712328767,86.20301369863013,149.55327868852459,80.17698630136987,232.56054794520549,238.57506849315067,200.58169398907103,102.90493150684931,153.7068493150685,82.12547945205479,91.1101092896175,139.91041095890412,89.98082191780821,58.92164383561644,44.54071038251366,176.6531506849315,65.90356164383563,180.4553424657534,170.74016393442622,196.99561643835614,173.5958904109589,193.24547945205478,113.30519125683061,35.46356164383562,121.9497808219178,158.67304109589043,118.60207650273225,116.36397260273972,190.12682191780823,128.231698630137,110.96838797814208,104.85635616438356,123.50679452054796,145.71698630136984,121.14857923497269,80.9125205479452,59.72279452054794,83.0745205479452
Std,435.09672666939497,309.0158804181589,405.5165480072916,220.634573593397,250.29684282165107,255.84176481960222,170.89943547346547,285.14018726346524,376.4701839779124,471.89975705707593,356.47776412731235,224.25897168337357,156.95968346947666,230.66119713649252,544.1847507857304,462.18165820666326,677.9659355577115,186.99136204020388,440.51840353176874,522.5048946962099,224.70866271115358,40.1377945068005,312.87078596167373,202.82710706604436,282.2534788348707,162.576686450484,399.59499137059623,436.113513635705,331.8305083988424,206.77036201017114,323.9263489469913,129.4268390476489,215.702932309906,254.7134586718932,174.72875766595732,101.07954902043497,74.61911816831307,240.3547398239249,138.01275527085053,289.69722996052366,322.0169684613255,491.09042504392755,282.61860462775877,419.7409718041253,227.91222198323413,52.717046328640826,221.41593174034497,340.41544362663524,250.5333004927637,208.42340223254928,290.070642401682,227.42770296638602,206.8370586883669,241.56919103124386,190.393112918995,224.15804774777928,245.34845346608566,176.05100018920496,144.11197969225458,182.62226466342355
CV,2.2001967725048086,2.2212226061838525,2.1814785832690213,2.363363737684223,2.2650681922140503,1.8110144609880015,1.8931426769312798,1.7868012256583117,2.7116433100635846,2.692388671149193,3.054063001722128,1.8590161196161656,2.0898494344886607,1.6696712661023794,3.406001245553032,2.1277954603357636,3.24382222600912,1.7213884518686182,1.8327337865599125,2.9925448779710067,1.9318380966227624,1.6864425406616916,1.9264532493237196,2.3529004191795155,1.8873105378232564,2.0277225916098858,1.71824066851075,1.8279928258648934,1.6543409410876881,2.0093338480713006,2.1074295022664,1.5759644864321172,2.367497240336277,1.820546855135106,1.941844427977786,1.7154909883782856,1.6753014832383086,1.3606026209665965,2.094162315789798,1.605367987459291,1.8860059697787221,2.4929002681519035,1.6280258936931458,2.172061012730004,2.0114896718776283,1.4865130259076575,1.8156320597547997,2.145389294082496,2.1123854478803508,1.791133437357759,1.5256692321248575,1.773568512278414,1.8639277586794223,2.303810659341769,1.5415598280086453,1.5383110331706884,2.02518638695896,2.1758190079480326,2.4130146763757363,2.1982945367469906
SP_Tim,60.0,75.0,47.0,50.0,151.0,89.0,66.0,106.0,24.0,364.0,10.0,94.0,58.0,37.0,27.0,21.0,66.0,83.0,95.0,88.0,63.0,88.0,21.0,63.0,78.0,90.0,108.0,93.0,352.0,92.0,57.0,77.0,20.0,95.0,151.0,87.0,112.0,157.0,53.0,83.0,64.0,33.0,56.0,63.0,64.0,58.0,58.0,118.0,53.0,103.0,97.0,62.0,35.0,80.0,159.0,111.0,94.0,361.0,92.0,359.0
SP_Mag,980.0,2650.0,3560.0,1520.0,1910.0,1120.0,530.0,1370.0,4630.0,3370.0,2820.0,394.0,963.0,1240.0,6650.0,2050.0,7340.0,725.0,4170.0,2370.0,1350.0,331.0,1200.0,1220.0,3270.0,879.0,1390.0,3600.0,2950.0,727.0,2290.0,717.0,1510.0,962.0,463.0,572.0,787.0,600.0,784.0,1190.0,1120.0,1010.0,2390.0,1700.0,613.0,585.0,1060.0,705.0,1150.0,1340.0,557.0,1060.0,1890.0,2270.0,1000.0,933.0,2090.0,1000.0,940.0,2410.0
SP_Dur,52.0,100.0,84.0,92.0,40.0,93.0,100.0,59.0,115.0,145.0,117.0,82.0,117.0,50.0,149.0,123.0,63.0,49.0,37.0,19.0,82.0,110.0,139.0,103.0,86.0,36.0,33.0,66.0,195.0,40.0,104.0,63.0,180.0,40.0,60.0,137.0,53.0,58.0,137.0,70.0,106.0,127.0,119.0,95.0,117.0,108.0,92.0,47.0,110.0,110.0,38.0,90.0,109.0,88.0,54.0,60.0,53.0,170.0,69.0,148.0
SP_ROC,0.08163265306122448,0.08641975308641975,0.0822072072072072,0.06879648411088574,0.055598455598455596,0.08247422680412371,0.06896551724137931,0.07142857142857142,0.09278350515463918,0.07970219435736678,0.09836065573770492,0.07407407407407407,0.08712121212121213,0.1291866028708134,0.09259259259259259,0.10671845020734047,0.09420289855072464,0.07462686567164178,0.07317073170731707,0.13741839499045166,0.0945945945945946,0.09090909090909091,0.09154929577464789,0.0784313725490196,0.0898876404494382,0.06559139784946236,0.05,0.10465116279069768,0.1072627037392138,0.054093567251461985,0.07692307692307693,0.0625,0.07352941176470588,0.10309278350515463,0.0625,0.09259259259259259,0.07142857142857142,0.06557377049180328,0.07692307692307693,0.10909090909090909,0.08247422680412371,0.07738095238095238,0.08163265306122448,0.10638297872340426,0.07692307692307693,0.08928571428571429,0.08025031428673844,0.061224489795918276,0.07575757575757576,0.08108108108108109,0.06900000000000006,0.07729028260149014,0.07988235603056645,0.0635593220338983,0.04129817412912283,0.05851063829787229,0.09285714285714286,0.07471264367816076,0.06053758712787442,0.06775067750677508
SU_BFL_Tim,112.0,175.0,131.0,142.0,191.0,182.0,166.0,165.0,139.0,144.0,127.0,176.0,175.0,87.0,176.0,144.0,129.0,132.0,132.0,107.0,145.0,198.0,160.0,166.0,164.0,126.0,141.0,159.0,182.0,132.0,161.0,140.0,200.0,135.0,211.0,224.0,165.0,215.0,190.0,153.0,170.0,160.0,175.0,158.0,181.0,166.0,150.0,165.0,163.0,213.0,135.0,152.0,144.0,168.0,213.0,171.0,147.0,166.0,161.0,142.0
SU_BFL_Mag_10,4.780000000000001,5.84,5.0,3.4,4.6800000000000015,6.1,7.4,6.1,3.8,4.1,4.6,5.4,3.5100000000000002,6.48,4.5,9.0,6.699999999999999,4.8,5.4,5.8,5.4,3.9,5.6,4.5,5.0600000000000005,5.5,5.5,9.57,7.799999999999999,5.7,6.2,3.7,4.8,6.8,7.4,2.0,3.7,2.8200000000000003,3.4000000000000004,4.77,6.0,8.34,6.3,4.8,4.35,3.2,2.7190000000000003,4.1,3.815,6.083,4.436,4.112,3.85,2.399,6.579,6.325,6.646000000000001,4.71,3.324,2.9
SU_BFL_Mag_50,20.0,13.0,16.0,6.0,11.0,9.2,34.0,16.0,11.0,9.05,7.0,8.8,7.5,13.0,6.1,15.0,13.0,8.8,9.8,14.0,8.4,5.65,10.0,7.0,8.2,13.0,10.0,16.0,13.0,14.0,13.0,6.3,6.8,13.0,11.0,6.65,6.1,5.6,6.15,10.0,11.0,14.0,12.0,9.75,9.149999999999999,4.9,4.555,6.95,12.95,9.19,8.08,11.3,7.635,7.23,45.55,15.7,14.8,9.155000000000001,7.24,5.74
