Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,1249.228021978022,762.813698630137,1617.7841530054645,1059.8082191780823,1356.805479452055,736.6383561643836,834.9043715846994,1083.021917808219,773.5534246575343,1222.158904109589,1048.5218579234972,1466.9342465753425,877.5232876712329,1045.7342465753425,663.9863387978143,1189.3753424657534,1002.6164383561644,1409.841095890411,1465.0218579234972,772.0630136986301,1725.7945205479452,1304.3531506849315,843.2431693989071,192.1013698630137,1166.786301369863,632.972602739726,1104.5573770491803,645.6082191780822,1602.3123287671233,1645.627397260274,1417.707650273224,765.8958904109589,1089.9671232876713,579.3295890410959,600.30956284153,1028.876712328767,656.9013698630137,428.61095890410957,310.61639344262295,1186.769589041096,458.2032876712329,1263.4112328767123,1340.9180327868853,1263.9095890410958,1280.6356164383562,1298.8164383561643,824.1748633879781,255.17643835616437,901.0293698630136,1098.5244931506847,854.3083606557377,809.9920547945205,1580.7106849315069,925.0126027397259,836.1480601092896,765.9283835616438,868.6619178082191,1119.7991780821917,867.6262295081966,603.1903287671233,397.2661917808218,592.585397260274
Std,2352.24812041247,1350.5766716901776,3324.968367468615,1824.9152568617992,2331.9528750549025,1448.4599343932518,1750.67825080731,1625.4705281473957,1238.358812507776,1836.5148282754244,2217.542623665574,4068.257256187937,2364.313771131445,1638.1049017389407,1225.6436815973886,1737.2040736092604,2425.8918971619655,2310.327570194062,3785.1394037119903,1192.9228288038285,2445.335996516713,2865.5069715826385,1248.8201156715093,272.931097980239,1682.978168597778,1088.3869171582185,1629.215593128689,1007.6131908615521,2344.9003509478607,2462.6669112898157,1972.4395007022508,1308.7063297983793,2412.7127037216724,823.1085032429139,1210.705651322205,1550.7464463813978,1098.1127053084156,617.1533917276954,460.7235391938647,1395.6597071924994,714.7247799381831,2032.844618137417,2475.3390017549605,2800.5135546731512,1883.3821853956556,2131.088515162101,1465.9023786154542,304.7567451122686,1394.4089084431548,1909.4332068339247,1573.9183506714612,1192.0227173754138,2476.674343720776,1418.7910882160104,1301.2158902823487,1491.24033544843,1036.6342310490345,1493.305617574238,1601.6593419894127,1155.4458530843212,850.8936254057744,1125.4580709400152
CV,1.8829613801713565,1.7705196879861322,2.055260809231937,1.7219297075060276,1.7187083265588377,1.966310771455434,2.0968608027341094,1.5008657732772064,1.600870441567781,1.5026808887944305,2.114922647446966,2.7733058013237875,2.6943031647693925,1.566463857431793,1.8458868955293382,1.4606020585627544,2.419561264265053,1.638714871433743,2.5836743549184975,1.5451107068178742,1.4169334572578842,2.19687971012906,1.4809727027634407,1.4207660162697666,1.4424048059373693,1.7194850337080951,1.474994080869869,1.560719273593411,1.4634477366545082,1.4964911956313998,1.391287900803891,1.7087261417425323,2.213564659128616,1.4207948615317922,2.0168022071669176,1.5072228069691915,1.6716553742876339,1.4398917687631203,1.48325571000157,1.1760157321862161,1.5598421032085827,1.609012620149617,1.8460032166249276,2.2157546544115134,1.4706620378352664,1.6407926880408863,1.7786302928355442,1.1942981376944457,1.5475732035850855,1.7381799119994747,1.8423305016743317,1.4716474196500695,1.566810655061835,1.5338073059910737,1.5562027257615976,1.9469709798636954,1.1933690309166978,1.333547699268477,1.8460245754641302,1.915557657308544,2.1418727367448023,1.8992335554392576
SP_Tim,32.0,120.0,64.0,76.0,50.0,50.0,151.0,89.0,69.0,109.0,25.0,364.0,9.0,94.0,58.0,47.0,27.0,89.0,66.0,96.0,95.0,88.0,63.0,89.0,44.0,131.0,78.0,91.0,108.0,93.0,352.0,337.0,57.0,78.0,20.0,95.0,156.0,87.0,112.0,99.0,57.0,107.0,69.0,6.0,56.0,63.0,64.0,69.0,58.0,120.0,61.0,144.0,37.0,63.0,38.0,80.0,159.0,112.0,94.0,361.0,92.0,44.0
SP_Mag,11800.0,2700.0,5280.0,17100.0,13600.0,10100.0,8800.0,7610.0,4670.0,6800.0,11800.0,22400.0,16000.0,2560.0,8150.0,5890.0,19100.0,9600.0,34600.0,2740.0,16400.0,14300.0,9070.0,1280.0,4500.0,4920.0,13500.0,4680.0,10500.0,12400.0,14400.0,8960.0,14200.0,3560.0,7030.0,5260.0,3920.0,2600.0,3000.0,5000.0,2920.0,5010.0,6760.0,30100.0,10300.0,10000.0,4320.0,1610.0,4990.0,4550.0,6170.0,3440.0,12600.0,5170.0,10300.0,10100.0,3630.0,4140.0,11700.0,6380.0,4690.0,4050.0
SP_Dur,109.0,58.0,51.0,107.0,87.0,99.0,38.0,95.0,108.0,67.0,146.0,152.0,131.0,85.0,69.0,118.0,154.0,71.0,82.0,64.0,54.0,76.0,106.0,122.0,126.0,53.0,92.0,101.0,46.0,74.0,200.0,165.0,118.0,67.0,189.0,42.0,54.0,126.0,60.0,104.0,138.0,50.0,106.0,160.0,120.0,106.0,126.0,104.0,102.0,54.0,114.0,74.0,104.0,100.0,133.0,97.0,59.0,34.0,57.0,170.0,76.0,111.0
SP_ROC,0.07692307692307693,0.04054752066115702,0.05761316872427984,0.06752429028931227,0.0724450194049159,0.07074613284804368,0.060126582278481014,0.06363636363636363,0.04633273703041145,0.06005221932114883,0.054790050715990454,0.05555555555555555,0.08,0.056282722513089,0.05986394557823129,0.07142857142857142,0.06386946386946386,0.061004784688995214,0.07578947368421053,0.050280898876404495,0.050927649953451254,0.06504065040650407,0.0616822429906542,0.04572772406584792,0.07249229901514165,0.055104910231451434,0.061224489795918366,0.05283400809716599,0.05745341614906832,0.060391775002257675,0.08064516129032258,0.05268113787293091,0.06512395220260389,0.06561561561561562,0.051457975986277875,0.07289719626168224,0.05019305019305019,0.05672268907563025,0.0481283422459893,0.07368421052631578,0.0547945205479452,0.07049608355091384,0.07704312009926192,0.07647806738715829,0.06868251480320446,0.07407407407407407,0.05555555555555555,0.05232558139534884,0.05656934306569343,0.05485232067510549,0.04615607851414098,0.05489703666499246,0.07692307692307693,0.06589958158995816,0.05326967592592592,0.04836053837342497,0.044642857142857144,0.03913894324853229,0.06380947865800661,0.05531075568913697,0.05461647727272727,0.0453781512605042
SU_BFL_Tim,141.0,178.0,115.0,183.0,137.0,149.0,189.0,184.0,177.0,176.0,171.0,151.0,140.0,179.0,127.0,165.0,181.0,160.0,148.0,160.0,149.0,164.0,169.0,211.0,170.0,184.0,170.0,192.0,154.0,167.0,187.0,137.0,175.0,145.0,209.0,137.0,210.0,213.0,172.0,203.0,195.0,157.0,175.0,166.0,176.0,169.0,190.0,173.0,160.0,174.0,175.0,218.0,141.0,163.0,171.0,177.0,218.0,146.0,151.0,166.0,168.0,155.0
SU_BFL_Mag_10,42.9,21.0,30.0,30.0,22.0,22.0,26.0,28.4,36.3,27.1,19.0,17.0,20.0,21.0,27.0,25.0,12.0,42.0,22.0,15.0,10.0,21.0,18.0,16.0,27.0,15.0,15.400000000000002,13.9,14.0,41.1,25.0,16.0,18.0,2.8,14.0,24.0,22.6,11.0,4.1,23.0,8.18,22.7,13.0,26.0,20.0,13.0,13.0,4.34,3.7350000000000003,7.904,7.841,22.98,11.1,12.9,7.277,3.8,27.35,20.740000000000002,21.3,12.700000000000001,7.37,9.179
SU_BFL_Mag_50,85.0,47.5,189.0,141.0,83.0,47.0,82.0,58.0,363.5,105.0,64.0,47.0,40.0,56.0,74.0,68.0,28.0,88.0,57.0,50.0,46.0,46.0,44.0,48.0,61.0,33.0,38.0,44.0,43.0,77.5,64.0,80.0,71.0,19.0,25.0,68.0,48.0,34.0,17.0,40.0,19.0,47.5,44.0,89.0,55.0,46.0,40.5,12.6,16.75,26.95,70.3,45.0,33.0,60.3,34.4,28.2,426.0,102.0,82.80000000000001,46.1,33.1,24.450000000000003
SU_BFL_Dur_Fl,179.0,147.0,189.0,136.0,182.0,nan,134.0,nan,107.0,137.0,162.0,nan,181.0,140.0,190.0,184.0,133.0,nan,nan,138.0,200.0,136.0,151.0,101.0,166.0,115.0,nan,130.0,150.0,149.0,121.0,202.0,129.0,nan,nan,nan,135.0,110.0,155.0,nan,127.0,nan,149.0,166.0,nan,167.0,114.0,155.0,189.0,167.0,168.0,94.0,178.0,130.0,nan,150.0,80.0,183.0,175.0,nan,159.0,172.0
SU_BFL_Dur_Wet,190.0,156.0,269.0,171.0,230.0,243.0,207.0,145.0,274.0,192.0,166.0,210.0,185.0,161.0,197.0,193.0,139.0,171.0,197.0,144.0,211.0,141.0,250.0,106.0,206.0,121.0,165.0,130.0,173.0,152.0,123.0,251.0,164.0,189.0,113.0,233.0,167.0,142.0,171.0,139.0,139.0,188.0,157.0,181.0,146.0,173.0,156.0,159.0,190.0,168.0,260.0,119.0,189.0,184.0,184.0,181.0,196.0,233.0,178.0,239.0,161.0,174.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
