Year,1957,1958,1959,1960,1961,1962,1963,1964
Avg,889.5232876712329,357.46301369863016,330.25409836065575,427.2219178082192,334.9205479452055,654.6301369863014,380.40437158469945,701.945205479452
Std,1050.0978180816662,430.8327671957505,500.7178490884579,453.5287791223534,316.5026637378024,845.698114907155,422.1625374998603,1567.25745007187
CV,1.180517511610985,1.2052513146408397,1.5161593802286333,1.0615765723095307,0.9450081987492258,1.2918716495401001,1.1097730968264206,2.2327347460139437
SP_Tim,59.0,137.0,158.0,171.0,121.0,145.0,163.0,362.0
SP_Mag,5750.0,1130.0,1410.0,948.0,1030.0,1890.0,926.0,10000.0
SP_Dur,167.0,81.0,68.0,67.0,86.0,76.0,68.0,206.0
SP_ROC,0.05298245614035088,0.062388591800356503,0.0535602328705777,0.05195681511470985,0.06451612903225806,0.04477611940298507,0.04145189003436426,0.06666666666666667
SU_Tim,226.0,218.0,226.0,238.0,207.0,221.0,231.0,203.0
SU_Mag_10,61.0,40.0,32.0,33.0,40.0,38.7,29.0,29.0
SU_Mag_50,86.0,43.0,47.0,44.0,173.0,62.0,36.0,48.0
SU_Dur_Fl,nan,nan,104.0,92.0,79.0,nan,105.0,134.0
SU_Dur_Wet,142.0,181.0,168.0,108.0,189.0,88.0,110.0,139.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,283.0,nan,nan,330.0,328.0,285.0,nan,336.0
FA_Mag,1109.9970747833534,nan,nan,1819.9141507048812,310.0197707565917,5779.974030165463,nan,3299.9167168241543
FA_Tim_Wet,20.0,2.0,33.0,29.0,344.0,30.0,308.0,341.0
FA_Dur,4.0,nan,nan,3.0,6.0,6.0,nan,4.0
Tim_2,20.0,12.0,38.0,43.0,nan,33.5,318.0,8.0
Dur_2,2.0,1.0,3.0,1.0,nan,2.0,1.0,1.5
Fre_2,6.0,1.0,1.0,1.0,0.0,6.0,3.0,6.0
Tim_5,38.0,29.0,67.0,42.0,354.0,31.0,318.0,15.5
Dur_5,2.0,1.5,2.0,1.0,2.0,4.0,2.0,3.0
Fre_5,9.0,4.0,3.0,3.0,1.0,9.0,3.0,8.0
Tim_10,49.5,47.0,90.0,74.0,72.0,59.0,357.5,6.0
Dur_10,7.5,3.0,2.0,2.0,2.0,4.0,2.0,10.0
Fre_10,6.0,5.0,5.0,9.0,4.0,12.0,4.0,7.0
Tim_20,8.5,80.5,106.0,100.5,89.0,347.0,13.5,61.5
Dur_20,2.0,4.5,4.0,3.5,4.0,5.0,3.0,8.5
Fre_20,10.0,6.0,8.0,14.0,7.0,9.0,8.0,6.0
Tim_50,317.0,8.0,37.0,336.0,20.0,330.0,335.5,334.0
Dur_50,7.0,6.0,12.0,5.0,4.0,38.0,9.5,72.0
Fre_50,5.0,7.0,3.0,5.0,7.0,5.0,6.0,3.0
