Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,35.183076923076925,44.66420765027322,47.6974794520548,84.42131506849314,24.770739726027397,30.285765027322405,23.547287671232876,43.26208219178083,59.39832876712329,35.70352459016394,29.568301369863015,15.68591780821918,27.99547945205479,43.89371584699454
Std,45.83664831762988,66.25506231035656,50.04452413987532,104.22288210840709,29.87386889933156,30.651973413493447,28.382046843986277,41.272304894213455,49.82455431085635,55.04591975154117,49.90772830446118,32.95158418531667,66.87711275558739,67.66946256060898
CV,1.3028038570317644,1.4834039557836256,1.0492068913238854,1.2345564864021419,1.2060144036773413,1.012091766076923,1.205321276923962,0.9540064371209253,0.8388208110399568,1.5417503001007895,1.6878794517201714,2.1007112614124845,2.388853988734913,1.5416663013104732
SP_Tim,nan,61.0,144.0,146.0,126.0,141.0,143.0,164.0,170.0,95.0,102.0,73.0,44.0,77.0
SP_Mag,nan,210.0,284.0,243.0,69.8,150.0,87.9,146.0,113.0,411.0,112.0,300.0,394.0,308.0
SP_Dur,nan,143.0,76.0,61.0,62.0,72.0,65.0,63.0,70.0,106.0,65.0,91.0,26.0,112.0
SP_ROC,nan,0.078125,0.07019704433497537,0.06531997414350352,0.057241078249481644,0.07278352194089391,0.056881327548146426,0.0614612562054824,0.0514633313088369,0.07766990291262142,0.0880694383016364,0.08000000000000002,0.05855855855855859,0.08380952380952389
SU_BFL_Tim,nan,204.0,220.0,207.0,188.0,213.0,208.0,227.0,240.0,201.0,167.0,164.0,70.0,189.0
SU_BFL_Mag_10,nan,1.9700000000000002,2.95,3.2310000000000003,1.32,1.3280000000000003,1.304,2.4090000000000003,2.84,1.185,1.4,0.251,0.47,0.769
SU_BFL_Mag_50,nan,3.0,4.2,4.365,2.815,4.2,3.06,3.1,7.970000000000001,1.9249999999999998,3.86,1.21,3.15,2.005
SU_BFL_Dur_Fl,nan,93.0,117.0,112.0,105.0,93.0,81.0,71.0,125.0,124.0,229.0,163.0,275.0,156.0
SU_BFL_Dur_Wet,nan,148.0,130.0,122.0,180.0,165.0,163.0,110.0,196.0,126.0,243.0,172.0,299.0,180.0
SU_BFL_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,340.0,297.0,335.0,318.0,292.0,306.0,287.0,297.0,364.0,325.0,29.0,326.0,344.0
FAFL_Mag,nan,192.89041230140543,51.97122245711164,171.93153455763073,40.456426879686084,98.54041443558158,75.68529776174476,81.71637363184635,173.73495185016225,111.96118197393776,188.91875754467856,41.54877645016768,140.8983112504255,122.95151654351481
FAFL_Tim_Wet,nan,344.0,352.0,348.0,328.0,2.0,13.0,4.0,336.0,70.0,327.0,43.0,335.0,3.0
FAFL_Dur,nan,3.0,9.0,4.0,2.0,4.0,7.0,4.0,8.0,4.0,4.0,4.0,4.0,3.0
Wet_BFL_Mag,nan,35.5,8.52,54.2,13.92,6.069000000000001,6.725,4.201,28.970000000000002,9.885,26.1,7.797000000000001,23.580000000000002,17.75
WIN_Tim_2,nan,47.0,129.0,119.0,347.0,nan,nan,136.0,82.0,87.0,337.0,68.0,354.0,49.5
WIN_Dur_2,nan,1.0,2.0,3.0,2.0,nan,nan,1.0,1.5,2.0,1.0,2.0,3.0,3.5
WIN_Fre_2,nan,3.0,3.0,8.0,1.0,0.0,0.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0
WIN_Tim_5,nan,20.0,126.0,79.5,4.0,136.0,62.0,94.5,17.0,87.0,32.0,64.0,353.0,54.5
WIN_Dur_5,nan,1.5,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,5.5
WIN_Fre_5,nan,4.0,7.0,14.0,3.0,1.0,3.0,6.0,9.0,3.0,4.0,5.0,5.0,4.0
WIN_Tim_10,nan,58.5,103.5,59.0,4.0,55.0,93.0,58.0,72.0,86.0,32.0,75.0,347.5,16.0
WIN_Dur_10,nan,2.5,2.5,11.0,1.0,3.0,2.5,3.0,2.0,1.0,4.5,3.0,1.5,5.0
WIN_Fre_10,nan,12.0,8.0,9.0,5.0,3.0,4.0,9.0,19.0,9.0,4.0,4.0,8.0,7.0
WIN_Tim_20,nan,51.0,71.0,353.0,52.5,71.0,76.0,57.0,47.0,63.5,58.0,61.0,352.0,66.5
WIN_Dur_20,nan,7.0,3.0,2.0,3.5,2.0,4.0,7.0,10.0,2.0,2.0,4.0,4.0,7.0
WIN_Fre_20,nan,10.0,14.0,5.0,8.0,11.0,7.0,11.0,11.0,6.0,8.0,3.0,7.0,8.0
WIN_Tim_50,nan,323.0,316.0,329.0,2.0,347.5,18.5,357.5,301.0,331.0,148.0,80.0,71.0,78.5
WIN_Dur_50,nan,105.0,1.0,4.0,5.5,3.5,6.5,4.0,21.0,2.0,3.0,2.0,3.0,9.5
WIN_Fre_50,nan,2.0,7.0,3.0,6.0,6.0,6.0,4.0,3.0,7.0,5.0,6.0,7.0,4.0
