Year,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,52.352109589041085,78.636,14.152164383561646,24.09800546448087,25.10504109589041,50.473863013698626,46.17175342465754,21.48467213114754,17.260712328767124,5.728794520547946,20.239561643835618,35.68081967213115
Std,58.04890966317869,105.78243601729649,13.715218363828502,25.578310069702184,49.885842582879064,56.61590649842823,42.16967310198458,32.94262536404937,27.00698201022852,7.838579873754573,45.61024455127403,64.18951216519513
CV,1.1088170107920565,1.3452163896599076,0.9691251452505261,1.0614285114759061,1.9870846812134941,1.121687604593741,0.913321889990522,1.533308265677026,1.5646504904214193,1.368277365445607,2.253519387123959,1.7989920846838328
SP_Tim,143.0,108.0,61.0,142.0,68.0,142.0,112.0,118.0,344.0,92.0,45.0,77.0
SP_Mag,238.0,402.0,50.2,79.5,249.0,130.0,131.0,122.0,149.0,32.6,208.0,369.0
SP_Dur,84.0,102.0,134.0,84.0,129.0,92.0,126.0,95.0,219.0,103.0,82.0,88.0
SP_ROC,0.046311123820417466,0.03632478632478624,0.030487804878048676,0.03875968992248062,0.043563685636856364,0.03642906207068814,0.035087719298245695,0.03875968992248062,0.04498215796637607,0.04195804195804206,0.027339642481598297,0.04054054054054048
SU_Tim,227.0,210.0,195.0,226.0,197.0,234.0,238.0,213.0,198.0,195.0,127.0,165.0
SU_Mag_10,5.863,6.932,1.6170000000000002,2.956,2.5309999999999997,5.4559999999999995,5.945,2.09,1.55,0.19,1.0890000000000002,1.4920000000000002
SU_Mag_50,6.905,9.219999999999999,3.635,6.615,5.535,16.0,7.66,2.63,2.94,1.3,2.645,2.715
SU_Dur_Fl,129.0,109.0,nan,nan,nan,64.0,149.0,nan,210.0,nan,230.0,192.0
SU_Dur_Wet,130.0,192.0,170.0,190.0,182.0,187.0,206.0,115.0,221.0,145.0,250.0,212.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,343.0,354.0,318.0,nan,nan,nan,297.0,21.0,nan,41.0,nan,356.0
FA_Mag,95.46359082082762,144.9941522739206,18.49286933570995,nan,nan,nan,51.50729680178326,48.13054962246163,nan,16.477947021209495,nan,70.1749357669742
FA_Tim_Wet,360.0,355.0,36.0,364.0,51.0,12.0,55.0,78.0,328.0,52.0,339.0,11.0
FA_Dur,3.0,3.0,4.0,nan,nan,nan,3.0,4.0,nan,5.0,nan,2.0
Tim_2,104.5,75.5,nan,4.0,58.0,69.0,81.0,89.0,336.0,nan,8.5,29.0
Dur_2,1.5,3.0,nan,1.0,2.5,2.5,2.0,2.0,1.0,nan,3.0,2.0
Fre_2,8.0,6.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,5.0
Tim_5,73.0,71.5,nan,29.5,58.0,102.0,93.5,88.5,337.0,nan,353.0,43.5
Dur_5,3.5,5.0,nan,1.5,4.0,4.0,4.5,2.5,1.0,nan,3.0,3.5
Fre_5,8.0,8.0,0.0,2.0,2.0,7.0,4.0,2.0,3.0,0.0,3.0,4.0
Tim_10,65.5,52.0,47.5,29.5,61.0,118.5,52.0,103.0,334.0,nan,353.0,41.0
Dur_10,5.5,12.5,1.0,2.5,3.0,7.0,2.0,7.0,8.0,nan,5.0,8.0
Fre_10,8.0,6.0,2.0,2.0,3.0,10.0,8.0,3.0,1.0,0.0,3.0,4.0
Tim_20,20.0,353.0,47.0,89.5,92.5,15.5,16.0,87.0,26.0,66.0,345.0,13.0
Dur_20,8.0,63.0,3.5,4.0,7.0,83.0,3.0,12.0,3.0,1.0,13.0,4.0
Fre_20,5.0,3.0,2.0,8.0,4.0,2.0,7.0,3.0,3.0,2.0,3.0,5.0
Tim_50,316.0,342.5,355.0,352.0,3.0,349.0,327.5,326.0,325.0,58.0,335.0,78.0
Dur_50,2.0,3.0,5.5,2.0,9.0,11.0,6.5,2.0,3.0,20.0,2.0,8.5
Fre_50,7.0,6.0,6.0,5.0,3.0,3.0,6.0,5.0,3.0,3.0,3.0,4.0
