Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,1269.558904109589,1419.1260273972603,1175.7513661202186,2151.2082191780823,1896.317808219178,2028.9835616438356,1163.9398907103825,1384.7369863013698,2794.917808219178,1659.9013698630138,640.379781420765,131.31506849315068,1821.3260273972603,614.2328767123288,1571.5819672131147,772.0794520547945,2234.558904109589,3049.46301369863,1621.8688524590164,889.9534246575342,1915.4136986301369,832.2876712328767,727.3387978142076,971.745205479452,579.6246575342466,425.6684931506849,426.59289617486337,1669.2082191780821,448.95342465753424,2494.0794520547947,1849.0928961748634,1802.6,2612.1260273972603,1670.5643835616438,1191.3224043715848,368.2191780821918,1175.4282191780821,1750.2835616438356,1412.2994535519124,1229.641095890411,2487.278082191781,672.365205479452,824.5489071038252,578.9032876712329,1137.4027397260274,1655.5906849315068,848.1685792349725,731.3786301369863,272.64876712328766,594.707397260274
Std,2169.6607789802933,2337.181861261602,2550.7653476841456,3695.808083055959,4614.465936279098,3351.035424487204,2046.1281807125376,2037.6406788988206,4899.290764309107,2818.027770675707,967.0892616088124,108.85738775494718,2745.0886664836203,868.8791949157708,2546.4245849383883,1235.258609378431,3381.2561295550495,4533.653651547906,2151.2339728051766,1246.9490637928043,5355.065746761762,1531.9513805319525,1262.1403518348116,1490.6351972377868,721.4500686698884,860.795803968982,661.6558759664284,2509.263510447628,652.7023030914434,4770.445126899152,2569.000371623774,5305.998480809825,3722.1727585364797,2101.5661020941493,1855.7521857036695,496.6960992142649,1999.8845769703005,2701.580568939136,2577.405718341525,1379.8434125410918,3968.417368559065,911.9224835299455,1023.2849813712202,1029.6274896757761,1330.3493627844482,1995.2077029574205,1630.0127330025493,1276.4265278163066,556.2388246116316,1565.8609509376329
CV,1.7089878791421613,1.6469163528401327,2.1694768308892054,1.7180150438752162,2.4333821663640434,1.6515833286358774,1.7579328598006319,1.4715001470000129,1.752928386624278,1.697707961352107,1.5101808171757085,0.828978646579506,1.5071923561134464,1.4145761776322234,1.6202938428047513,1.5999112605457146,1.513164912921545,1.486705571171736,1.3263920628006123,1.401139688037772,2.795775007034559,1.8406512957985504,1.7352853383152185,1.5339774138657245,1.2446849168545977,2.0222210894623665,1.5510241307328547,1.5032657289952651,1.4538307700611275,1.9127077619636093,1.3893300747291557,2.9435251751968408,1.4249591020863865,1.257997669993185,1.5577245747196096,1.3489142575387403,1.7014093624268432,1.5435102220818773,1.8249711219949758,1.1221513473749964,1.5954860041471959,1.3562904149385144,1.2410239981585114,1.7785829025391815,1.1696379095278924,1.2051334433788288,1.9218027794342267,1.7452335564921189,2.0401296161376323,2.6329939028021423
SP_Tim,95.0,34.0,55.0,118.0,28.0,89.0,67.0,22.0,93.0,88.0,65.0,92.0,71.0,70.0,63.0,90.0,110.0,94.0,3.0,337.0,54.0,76.0,34.0,90.0,157.0,76.0,112.0,83.0,65.0,79.0,55.0,5.0,86.0,64.0,62.0,89.0,10.0,123.0,61.0,144.0,107.0,71.0,78.0,67.0,122.0,95.0,96.0,32.0,92.0,45.0
SP_Mag,4480.0,13200.0,18200.0,4930.0,42600.0,28400.0,17600.0,11800.0,32400.0,16600.0,6100.0,442.0,12100.0,4200.0,6880.0,3690.0,5980.0,13200.0,11800.0,10200.0,33700.0,13900.0,3300.0,4600.0,2600.0,1550.0,2490.0,9700.0,2490.0,12100.0,12800.0,53000.0,17800.0,10800.0,9940.0,2460.0,16300.0,7260.0,9070.0,8160.0,8550.0,3660.0,3030.0,8060.0,5080.0,7270.0,9850.0,3650.0,5100.0,7750.0
SP_Dur,82.0,165.0,83.0,65.0,74.0,99.0,113.0,146.0,67.0,102.0,119.0,126.0,95.0,139.0,116.0,98.0,58.0,97.0,175.0,210.0,62.0,89.0,109.0,91.0,67.0,121.0,53.0,130.0,130.0,106.0,141.0,93.0,113.0,134.0,119.0,82.0,159.0,67.0,109.0,81.0,74.0,116.0,120.0,128.0,94.0,113.0,79.0,137.0,80.0,36.0
SP_ROC,0.03485254691689008,0.04242424242424243,0.03208556149732621,0.045603089720736775,0.05278637770897833,0.034161490683229816,0.040268456375838924,0.05032857104850081,0.03460249042145594,0.04435483870967742,0.02927491004785803,0.043478260869565216,0.04372759856630824,0.046218487394957986,0.045454545454545456,0.03683123891298839,0.039755351681957186,0.04539617914187284,0.0390625,0.03241330694357834,0.06004001000250063,0.036458333333333336,0.04132578781136549,0.03975078975078975,0.04175365344467641,0.037383177570093455,0.03896103896103896,0.047244094488188976,0.041237113402061855,0.04968343114364443,0.04895104895104895,0.05638632951635218,0.04032258064516129,0.04094337865524306,0.04224058281915402,0.040697674418604654,0.035398230088495575,0.04,0.03408571909329103,0.03932584269662921,0.043912175648702596,0.03758922658032232,0.04201680672268908,0.042457047275034424,0.038461538461538464,0.03942652329749104,0.039399624765478425,0.03763440860215054,0.037037037037037035,0.046822742474916385
SU_BFL_Tim,177.0,199.0,138.0,183.0,102.0,188.0,180.0,168.0,160.0,190.0,184.0,218.0,166.0,209.0,179.0,188.0,168.0,191.0,178.0,182.0,116.0,165.0,143.0,181.0,224.0,197.0,165.0,213.0,195.0,185.0,196.0,98.0,199.0,198.0,181.0,171.0,169.0,190.0,170.0,225.0,181.0,187.0,198.0,195.0,216.0,208.0,175.0,169.0,172.0,81.0
SU_BFL_Mag_10,69.0,73.6,76.6,108.0,55.7,96.0,60.900000000000006,55.0,71.0,92.0,65.0,16.0,86.0,45.1,57.0,33.0,94.3,140.0,90.6,58.0,60.0,20.0,28.0,55.7,61.0,28.0,25.0,89.0,29.0,76.0,84.0,70.0,106.0,63.0,51.0,13.0,23.89,68.81,45.4,83.85,75.25,35.220000000000006,38.35,41.339999999999996,64.78,76.59,35.54,35.879999999999995,15.89,19.7
SU_BFL_Mag_50,87.0,121.0,144.0,157.0,121.0,153.0,133.5,112.0,176.0,311.0,89.0,54.0,130.0,73.5,120.0,76.5,174.0,199.0,130.0,110.0,168.0,45.0,137.0,139.5,91.0,68.0,62.0,106.0,40.0,100.0,119.5,210.0,207.5,130.0,122.0,29.0,46.650000000000006,112.0,89.0,103.5,120.0,72.6,99.95,88.1,102.0,154.0,81.6,70.7,32.2,79.1
