Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Avg,1180.9725274725274,2680.415300546448,1735.827397260274,2550.3753424657534,1464.2164383561644,1604.139344262295,1942.4520547945206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,361.84090909090907,2206.8657534246577,1198.323287671233
Std,1538.2763453391187,5226.652492333204,2876.0615870318347,4322.683894716173,2706.5510783016466,3056.438427826878,3138.928814063175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,819.123171534433,3283.3872705301196,1857.5446880459758
CV,1.302550490849503,1.9499412987486162,1.6568822404642525,1.6949206741219969,1.8484637977020781,1.905344718810859,1.6159620549271279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2637660666738935,1.487805619999719,1.5501198275599266
SP_Tim,131.0,19.0,76.0,50.0,93.0,151.0,89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352.0,131.0
SP_Mag,2440.0,32100.0,19000.0,29100.0,8620.0,16300.0,9560.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28800.0,6330.0
SP_Dur,67.0,150.0,104.0,108.0,69.0,39.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,185.0,50.0
SP_ROC,0.04329004329004329,0.09142857142857143,0.0658682634730539,0.07575757575757576,0.04742525800617087,0.044295521412226216,0.05634920634920634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07103825136612021,0.046153846153846156
SU_Tim,198.0,169.0,180.0,158.0,162.0,190.0,185.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,172.0,181.0
SU_Mag_10,111.19999999999999,117.0,130.60000000000002,111.6,108.0,120.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,159.0,142.8
SU_Mag_50,152.0,295.0,283.0,217.0,157.0,220.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,246.0,185.5
SU_Dur_Fl,126.0,131.0,139.0,161.0,212.0,133.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164.0,155.0
SU_Dur_Wet,132.0,218.0,174.0,204.0,225.0,203.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,199.0,190.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
FA_Tim,319.0,323.0,300.0,317.0,318.0,8.0,323.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,309.0,335.0
FA_Mag,5250.058063072112,19699.863450855595,6099.892634323864,19099.781791937145,4449.992850757152,6319.866745884698,3829.9382273865417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5789.9633294514415,3269.950632532017
FA_Tim_Wet,321.0,329.0,22.0,352.0,361.0,21.0,28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,314.0,5.0
FA_Dur,2.0,4.0,2.0,4.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,4.0
Tim_2,365.0,8.5,26.0,20.0,18.0,107.0,39.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,363.5,11.0
Dur_2,1.0,2.0,1.5,2.0,2.5,1.0,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,1.0
Fre_2,1.0,6.0,4.0,6.0,2.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,1.0
Tim_5,364.0,362.0,56.0,28.0,38.0,106.0,41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,44.0
Dur_5,3.0,2.0,3.0,3.0,2.0,3.5,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.0
Fre_5,1.0,8.0,7.0,7.0,6.0,4.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,3.0
Tim_10,364.0,18.0,42.5,19.0,27.0,65.0,51.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,59.5
Dur_10,1.0,3.0,1.5,4.5,2.0,5.0,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,2.5
Fre_10,5.0,10.0,10.0,10.0,9.0,7.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,8.0
Tim_20,53.5,84.0,21.0,49.5,6.0,88.0,46.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.5,74.0
Dur_20,1.5,4.5,5.0,13.5,10.0,11.0,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,5.0
Fre_20,12.0,10.0,9.0,6.0,7.0,7.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,7.0
Tim_50,328.0,302.0,345.0,332.0,355.0,358.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,298.0,360.0
Dur_50,5.5,101.0,18.0,16.5,3.0,3.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,7.5
Fre_50,4.0,2.0,5.0,4.0,7.0,3.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,6.0
